Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710356580000,1.613300,1.614200,1.612400,1.614000,58130.5,1710356639999,93789.0547400,488,26252.6,1710361980000,1.6085
1710356640000,1.614100,1.614300,1.613700,1.614000,31203.0,1710356699999,50361.1250600,317,14307.1,1710361980000,1.6085
1710356700000,1.614200,1.615000,1.614000,1.614400,34958.5,1710356759999,56438.1893600,338,20767.6,1710361980000,1.6085
1710356760000,1.614400,1.616000,1.614100,1.615400,29630.4,1710356819999,47859.0508600,311,14223.4,1710361980000,1.6085
1710356820000,1.615300,1.615600,1.614600,1.614600,29741.2,1710356879999,48033.5125600,264,14519.3,1710361980000,1.6085
1710356880000,1.614600,1.614600,1.610300,1.610600,109209.5,1710356939999,176080.3859900,471,40522.4,1710361980000,1.6085
1710356940000,1.611000,1.612800,1.611000,1.612700,18873.8,1710356999999,30425.4489800,215,14641.6,1710361980000,1.6085
1710357000000,1.612700,1.614200,1.612700,1.613500,33262.7,1710357059999,53666.0553200,256,23818.8,1710361980000,1.6085
1710357060000,1.613500,1.613500,1.611300,1.613100,42065.1,1710357119999,67818.6305600,307,23725.4,1710361980000,1.6085
1710357120000,1.613100,1.613200,1.611000,1.611500,110376.1,1710357179999,177919.6016200,432,21504.7,1710361980000,1.6085
1710357180000,1.611600,1.611600,1.610500,1.611000,47043.8,1710357239999,75787.9442900,271,23947.4,1710361980000,1.6085
1710357240000,1.611000,1.611500,1.610900,1.610900,21643.3,1710357299999,34873.8228600,209,9418.6,1710361980000,1.6085
1710357300000,1.610900,1.611400,1.609900,1.611300,72421.7,1710357359999,116630.8269500,370,46816.5,1710361980000,1.6085
1710357360000,1.611300,1.613000,1.611300,1.612300,36572.5,1710357419999,58961.9485900,347,15396.2,1710361980000,1.6085
1710357420000,1.612300,1.614200,1.612300,1.613500,56576.5,1710357479999,91270.7267800,426,35872.7,1710361980000,1.6085
1710357480000,1.613400,1.614300,1.612600,1.613100,23651.5,1710357539999,38161.5748500,256,18035.7,1710361980000,1.6085
1710357540000,1.613100,1.613100,1.611000,1.611300,19406.1,1710357599999,31278.6955600,286,4528.2,1710361980000,1.6085
1710357600000,1.611300,1.611400,1.609800,1.609900,35734.3,1710357659999,57553.6286900,325,15584.9,1710361980000,1.6085
1710357660000,1.609900,1.610100,1.607600,1.609000,87255.9,1710357719999,140389.9276700,578,47675.4,1710361980000,1.6085
1710357720000,1.609100,1.609500,1.608100,1.608100,24248.8,1710357779999,39013.0426000,264,11053.1,1710361980000,1.6085
1710357780000,1.608100,1.608100,1.606700,1.607300,29263.8,1710357839999,47037.8824400,292,11438.6,1710361980000,1.6085
1710357840000,1.607200,1.607400,1.605000,1.606000,168073.9,1710357899999,269882.5339900,652,42396.7,1710361980000,1.6085
1710357900000,1.605900,1.607400,1.605900,1.606500,38775.6,1710357959999,62298.5228900,340,24773.0,1710361980000,1.6085
1710357960000,1.606500,1.606900,1.605800,1.605800,15180.5,1710358019999,24386.7724300,199,5557.2,1710361980000,1.6085
1710358020000,1.605800,1.606100,1.605400,1.605500,28914.8,1710358079999,46431.2084900,215,14390.3,1710361980000,1.6085
1710358080000,1.605500,1.605600,1.603000,1.603400,219446.2,1710358139999,352066.1649700,809,58670.9,1710361980000,1.6085
1710358140000,1.603200,1.604600,1.602600,1.604100,82205.9,1710358199999,131840.3127000,457,55690.4,1710361980000,1.6085
1710358200000,1.604100,1.605100,1.601100,1.602600,84810.4,1710358259999,135897.3045600,550,31771.4,1710361980000,1.6085
1710358260000,1.602600,1.602900,1.600900,1.601700,75349.1,1710358319999,120674.2523000,523,33411.2,1710361980000,1.6085
1710358320000,1.601700,1.603300,1.601200,1.602700,35679.0,1710358379999,57149.6822400,312,22776.1,1710361980000,1.6085
1710358380000,1.602600,1.603100,1.601700,1.601800,51292.2,1710358439999,82194.7645000,343,16359.9,1710361980000,1.6085
1710358440000,1.601800,1.601900,1.600400,1.601200,86722.7,1710358499999,138843.3065000,479,39979.7,1710361980000,1.6085
1710358500000,1.601200,1.601400,1.600500,1.600800,40414.9,1710358559999,64695.2918700,284,23234.3,1710361980000,1.6085
1710358560000,1.600800,1.601000,1.600300,1.600500,20805.2,1710358619999,33300.7926000,262,9258.6,1710361980000,1.6085
1710358620000,1.600400,1.600900,1.596700,1.600200,389364.5,1710358679999,622714.8922500,1364,105373.8,1710361980000,1.6085
1710358680000,1.600200,1.601100,1.599800,1.600500,39102.0,1710358739999,62583.3452600,330,27689.1,1710361980000,1.6085
1710358740000,1.600600,1.601500,1.600600,1.601400,17624.8,1710358799999,28219.5035000,249,14753.2,1710361980000,1.6085
1710358800000,1.601400,1.603900,1.601400,1.602000,53391.0,1710358859999,85564.7922400,368,35674.6,1710361980000,1.6085
1710358860000,1.602000,1.603900,1.601600,1.603700,49618.9,1710358919999,79527.4890200,349,35426.2,1710361980000,1.6085
1710358920000,1.603600,1.605600,1.603600,1.605300,83901.0,1710358979999,134640.3410800,528,65382.7,1710361980000,1.6085
1710358980000,1.605300,1.605600,1.604000,1.605000,44346.4,1710359039999,71171.7627100,358,32879.0,1710361980000,1.6085
1710359040000,1.605000,1.605100,1.601300,1.602300,38265.0,1710359099999,61332.9969400,322,13121.2,1710361980000,1.6085
1710359100000,1.602500,1.602900,1.600700,1.601600,57592.4,1710359159999,92242.8161700,336,20319.8,1710361980000,1.6085
1710359160000,1.601600,1.604300,1.601600,1.604200,58904.7,1710359219999,94443.5846400,423,32660.1,1710361980000,1.6085
1710359220000,1.604200,1.606300,1.602800,1.605800,45145.1,1710359279999,72454.6821800,376,29732.1,1710361980000,1.6085
1710359280000,1.605800,1.606100,1.604200,1.606100,17101.0,1710359339999,27449.6608100,214,13637.8,1710361980000,1.6085
1710359340000,1.606100,1.607700,1.606100,1.607100,49254.4,1710359399999,79151.6712000,317,32613.5,1710361980000,1.6085
1710359400000,1.607100,1.607800,1.606800,1.606800,10256.2,1710359459999,16483.0917200,205,4413.8,1710361980000,1.6085
1710359460000,1.606800,1.606900,1.604500,1.605900,44167.9,1710359519999,70911.4725200,319,17698.1,1710361980000,1.6085
1710359520000,1.605900,1.606900,1.605500,1.606500,32314.5,1710359579999,51912.7274500,285,25047.2,1710361980000,1.6085
1710359580000,1.606500,1.606900,1.606100,1.606600,11109.6,1710359639999,17847.3888900,188,6266.3,1710361980000,1.6085
1710359640000,1.606600,1.608000,1.606200,1.607600,22025.4,1710359699999,35396.0916500,278,8312.7,1710361980000,1.6085
1710359700000,1.607600,1.607900,1.607100,1.607500,11525.5,1710359759999,18528.8391000,196,7982.3,1710361980000,1.6085
1710359760000,1.607500,1.608200,1.607100,1.608100,18383.2,1710359819999,29553.4695300,259,8473.8,1710361980000,1.6085
1710359820000,1.608100,1.608100,1.607400,1.607600,25683.8,1710359879999,41292.9492600,252,7706.0,1710361980000,1.6085
1710359880000,1.607700,1.607700,1.605800,1.605800,31078.6,1710359939999,49925.3342400,244,7993.7,1710361980000,1.6085
