Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710563280000,1.3371000,1.3378000,1.3355000,1.3358000,13776,1710563339999,18418.9204000,127,8706,1710568680000,1.3291
1710563340000,1.3360000,1.3376000,1.3360000,1.3366000,3584,1710563399999,4791.2565000,63,2987,1710568680000,1.3291
1710563400000,1.3368000,1.3370000,1.3349000,1.3364000,9096,1710563459999,12150.3605000,114,4471,1710568680000,1.3291
1710563460000,1.3363000,1.3371000,1.3335000,1.3335000,6070,1710563519999,8105.7385000,122,1344,1710568680000,1.3291
1710563520000,1.3334000,1.3334000,1.3260000,1.3260000,10969,1710563579999,14580.3456000,252,1607,1710568680000,1.3291
1710563580000,1.3259000,1.3264000,1.3213000,1.3213000,15126,1710563639999,20031.4594000,256,6358,1710568680000,1.3291
1710563640000,1.3214000,1.3237000,1.3214000,1.3229000,23604,1710563699999,31216.3858000,250,9841,1710568680000,1.3291
1710563700000,1.3229000,1.3230000,1.3204000,1.3219000,9433,1710563759999,12465.3332000,206,5785,1710568680000,1.3291
1710563760000,1.3217000,1.3233000,1.3195000,1.3231000,24090,1710563819999,31840.9246000,277,14208,1710568680000,1.3291
1710563820000,1.3231000,1.3259000,1.3231000,1.3241000,30162,1710563879999,39950.0357000,249,9634,1710568680000,1.3291
1710563880000,1.3242000,1.3252000,1.3226000,1.3231000,10056,1710563939999,13315.1683000,111,5394,1710568680000,1.3291
1710563940000,1.3234000,1.3239000,1.3215000,1.3239000,10368,1710563999999,13713.8896000,129,5409,1710568680000,1.3291
1710564000000,1.3238000,1.3242000,1.3218000,1.3237000,9802,1710564059999,12965.8108000,190,3411,1710568680000,1.3291
1710564060000,1.3236000,1.3236000,1.3225000,1.3225000,4799,1710564119999,6350.1939000,45,504,1710568680000,1.3291
1710564120000,1.3223000,1.3223000,1.3203000,1.3221000,5803,1710564179999,7667.3521000,111,3783,1710568680000,1.3291
1710564180000,1.3222000,1.3255000,1.3211000,1.3250000,26914,1710564239999,35606.0780000,249,12175,1710568680000,1.3291
1710564240000,1.3252000,1.3283000,1.3252000,1.3267000,5732,1710564299999,7605.0241000,125,3148,1710568680000,1.3291
1710564300000,1.3269000,1.3299000,1.3269000,1.3284000,8855,1710564359999,11761.8213000,137,4599,1710568680000,1.3291
1710564360000,1.3285000,1.3285000,1.3255000,1.3267000,30464,1710564419999,40412.3664000,216,4865,1710568680000,1.3291
1710564420000,1.3262000,1.3264000,1.3252000,1.3254000,4048,1710564479999,5368.6254000,28,707,1710568680000,1.3291
1710564480000,1.3248000,1.3250000,1.3227000,1.3232000,5344,1710564539999,7073.9803000,94,3628,1710568680000,1.3291
1710564540000,1.3233000,1.3250000,1.3229000,1.3231000,20720,1710564599999,27439.2229000,137,17366,1710568680000,1.3291
1710564600000,1.3234000,1.3242000,1.3207000,1.3230000,4400,1710564659999,5816.5185000,118,1823,1710568680000,1.3291
1710564660000,1.3229000,1.3250000,1.3220000,1.3248000,8856,1710564719999,11717.9191000,45,3233,1710568680000,1.3291
1710564720000,1.3248000,1.3288000,1.3241000,1.3279000,10358,1710564779999,13738.9599000,127,6648,1710568680000,1.3291
1710564780000,1.3278000,1.3279000,1.3264000,1.3269000,4640,1710564839999,6159.2273000,85,3125,1710568680000,1.3291
1710564840000,1.3268000,1.3272000,1.3263000,1.3265000,1739,1710564899999,2307.2040000,56,1179,1710568680000,1.3291
1710564900000,1.3264000,1.3264000,1.3237000,1.3241000,11902,1710564959999,15761.3354000,101,1717,1710568680000,1.3291
1710564960000,1.3241000,1.3241000,1.3221000,1.3226000,3139,1710565019999,4152.6020000,51,722,1710568680000,1.3291
1710565020000,1.3228000,1.3232000,1.3223000,1.3224000,7842,1710565079999,10373.6119000,70,4723,1710568680000,1.3291
1710565080000,1.3225000,1.3230000,1.3201000,1.3201000,3350,1710565139999,4429.4528000,72,1523,1710568680000,1.3291
1710565140000,1.3200000,1.3233000,1.3200000,1.3228000,22346,1710565199999,29547.1851000,196,18194,1710568680000,1.3291
1710565200000,1.3230000,1.3238000,1.3222000,1.3237000,5237,1710565259999,6929.0346000,63,1566,1710568680000,1.3291
1710565260000,1.3237000,1.3237000,1.3189000,1.3196000,5863,1710565319999,7741.1326000,144,2005,1710568680000,1.3291
1710565320000,1.3194000,1.3197000,1.3181000,1.3182000,9785,1710565379999,12906.4783000,145,7429,1710568680000,1.3291
1710565380000,1.3183000,1.3183000,1.3132000,1.3132000,28616,1710565439999,37641.7543000,274,4363,1710568680000,1.3291
1710565440000,1.3132000,1.3153000,1.3126000,1.3136000,25729,1710565499999,33808.0262000,238,10875,1710568680000,1.3291
1710565500000,1.3137000,1.3160000,1.3137000,1.3140000,6280,1710565559999,8256.3969000,111,1177,1710568680000,1.3291
1710565560000,1.3141000,1.3146000,1.3113000,1.3136000,16217,1710565619999,21295.7320000,220,5695,1710568680000,1.3291
1710565620000,1.3135000,1.3164000,1.3120000,1.3149000,13740,1710565679999,18056.6304000,198,6497,1710568680000,1.3291
1710565680000,1.3148000,1.3148000,1.3130000,1.3134000,1711,1710565739999,2247.9144000,51,487,1710568680000,1.3291
1710565740000,1.3139000,1.3178000,1.3139000,1.3169000,5007,1710565799999,6589.3193000,110,2477,1710568680000,1.3291
1710565800000,1.3169000,1.3185000,1.3156000,1.3164000,8060,1710565859999,10616.8076000,149,2215,1710568680000,1.3291
1710565860000,1.3165000,1.3165000,1.3141000,1.3145000,6403,1710565919999,8419.8393000,104,3559,1710568680000,1.3291
1710565920000,1.3145000,1.3145000,1.3085000,1.3088000,18046,1710565979999,23650.9329000,190,2976,1710568680000,1.3291
1710565980000,1.3087000,1.3096000,1.3041000,1.3045000,34417,1710566039999,44968.2501000,292,5031,1710568680000,1.3291
1710566040000,1.3052000,1.3063000,1.3025000,1.3031000,24211,1710566099999,31577.4606000,327,5505,1710568680000,1.3291
1710566100000,1.3033000,1.3063000,1.3001000,1.3043000,60773,1710566159999,79222.6840000,393,26214,1710568680000,1.3291
1710566160000,1.3042000,1.3053000,1.3017000,1.3027000,29172,1710566219999,38024.3680000,403,13615,1710568680000,1.3291
1710566220000,1.3026000,1.3029000,1.3006000,1.3012000,14804,1710566279999,19267.6647000,284,7217,1710568680000,1.3291
1710566280000,1.3010000,1.3020000,1.2995000,1.2999000,15656,1710566339999,20360.6322000,295,8425,1710568680000,1.3291
1710566340000,1.3000000,1.3014000,1.2970000,1.2977000,12756,1710566399999,16574.8261000,272,5766,1710568680000,1.3291
1710566400000,1.2979000,1.3021000,1.2971000,1.3021000,13787,1710566459999,17922.2037000,241,9774,1710568680000,1.3291
1710566460000,1.3021000,1.3021000,1.2987000,1.3004000,18102,1710566519999,23542.4580000,254,7499,1710568680000,1.3291
1710566520000,1.3005000,1.3036000,1.2986000,1.3031000,16643,1710566579999,21670.1109000,208,5850,1710568680000,1.3291
1710566580000,1.3030000,1.3031000,1.2998000,1.3015000,11608,1710566639999,15108.9330000,200,5356,1710568680000,1.3291
1710566640000,1.3013000,1.3034000,1.3009000,1.3031000,10768,1710566699999,14023.4351000,192,7005,1710568680000,1.3291
1710566700000,1.3032000,1.3040000,1.3026000,1.3038000,11546,1710566759999,15047.0673000,140,4919,1710568680000,1.3291
1710566760000,1.3039000,1.3041000,1.2990000,1.2993000,13575,1710566819999,17668.2330000,229,4034,1710568680000,1.3291
1710566820000,1.2991000,1.2994000,1.2973000,1.2974000,5416,1710566879999,7032.9976000,129,2883,1710568680000,1.3291
1710566880000,1.2977000,1.3000000,1.2977000,1.2978000,5030,1710566939999,6532.8987000,115,1704,1710568680000,1.3291
1710566940000,1.2977000,1.2977000,1.2963000,1.2970000,6167,1710566999999,7998.5948000,127,1205,1710568680000,1.3291
1710567000000,1.2966000,1.3022000,1.2965000,1.3022000,7436,1710567059999,9669.8204000,142,3372,1710568680000,1.3291
1710567060000,1.3021000,1.3060000,1.3020000,1.3057000,7687,1710567119999,10022.5681000,102,4282,1710568680000,1.3291
1710567120000,1.3057000,1.3062000,1.3029000,1.3056000,11162,1710567179999,14562.7349000,180,4795,1710568680000,1.3291
1710567180000,1.3056000,1.3069000,1.3055000,1.3067000,3578,1710567239999,4673.4701000,77,3428,1710568680000,1.3291
1710567240000,1.3067000,1.3093000,1.3067000,1.3084000,7231,1710567299999,9461.8791000,97,1738,1710568680000,1.3291
1710567300000,1.3087000,1.3109000,1.3084000,1.3099000,4894,1710567359999,6409.2606000,126,2362,1710568680000,1.3291
1710567360000,1.3099000,1.3131000,1.3099000,1.3122000,8390,1710567419999,11006.6525000,156,4769,1710568680000,1.3291
1710567420000,1.3121000,1.3121000,1.3079000,1.3080000,5325,1710567479999,6971.7035000,115,1355,1710568680000,1.3291
1710567480000,1.3080000,1.3086000,1.3062000,1.3082000,17802,1710567539999,23274.6052000,245,6893,1710568680000,1.3291
1710567540000,1.3081000,1.3083000,1.3063000,1.3079000,5919,1710567599999,7738.7761000,105,2739,1710568680000,1.3291
1710567600000,1.3080000,1.3091000,1.3065000,1.3081000,11601,1710567659999,15172.1451000,169,4147,1710568680000,1.3291
1710567660000,1.3083000,1.3101000,1.3069000,1.3069000,6614,1710567719999,8656.1309000,132,5269,1710568680000,1.3291
1710567720000,1.3071000,1.3094000,1.3065000,1.3093000,1058,1710567779999,1383.8677000,44,794,1710568680000,1.3291
1710567780000,1.3096000,1.3116000,1.3096000,1.3112000,3720,1710567839999,4877.4227000,51,2192,1710568680000,1.3291
1710567840000,1.3110000,1.3123000,1.3109000,1.3122000,5335,1710567899999,6996.8241000,72,3563,1710568680000,1.3291
1710567900000,1.3122000,1.3122000,1.3100000,1.3119000,6305,1710567959999,8264.9004000,105,4445,1710568680000,1.3291
1710567960000,1.3118000,1.3133000,1.3100000,1.3133000,2629,1710568019999,3447.7145000,90,1643,1710568680000,1.3291
1710568020000,1.3134000,1.3148000,1.3120000,1.3120000,4040,1710568079999,5307.7054000,98,1046,1710568680000,1.3291
1710568080000,1.3119000,1.3119000,1.3091000,1.3091000,6026,1710568139999,7893.7011000,76,1319,1710568680000,1.3291
1710568140000,1.3091000,1.3116000,1.3090000,1.3111000,3414,1710568199999,4472.9374000,114,2158,1710568680000,1.3291
1710568200000,1.3110000,1.3126000,1.3105000,1.3111000,8506,1710568259999,11155.1912000,123,5473,1710568680000,1.3291
1710568260000,1.3106000,1.3128000,1.3098000,1.3128000,5110,1710568319999,6699.7851000,69,4154,1710568680000,1.3291
1710568320000,1.3128000,1.3161000,1.3127000,1.3152000,3832,1710568379999,5036.4365000,65,1726,1710568680000,1.3291
1710568380000,1.3151000,1.3156000,1.3134000,1.3145000,3363,1710568439999,4422.0482000,70,1825,1710568680000,1.3291
1710568440000,1.3150000,1.3175000,1.3150000,1.3164000,26009,1710568499999,34231.7743000,76,25305,1710568680000,1.3291
1710568500000,1.3161000,1.3176000,1.3149000,1.3176000,5429,1710568559999,7143.7109000,104,1872,1710568680000,1.3291
1710568560000,1.3178000,1.3201000,1.3174000,1.3201000,1872,1710568619999,2470.3486000,79,956,1710568680000,1.3291
1710568620000,1.3200000,1.3214000,1.3200000,1.3203000,1992,1710568679999,2630.7424000,63,776,1710568680000,1.3291
1710568680000,1.3203000,1.3302000,1.3201000,1.3249000,112030,1710568739999,148472.9145000,750,82076,1710568680000,1.3291
1710568740000,1.3248000,1.3248000,1.3230000,1.3230000,24268,1710568799999,32122.9463000,196,12727,1710568680000,1.3291
1710568800000,1.3223000,1.3240000,1.3215000,1.3220000,19598,1710568859999,25917.6065000,205,14177,1710568680000,1.3291
1710568860000,1.3222000,1.3301000,1.3222000,1.3300000,26718,1710568919999,35495.3568000,256,20971,1710568680000,1.3291
1710568920000,1.3295000,1.3296000,1.3254000,1.3261000,31390,1710568979999,41644.6464000,267,7910,1710568680000,1.3291
1710568980000,1.3262000,1.3264000,1.3226000,1.3231000,12252,1710569039999,16231.2467000,157,4526,1710568680000,1.3291
1710569040000,1.3233000,1.3254000,1.3215000,1.3252000,24193,1710569099999,31998.5844000,238,9790,1710568680000,1.3291
