Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711706520000,1.8475,1.8538,1.8475,1.8516,13789,1711706579999,25531.8552,267,10451,1711711860000,1.8794
1711706580000,1.8516,1.8537,1.8501,1.8535,20814,1711706639999,38551.9245,226,10602,1711711860000,1.8794
1711706640000,1.8531,1.8537,1.8502,1.8503,9441,1711706699999,17484.2856,138,5769,1711711860000,1.8794
1711706700000,1.8504,1.8513,1.8470,1.8470,12844,1711706759999,23753.0174,198,5611,1711711860000,1.8794
1711706760000,1.8467,1.8479,1.8454,1.8463,6881,1711706819999,12704.7267,121,4121,1711711860000,1.8794
1711706820000,1.8465,1.8472,1.8440,1.8470,12020,1711706879999,22187.8202,215,9592,1711711860000,1.8794
1711706880000,1.8465,1.8499,1.8450,1.8494,6509,1711706939999,12025.2749,129,3639,1711711860000,1.8794
1711706940000,1.8493,1.8517,1.8493,1.8502,13962,1711706999999,25840.4874,160,9643,1711711860000,1.8794
1711707000000,1.8506,1.8559,1.8506,1.8550,17603,1711707059999,32638.6244,328,14826,1711711860000,1.8794
1711707060000,1.8546,1.8549,1.8534,1.8549,10427,1711707119999,19331.1046,150,6074,1711711860000,1.8794
1711707120000,1.8549,1.8553,1.8546,1.8548,3679,1711707179999,6824.1508,73,1093,1711711860000,1.8794
1711707180000,1.8546,1.8560,1.8544,1.8560,31505,1711707239999,58466.5316,210,28872,1711711860000,1.8794
1711707240000,1.8560,1.8640,1.8559,1.8620,150595,1711707299999,279845.5664,664,121706,1711711860000,1.8794
1711707300000,1.8619,1.8659,1.8601,1.8648,30731,1711707359999,57278.2792,264,15627,1711711860000,1.8794
1711707360000,1.8648,1.8665,1.8646,1.8658,12115,1711707419999,22603.4486,166,5195,1711711860000,1.8794
1711707420000,1.8659,1.8662,1.8623,1.8623,20146,1711707479999,37564.7956,177,6388,1711711860000,1.8794
1711707480000,1.8632,1.8632,1.8590,1.8601,5995,1711707539999,11155.1633,134,2020,1711711860000,1.8794
1711707540000,1.8597,1.8597,1.8571,1.8575,13896,1711707599999,25827.3527,175,3386,1711711860000,1.8794
1711707600000,1.8573,1.8596,1.8572,1.8575,6410,1711707659999,11911.7946,105,4030,1711711860000,1.8794
1711707660000,1.8574,1.8592,1.8570,1.8580,4416,1711707719999,8203.3252,82,2583,1711711860000,1.8794
1711707720000,1.8580,1.8580,1.8554,1.8562,8994,1711707779999,16693.5596,112,4340,1711711860000,1.8794
1711707780000,1.8562,1.8563,1.8553,1.8559,2360,1711707839999,4379.2195,40,2010,1711711860000,1.8794
1711707840000,1.8557,1.8567,1.8550,1.8564,3880,1711707899999,7199.7348,81,977,1711711860000,1.8794
1711707900000,1.8565,1.8573,1.8539,1.8539,16634,1711707959999,30856.3111,186,1502,1711711860000,1.8794
1711707960000,1.8538,1.8538,1.8526,1.8529,7326,1711708019999,13576.1602,124,3777,1711711860000,1.8794
1711708020000,1.8529,1.8532,1.8524,1.8532,4369,1711708079999,8095.3767,65,3107,1711711860000,1.8794
1711708080000,1.8531,1.8532,1.8509,1.8510,7599,1711708139999,14075.1268,62,423,1711711860000,1.8794
1711708140000,1.8508,1.8537,1.8508,1.8534,16785,1711708199999,31089.1681,129,14483,1711711860000,1.8794
1711708200000,1.8534,1.8546,1.8496,1.8496,11645,1711708259999,21565.6053,157,3872,1711711860000,1.8794
1711708260000,1.8496,1.8504,1.8480,1.8496,7826,1711708319999,14471.3405,139,3382,1711711860000,1.8794
1711708320000,1.8493,1.8508,1.8493,1.8507,2832,1711708379999,5239.5542,71,1628,1711711860000,1.8794
1711708380000,1.8507,1.8518,1.8498,1.8518,3784,1711708439999,7003.6375,78,3446,1711711860000,1.8794
1711708440000,1.8518,1.8532,1.8504,1.8512,5190,1711708499999,9611.3441,92,3169,1711711860000,1.8794
1711708500000,1.8510,1.8532,1.8504,1.8529,6065,1711708559999,11231.3596,102,4273,1711711860000,1.8794
1711708560000,1.8529,1.8536,1.8521,1.8530,7835,1711708619999,14514.5791,108,4240,1711711860000,1.8794
