Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710311580000,0.5596,0.5606,0.5585,0.5592,50993.7,1710311639999,28524.13060,247,9669.1,1710316920000,0.5596
1710311640000,0.5592,0.5597,0.5592,0.5596,19222.6,1710311699999,10756.94864,84,5942.8,1710316920000,0.5596
1710311700000,0.5596,0.5604,0.5589,0.5595,59306.6,1710311759999,33202.80090,212,40054.2,1710316920000,0.5596
1710311760000,0.5597,0.5604,0.5593,0.5599,24620.0,1710311819999,13784.16689,135,14501.9,1710316920000,0.5596
1710311820000,0.5599,0.5599,0.5585,0.5585,43076.5,1710311879999,24089.24122,146,7634.6,1710316920000,0.5596
1710311880000,0.5584,0.5602,0.5576,0.5602,78518.6,1710311939999,43877.87232,270,60424.4,1710316920000,0.5596
1710311940000,0.5601,0.5603,0.5585,0.5586,49592.8,1710311999999,27738.09102,192,17560.7,1710316920000,0.5596
1710312000000,0.5584,0.5586,0.5571,0.5572,83593.2,1710312059999,46609.08763,309,38081.3,1710316920000,0.5596
1710312060000,0.5571,0.5571,0.5563,0.5565,87291.3,1710312119999,48593.57123,298,28931.3,1710316920000,0.5596
1710312120000,0.5567,0.5567,0.5540,0.5541,325611.3,1710312179999,180835.88807,944,93496.8,1710316920000,0.5596
1710312180000,0.5540,0.5559,0.5539,0.5554,177565.7,1710312239999,98513.92701,677,109306.2,1710316920000,0.5596
1710312240000,0.5555,0.5582,0.5553,0.5561,213923.8,1710312299999,119166.08715,592,104229.2,1710316920000,0.5596
1710312300000,0.5562,0.5567,0.5551,0.5551,77843.1,1710312359999,43279.36074,282,19879.7,1710316920000,0.5596
1710312360000,0.5552,0.5561,0.5551,0.5554,42565.0,1710312419999,23648.09026,214,29767.4,1710316920000,0.5596
1710312420000,0.5555,0.5570,0.5553,0.5567,68960.1,1710312479999,38351.45094,334,55834.5,1710316920000,0.5596
1710312480000,0.5568,0.5582,0.5562,0.5577,74331.5,1710312539999,41426.07421,368,35615.1,1710316920000,0.5596
1710312540000,0.5576,0.5577,0.5553,0.5553,122676.2,1710312599999,68210.94975,390,40270.8,1710316920000,0.5596
1710312600000,0.5554,0.5569,0.5551,0.5568,73498.0,1710312659999,40851.86620,342,43964.2,1710316920000,0.5596
1710312660000,0.5569,0.5569,0.5551,0.5554,63031.3,1710312719999,35032.05070,224,17663.7,1710316920000,0.5596
1710312720000,0.5554,0.5568,0.5542,0.5544,139068.9,1710312779999,77250.83914,467,61678.1,1710316920000,0.5596
1710312780000,0.5545,0.5557,0.5545,0.5545,50987.0,1710312839999,28299.41971,276,31083.8,1710316920000,0.5596
1710312840000,0.5546,0.5548,0.5541,0.5545,50631.3,1710312899999,28066.02707,177,9050.0,1710316920000,0.5596
1710312900000,0.5545,0.5550,0.5530,0.5536,170808.8,1710312959999,94585.37624,534,55217.7,1710316920000,0.5596
1710312960000,0.5536,0.5545,0.5535,0.5539,132614.7,1710313019999,73464.22194,353,44249.6,1710316920000,0.5596
1710313020000,0.5540,0.5544,0.5531,0.5539,176238.5,1710313079999,97620.43517,508,125807.8,1710316920000,0.5596
1710313080000,0.5538,0.5546,0.5533,0.5539,83532.6,1710313139999,46282.71613,264,57911.8,1710316920000,0.5596
1710313140000,0.5540,0.5563,0.5540,0.5558,140413.9,1710313199999,77968.45109,367,93574.3,1710316920000,0.5596
1710313200000,0.5558,0.5565,0.5557,0.5560,39616.0,1710313259999,22033.76384,221,23320.3,1710316920000,0.5596
1710313260000,0.5560,0.5563,0.5541,0.5543,58538.9,1710313319999,32489.04738,260,17414.9,1710316920000,0.5596
1710313320000,0.5544,0.5549,0.5533,0.5534,72404.2,1710313379999,40107.35679,264,27062.7,1710316920000,0.5596
1710313380000,0.5534,0.5539,0.5522,0.5531,165188.5,1710313439999,91370.62446,459,63615.5,1710316920000,0.5596
1710313440000,0.5530,0.5549,0.5529,0.5546,135042.7,1710313499999,74809.42504,415,91535.8,1710316920000,0.5596
1710313500000,0.5545,0.5562,0.5545,0.5558,102453.5,1710313559999,56914.07987,298,85379.1,1710316920000,0.5596
1710313560000,0.5559,0.5576,0.5557,0.5564,145414.7,1710313619999,80948.61660,431,51575.6,1710316920000,0.5596
1710313620000,0.5563,0.5563,0.5534,0.5549,153266.7,1710313679999,85011.08380,407,38260.5,1710316920000,0.5596
1710313680000,0.5548,0.5558,0.5548,0.5550,35240.3,1710313739999,19572.30701,126,20654.7,1710316920000,0.5596
1710313740000,0.5550,0.5555,0.5547,0.5553,46192.2,1710313799999,25643.94771,164,31117.0,1710316920000,0.5596
1710313800000,0.5552,0.5555,0.5531,0.5541,176392.5,1710313859999,97725.89092,378,32375.9,1710316920000,0.5596
1710313860000,0.5541,0.5552,0.5539,0.5546,59808.0,1710313919999,33169.39331,192,26240.8,1710316920000,0.5596
1710313920000,0.5546,0.5553,0.5529,0.5529,84298.3,1710313979999,46701.35918,268,23434.5,1710316920000,0.5596
1710313980000,0.5529,0.5534,0.5523,0.5527,91920.0,1710314039999,50821.92428,193,17426.5,1710316920000,0.5596
1710314040000,0.5527,0.5542,0.5520,0.5540,196398.2,1710314099999,108596.57544,321,145506.6,1710316920000,0.5596
1710314100000,0.5540,0.5552,0.5538,0.5548,120892.0,1710314159999,67049.35418,244,60303.0,1710316920000,0.5596
1710314160000,0.5548,0.5554,0.5536,0.5553,93334.9,1710314219999,51752.45322,298,45840.3,1710316920000,0.5596
1710314220000,0.5551,0.5555,0.5539,0.5550,57086.9,1710314279999,31679.65939,141,10957.4,1710316920000,0.5596
1710314280000,0.5551,0.5552,0.5544,0.5550,49114.9,1710314339999,27252.17448,126,17282.5,1710316920000,0.5596
1710314340000,0.5550,0.5563,0.5548,0.5563,75819.2,1710314399999,42130.13264,187,57714.0,1710316920000,0.5596
1710314400000,0.5563,0.5571,0.5562,0.5563,54262.6,1710314459999,30206.59407,275,19248.3,1710316920000,0.5596
1710314460000,0.5563,0.5570,0.5546,0.5549,31597.6,1710314519999,17565.92083,159,5113.9,1710316920000,0.5596
1710314520000,0.5549,0.5552,0.5540,0.5542,113082.9,1710314579999,62715.55551,372,55136.9,1710316920000,0.5596
1710314580000,0.5541,0.5549,0.5538,0.5540,41786.0,1710314639999,23163.60733,136,23507.9,1710316920000,0.5596
1710314640000,0.5539,0.5539,0.5532,0.5536,32591.4,1710314699999,18040.71220,131,3147.7,1710316920000,0.5596
1710314700000,0.5535,0.5542,0.5528,0.5529,65658.0,1710314759999,36339.04522,208,28209.8,1710316920000,0.5596
1710314760000,0.5528,0.5529,0.5521,0.5521,34478.0,1710314819999,19049.74611,147,15368.7,1710316920000,0.5596
1710314820000,0.5521,0.5527,0.5520,0.5527,83199.2,1710314879999,45946.30189,226,44006.9,1710316920000,0.5596
1710314880000,0.5527,0.5539,0.5527,0.5537,22794.7,1710314939999,12614.84355,107,21211.9,1710316920000,0.5596
1710314940000,0.5535,0.5539,0.5533,0.5535,31912.3,1710314999999,17663.43613,103,5588.7,1710316920000,0.5596
1710315000000,0.5534,0.5542,0.5532,0.5539,60500.1,1710315059999,33491.82238,174,27434.2,1710316920000,0.5596
1710315060000,0.5540,0.5544,0.5525,0.5527,47565.0,1710315119999,26335.41364,175,11536.6,1710316920000,0.5596
1710315120000,0.5527,0.5528,0.5519,0.5523,45974.8,1710315179999,25389.56585,161,13352.2,1710316920000,0.5596
1710315180000,0.5523,0.5530,0.5518,0.5521,47212.2,1710315239999,26077.73101,159,15539.6,1710316920000,0.5596
1710315240000,0.5520,0.5528,0.5520,0.5523,42787.7,1710315299999,23636.91438,175,14593.2,1710316920000,0.5596
1710315300000,0.5524,0.5544,0.5524,0.5540,107526.8,1710315359999,59526.82138,294,86503.7,1710316920000,0.5596
1710315360000,0.5540,0.5556,0.5536,0.5548,110488.0,1710315419999,61303.99615,399,73337.6,1710316920000,0.5596
1710315420000,0.5549,0.5550,0.5530,0.5535,29150.5,1710315479999,16152.70776,150,15960.4,1710316920000,0.5596
1710315480000,0.5536,0.5538,0.5523,0.5526,32862.5,1710315539999,18168.97142,110,12746.7,1710316920000,0.5596
1710315540000,0.5526,0.5543,0.5526,0.5538,87575.0,1710315599999,48463.67440,265,56906.8,1710316920000,0.5596
1710315600000,0.5537,0.5544,0.5531,0.5535,37703.5,1710315659999,20880.44580,197,20049.9,1710316920000,0.5596
1710315660000,0.5534,0.5535,0.5525,0.5527,15755.1,1710315719999,8710.78373,91,5208.0,1710316920000,0.5596
1710315720000,0.5527,0.5529,0.5519,0.5523,70319.5,1710315779999,38834.17199,245,25173.7,1710316920000,0.5596
1710315780000,0.5522,0.5528,0.5516,0.5526,48839.3,1710315839999,26969.15496,149,30524.5,1710316920000,0.5596
1710315840000,0.5523,0.5532,0.5523,0.5525,45527.3,1710315899999,25160.27883,201,27431.1,1710316920000,0.5596
1710315900000,0.5527,0.5546,0.5527,0.5544,68322.8,1710315959999,37829.81838,243,55819.3,1710316920000,0.5596
1710315960000,0.5545,0.5577,0.5545,0.5563,182513.2,1710316019999,101522.35742,568,112463.4,1710316920000,0.5596
1710316020000,0.5563,0.5574,0.5538,0.5542,235708.2,1710316079999,131076.78189,814,92390.6,1710316920000,0.5596
1710316080000,0.5540,0.5548,0.5528,0.5543,80946.3,1710316139999,44827.07245,276,43732.2,1710316920000,0.5596
1710316140000,0.5544,0.5551,0.5531,0.5541,119876.8,1710316199999,66460.27515,298,91505.1,1710316920000,0.5596
1710316200000,0.5540,0.5543,0.5534,0.5537,34770.9,1710316259999,19253.09705,158,9461.8,1710316920000,0.5596
1710316260000,0.5536,0.5567,0.5536,0.5562,122856.8,1710316319999,68174.31355,398,73848.1,1710316920000,0.5596
1710316320000,0.5562,0.5568,0.5557,0.5563,78307.9,1710316379999,43562.06427,249,31826.6,1710316920000,0.5596
1710316380000,0.5562,0.5570,0.5554,0.5561,61020.8,1710316439999,33935.85022,266,26767.1,1710316920000,0.5596
1710316440000,0.5562,0.5569,0.5554,0.5555,37091.9,1710316499999,20640.00776,183,18600.8,1710316920000,0.5596
1710316500000,0.5555,0.5558,0.5540,0.5549,36482.1,1710316559999,20236.89421,171,11470.5,1710316920000,0.5596
1710316560000,0.5548,0.5549,0.5536,0.5537,22378.2,1710316619999,12401.51237,102,8741.4,1710316920000,0.5596
1710316620000,0.5537,0.5540,0.5531,0.5531,79760.0,1710316679999,44148.44572,148,55223.4,1710316920000,0.5596
1710316680000,0.5530,0.5540,0.5530,0.5539,10639.1,1710316739999,5889.21748,79,6421.0,1710316920000,0.5596
1710316740000,0.5540,0.5543,0.5533,0.5533,37352.2,1710316799999,20686.66056,144,10865.9,1710316920000,0.5596
