Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711912560000,2.9189,2.9203,2.9165,2.9202,4500.7,1711912619999,13137.40331,142,2176.0,1711917900000,3.0978
1711912620000,2.9195,2.9195,2.9142,2.9152,2930.5,1711912679999,8545.70403,122,963.0,1711917900000,3.0978
1711912680000,2.9156,2.9194,2.9130,2.9194,2396.9,1711912739999,6990.02024,90,1495.9,1711917900000,3.0978
1711912740000,2.9193,2.9212,2.9193,2.9194,4964.0,1711912799999,14497.64091,102,2377.5,1711917900000,3.0978
1711912800000,2.9194,2.9236,2.9166,2.9216,6442.5,1711912859999,18811.61137,158,5220.1,1711917900000,3.0978
1711912860000,2.9215,2.9215,2.9183,2.9191,5187.7,1711912919999,15145.44059,116,1384.4,1711917900000,3.0978
1711912920000,2.9192,2.9235,2.9180,2.9222,13356.1,1711912979999,39014.42064,256,7970.6,1711917900000,3.0978
1711912980000,2.9215,2.9297,2.9204,2.9290,5736.0,1711913039999,16777.80529,153,3337.2,1711917900000,3.0978
1711913040000,2.9289,2.9310,2.9253,2.9261,15601.9,1711913099999,45686.55359,515,7127.8,1711917900000,3.0978
1711913100000,2.9262,2.9280,2.9238,2.9247,20023.4,1711913159999,58577.56645,194,16096.3,1711917900000,3.0978
1711913160000,2.9242,2.9248,2.9198,2.9206,12457.6,1711913219999,36414.88451,226,6295.9,1711917900000,3.0978
1711913220000,2.9200,2.9236,2.9197,2.9234,4732.5,1711913279999,13822.84176,145,3698.0,1711917900000,3.0978
1711913280000,2.9235,2.9235,2.9170,2.9188,5579.3,1711913339999,16287.04807,138,2492.4,1711917900000,3.0978
1711913340000,2.9189,2.9233,2.9189,2.9226,10431.3,1711913399999,30477.14852,131,6880.2,1711917900000,3.0978
1711913400000,2.9227,2.9291,2.9202,2.9202,39106.2,1711913459999,114287.65995,406,8186.0,1711917900000,3.0978
1711913460000,2.9201,2.9253,2.9189,2.9247,11665.5,1711913519999,34088.95552,233,9529.4,1711917900000,3.0978
1711913520000,2.9242,2.9254,2.9223,2.9246,7558.1,1711913579999,22096.28247,162,6161.1,1711917900000,3.0978
1711913580000,2.9249,2.9304,2.9228,2.9300,11982.0,1711913639999,35050.42838,228,8787.2,1711917900000,3.0978
1711913640000,2.9299,2.9410,2.9299,2.9379,57256.5,1711913699999,168134.48053,697,47768.8,1711917900000,3.0978
1711913700000,2.9378,2.9482,2.9329,2.9466,57634.0,1711913759999,169540.92429,771,45928.3,1711917900000,3.0978
1711913760000,2.9459,2.9520,2.9375,2.9484,53592.3,1711913819999,157849.42228,872,34162.7,1711917900000,3.0978
1711913820000,2.9488,2.9649,2.9428,2.9647,47329.2,1711913879999,139924.61738,793,32128.1,1711917900000,3.0978
1711913880000,2.9647,2.9690,2.9552,2.9584,129551.6,1711913939999,383855.75396,1394,54663.8,1711917900000,3.0978
1711913940000,2.9582,3.0000,2.9565,2.9963,452532.7,1711913999999,1349050.78671,3857,342105.1,1711917900000,3.0978
1711914000000,2.9967,3.0561,2.9860,3.0281,951741.1,1711914059999,2881404.09940,7681,572504.3,1711917900000,3.0978
1711914060000,3.0286,3.0313,2.9981,3.0010,225105.3,1711914119999,678552.50602,2919,114732.1,1711917900000,3.0978
1711914120000,3.0010,3.0018,2.9847,2.9948,94409.1,1711914179999,282657.63858,1484,47857.5,1711917900000,3.0978
1711914180000,2.9942,3.0166,2.9913,3.0139,137996.8,1711914239999,414771.22588,2015,81089.5,1711917900000,3.0978
1711914240000,3.0137,3.0390,3.0120,3.0313,190666.6,1711914299999,576802.60177,2411,110383.4,1711917900000,3.0978
1711914300000,3.0313,3.0331,3.0178,3.0262,165157.2,1711914359999,499805.27415,2215,63672.6,1711917900000,3.0978
1711914360000,3.0261,3.0543,3.0136,3.0498,240000.7,1711914419999,728243.89856,2915,119078.0,1711917900000,3.0978
1711914420000,3.0496,3.0503,3.0290,3.0406,234795.5,1711914479999,713317.04003,2439,102747.5,1711917900000,3.0978
1711914480000,3.0404,3.0607,3.0302,3.0515,224542.0,1711914539999,684400.87833,2567,97767.7,1711917900000,3.0978
1711914540000,3.0514,3.0880,3.0470,3.0844,309473.6,1711914599999,949790.41377,3591,185804.1,1711917900000,3.0978
1711914600000,3.0841,3.0872,3.0547,3.0666,390641.9,1711914659999,1198215.43489,3868,146987.3,1711917900000,3.0978
1711914660000,3.0662,3.0832,3.0576,3.0579,294594.1,1711914719999,904316.61982,3262,128254.4,1711917900000,3.0978
1711914720000,3.0580,3.0583,3.0436,3.0503,267332.8,1711914779999,815560.68562,2395,124312.8,1711917900000,3.0978
1711914780000,3.0501,3.0578,3.0382,3.0575,188277.5,1711914839999,573996.60022,1774,82258.0,1711917900000,3.0978
1711914840000,3.0574,3.0822,3.0546,3.0674,258092.9,1711914899999,791694.12454,2620,122181.1,1711917900000,3.0978
1711914900000,3.0677,3.0720,3.0500,3.0530,123512.9,1711914959999,378249.33850,2007,51118.9,1711917900000,3.0978
1711914960000,3.0531,3.0656,3.0475,3.0646,79116.4,1711915019999,241767.92705,1134,36766.5,1711917900000,3.0978
1711915020000,3.0653,3.0659,3.0598,3.0654,51330.2,1711915079999,157181.02666,802,24659.0,1711917900000,3.0978
1711915080000,3.0648,3.0736,3.0587,3.0587,108311.5,1711915139999,332251.61210,1555,51258.4,1711917900000,3.0978
1711915140000,3.0593,3.0679,3.0579,3.0595,51300.1,1711915199999,157052.30773,667,19379.7,1711917900000,3.0978
1711915200000,3.0598,3.0768,3.0581,3.0766,96564.1,1711915259999,296084.52813,1455,57230.4,1711917900000,3.0978
1711915260000,3.0766,3.0778,3.0659,3.0659,134439.9,1711915319999,412961.46642,1372,44602.9,1711917900000,3.0978
1711915320000,3.0664,3.0735,3.0623,3.0722,77825.4,1711915379999,238613.73941,1007,29332.6,1711917900000,3.0978
1711915380000,3.0724,3.0930,3.0712,3.0901,128696.2,1711915439999,396976.87340,1690,64227.5,1711917900000,3.0978
1711915440000,3.0901,3.0975,3.0805,3.0828,186377.5,1711915499999,575911.13907,2213,83564.8,1711917900000,3.0978
1711915500000,3.0828,3.0982,3.0819,3.0943,87997.3,1711915559999,272044.37632,1248,43187.7,1711917900000,3.0978
1711915560000,3.0931,3.0931,3.0821,3.0838,52471.6,1711915619999,161983.49233,879,17647.0,1711917900000,3.0978
1711915620000,3.0838,3.0849,3.0766,3.0811,82300.3,1711915679999,253598.84016,935,25077.2,1711917900000,3.0978
1711915680000,3.0806,3.0953,3.0753,3.0873,101736.3,1711915739999,314058.83581,1176,63390.2,1711917900000,3.0978
1711915740000,3.0875,3.0918,3.0865,3.0879,38237.3,1711915799999,118113.65965,548,15072.1,1711917900000,3.0978
1711915800000,3.0879,3.0982,3.0838,3.0896,111562.6,1711915859999,344842.43789,1148,59140.5,1711917900000,3.0978
1711915860000,3.0897,3.1036,3.0887,3.1009,107287.6,1711915919999,332267.03015,1731,68311.0,1711917900000,3.0978
1711915920000,3.1010,3.1053,3.0953,3.1028,78502.2,1711915979999,243355.30339,1130,29530.2,1711917900000,3.0978
1711915980000,3.1026,3.1069,3.1002,3.1044,62858.0,1711916039999,195136.71936,872,25070.5,1711917900000,3.0978
1711916040000,3.1046,3.1084,3.0879,3.0938,107601.5,1711916099999,333527.49194,1456,36723.5,1711917900000,3.0978
1711916100000,3.0936,3.1080,3.0860,3.1037,90147.5,1711916159999,279038.34875,1317,54483.4,1711917900000,3.0978
1711916160000,3.1038,3.1040,3.0963,3.1016,53273.6,1711916219999,165202.94534,878,24684.2,1711917900000,3.0978
1711916220000,3.1016,3.1031,3.0993,3.1027,33959.1,1711916279999,105312.28607,537,13217.2,1711917900000,3.0978
1711916280000,3.1020,3.1129,3.0995,3.1044,108785.9,1711916339999,337941.97715,1368,54924.4,1711917900000,3.0978
1711916340000,3.1048,3.1218,3.1043,3.1204,80658.8,1711916399999,251191.16421,1255,51462.7,1711917900000,3.0978
1711916400000,3.1201,3.1500,3.1190,3.1323,349395.3,1711916459999,1095110.74373,4874,194907.8,1711917900000,3.0978
1711916460000,3.1328,3.1450,3.1238,3.1408,204249.4,1711916519999,640281.72495,2885,104518.4,1711917900000,3.0978
1711916520000,3.1408,3.1408,3.1177,3.1217,152272.1,1711916579999,476229.74074,2467,61640.6,1711917900000,3.0978
1711916580000,3.1212,3.1323,3.1202,3.1296,69048.6,1711916639999,215858.90840,1071,37521.8,1711917900000,3.0978
1711916640000,3.1290,3.1290,3.1159,3.1218,66583.2,1711916699999,207833.96891,859,24547.9,1711917900000,3.0978
1711916700000,3.1206,3.1206,3.1077,3.1135,90317.7,1711916759999,281286.09323,1706,35672.5,1711917900000,3.0978
1711916760000,3.1132,3.1132,3.0899,3.0948,177188.8,1711916819999,549410.52763,2171,64315.3,1711917900000,3.0978
1711916820000,3.0941,3.1158,3.0930,3.1100,108812.5,1711916879999,337953.84528,1555,83851.7,1711917900000,3.0978
1711916880000,3.1100,3.1182,3.1061,3.1177,75545.8,1711916939999,235099.69105,1236,38941.3,1711917900000,3.0978
1711916940000,3.1176,3.1331,3.1136,3.1222,128817.4,1711916999999,402504.73111,1678,79499.8,1711917900000,3.0978
1711917000000,3.1224,3.1273,3.1142,3.1236,85982.8,1711917059999,268335.83049,1059,46605.0,1711917900000,3.0978
1711917060000,3.1235,3.1235,3.0900,3.1055,148870.4,1711917119999,462059.65401,1743,51519.2,1711917900000,3.0978
1711917120000,3.1049,3.1050,3.0823,3.0831,100472.8,1711917179999,310616.08675,1305,21158.6,1711917900000,3.0978
1711917180000,3.0830,3.0899,3.0800,3.0881,85477.2,1711917239999,263596.92023,1112,44021.1,1711917900000,3.0978
1711917240000,3.0884,3.0975,3.0882,3.0895,71420.0,1711917299999,220905.93222,1039,39967.1,1711917900000,3.0978
1711917300000,3.0898,3.0918,3.0766,3.0782,102172.8,1711917359999,315137.37446,1124,20348.7,1711917900000,3.0978
1711917360000,3.0778,3.0823,3.0717,3.0793,102981.8,1711917419999,316729.94459,1302,50611.3,1711917900000,3.0978
1711917420000,3.0788,3.0883,3.0777,3.0777,51057.1,1711917479999,157423.07396,772,27421.5,1711917900000,3.0978
1711917480000,3.0777,3.0777,3.0513,3.0570,276063.3,1711917539999,846206.02706,3055,60342.7,1711917900000,3.0978
1711917540000,3.0573,3.0826,3.0571,3.0780,114487.9,1711917599999,351397.77166,1698,84996.4,1711917900000,3.0978
1711917600000,3.0775,3.0775,3.0655,3.0672,31045.0,1711917659999,95277.54380,610,14400.4,1711917900000,3.0978
1711917660000,3.0666,3.0675,3.0569,3.0616,84802.3,1711917719999,259785.32861,919,27611.7,1711917900000,3.0978
1711917720000,3.0619,3.0672,3.0609,3.0672,47833.4,1711917779999,146534.27072,574,31730.7,1711917900000,3.0978
1711917780000,3.0668,3.0679,3.0609,3.0652,22902.5,1711917839999,70179.69650,392,14082.2,1711917900000,3.0978
1711917840000,3.0647,3.0669,3.0615,3.0632,27108.4,1711917899999,83061.49435,501,17080.4,1711917900000,3.0978
1711917900000,3.0625,3.1367,3.0620,3.0832,1017659.2,1711917959999,3149856.24904,8490,540401.1,1711917900000,3.0978
1711917960000,3.0838,3.0906,3.0796,3.0833,65788.7,1711918019999,202937.03213,1167,33863.8,1711917900000,3.0978
1711918020000,3.0830,3.1005,3.0817,3.0977,92743.5,1711918079999,286883.06234,1360,48021.1,1711917900000,3.0978
1711918080000,3.0975,3.1083,3.0971,3.1038,91716.6,1711918139999,284567.16979,1321,59215.6,1711917900000,3.0978
1711918140000,3.1035,3.1065,3.0860,3.0906,84209.5,1711918199999,260550.03449,1113,17452.8,1711917900000,3.0978
1711918200000,3.0905,3.1074,3.0902,3.1006,64884.2,1711918259999,201156.76690,1157,32816.4,1711917900000,3.0978
1711918260000,3.1000,3.1150,3.0935,3.1058,100789.8,1711918319999,313054.82542,1197,69553.6,1711917900000,3.0978
1711918320000,3.1057,3.1150,3.1041,3.1150,96579.2,1711918379999,300506.26972,966,63635.8,1711917900000,3.0978
1711918380000,3.1145,3.1222,3.1068,3.1180,159865.2,1711918439999,498238.97935,1628,92054.1,1711917900000,3.0978
1711918440000,3.1181,3.1306,3.1168,3.1274,59550.4,1711918499999,186030.00884,1048,27127.0,1711917900000,3.0978
1711918500000,3.1279,3.1357,3.1251,3.1286,70260.7,1711918559999,219903.39096,1147,31396.0,1711917900000,3.0978
1711918560000,3.1287,3.1601,3.1248,3.1340,298193.9,1711918619999,937183.94710,3239,143142.1,1711917900000,3.0978
1711918620000,3.1340,3.1460,3.1262,3.1262,101160.8,1711918679999,317330.02353,1553,38057.3,1711917900000,3.0978
1711918680000,3.1260,3.1340,3.1227,3.1286,57997.0,1711918739999,181497.37259,985,23750.3,1711917900000,3.0978
1711918740000,3.1285,3.1293,3.1198,3.1210,46439.9,1711918799999,145095.89392,897,18054.5,1711917900000,3.0978
1711918800000,3.1214,3.1227,3.1092,3.1177,130088.8,1711918859999,405484.78003,1479,52452.2,1711917900000,3.0978
1711918860000,3.1168,3.1320,3.1148,3.1292,80876.7,1711918919999,252533.03746,1559,55824.0,1711917900000,3.0978
1711918920000,3.1294,3.1320,3.1243,3.1246,43349.0,1711918979999,135581.35996,753,15966.6,1711917900000,3.0978
1711918980000,3.1246,3.1256,3.1095,3.1111,53454.9,1711919039999,166688.39199,1051,17706.4,1711917900000,3.0978
1711919040000,3.1111,3.1224,3.1084,3.1132,58289.9,1711919099999,181553.53486,853,29911.8,1711917900000,3.0978
1711919100000,3.1134,3.1135,3.1003,3.1003,57659.4,1711919159999,179093.05056,906,14555.4,1711917900000,3.0978
1711919160000,3.1005,3.1013,3.0852,3.0894,133854.2,1711919219999,413794.62626,1721,47449.5,1711917900000,3.0978
1711919220000,3.0897,3.0996,3.0890,3.0890,55553.0,1711919279999,171939.56771,769,32642.3,1711917900000,3.0978
1711919280000,3.0889,3.1006,3.0879,3.0956,40891.4,1711919339999,126542.59508,706,25188.3,1711917900000,3.0978
1711919340000,3.0956,3.1034,3.0947,3.1005,31929.8,1711919399999,98938.72961,534,15706.7,1711917900000,3.0978
1711919400000,3.0995,3.1010,3.0899,3.0936,37707.5,1711919459999,116649.76816,568,14759.2,1711917900000,3.0978
1711919460000,3.0935,3.1136,3.0935,3.1098,62187.6,1711919519999,193182.72387,967,47766.2,1711917900000,3.0978
1711919520000,3.1084,3.1084,3.0966,3.1006,65161.1,1711919579999,202098.33983,791,21890.5,1711917900000,3.0978
1711919580000,3.1007,3.1036,3.0998,3.1004,15697.7,1711919639999,48687.87419,234,4202.1,1711917900000,3.0978
1711919640000,3.1000,3.1018,3.0956,3.1007,20539.3,1711919699999,63644.15990,361,11233.3,1711917900000,3.0978
1711919700000,3.1007,3.1019,3.0862,3.0901,88471.2,1711919759999,273579.14813,1057,33840.8,1711917900000,3.0978
1711919760000,3.0896,3.0951,3.0747,3.0779,64022.0,1711919819999,197316.48929,966,10763.3,1711917900000,3.0978
1711919820000,3.0783,3.0804,3.0639,3.0771,116387.3,1711919879999,357434.69581,1597,39998.0,1711917900000,3.0978
