Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710897360000,13.4071000,13.4170000,13.3673000,13.3721000,13737,1710897419999,183970.3045000,810,5196,1710902760000,13.5629
1710897420000,13.3696000,13.3861000,13.3508000,13.3659000,23855,1710897479999,318851.2671000,1291,6345,1710902760000,13.5629
1710897480000,13.3672000,13.3794000,13.3223000,13.3359000,28173,1710897539999,375821.6461000,1375,11054,1710902760000,13.5629
1710897540000,13.3380000,13.3419000,13.3012000,13.3373000,20579,1710897599999,274184.7694000,1364,9482,1710902760000,13.5629
1710897600000,13.3367000,13.3788000,13.3129000,13.3669000,41043,1710897659999,547981.4641000,1854,28096,1710902760000,13.5629
1710897660000,13.3657000,13.3662000,13.3250000,13.3280000,14549,1710897719999,194121.4384000,943,6225,1710902760000,13.5629
1710897720000,13.3290000,13.3423000,13.2873000,13.3298000,22589,1710897779999,300726.8074000,1246,10049,1710902760000,13.5629
1710897780000,13.3325000,13.3567000,13.2930000,13.2988000,17895,1710897839999,238436.0896000,980,6175,1710902760000,13.5629
1710897840000,13.2988000,13.3223000,13.2673000,13.2822000,11456,1710897899999,152355.7054000,940,5764,1710902760000,13.5629
1710897900000,13.2790000,13.2914000,13.2500000,13.2903000,37201,1710897959999,493648.2431000,1836,12644,1710902760000,13.5629
1710897960000,13.2900000,13.2900000,13.2379000,13.2398000,26973,1710898019999,357615.9351000,1386,7786,1710902760000,13.5629
1710898020000,13.2395000,13.2981000,13.2293000,13.2962000,14056,1710898079999,186443.1400000,1140,8667,1710902760000,13.5629
1710898080000,13.2956000,13.3119000,13.2765000,13.2804000,24029,1710898139999,319393.2790000,1196,13464,1710902760000,13.5629
1710898140000,13.2821000,13.3156000,13.2821000,13.2989000,20912,1710898199999,278140.7369000,1106,13864,1710902760000,13.5629
1710898200000,13.2987000,13.3214000,13.2423000,13.2541000,23310,1710898259999,309466.2063000,1285,9656,1710902760000,13.5629
1710898260000,13.2526000,13.2815000,13.2522000,13.2616000,15313,1710898319999,203128.7718000,905,6983,1710902760000,13.5629
1710898320000,13.2602000,13.2885000,13.2586000,13.2698000,10854,1710898379999,144053.8007000,712,6749,1710902760000,13.5629
1710898380000,13.2690000,13.2720000,13.2255000,13.2389000,22536,1710898439999,298409.7901000,1196,7532,1710902760000,13.5629
1710898440000,13.2384000,13.2409000,13.2100000,13.2163000,27533,1710898499999,364069.4602000,1575,12265,1710902760000,13.5629
1710898500000,13.2158000,13.2334000,13.1920000,13.2334000,18227,1710898559999,240816.4128000,1500,10946,1710902760000,13.5629
1710898560000,13.2321000,13.2543000,13.2189000,13.2437000,10463,1710898619999,138468.8177000,798,6370,1710902760000,13.5629
1710898620000,13.2449000,13.2696000,13.2073000,13.2147000,20615,1710898679999,272958.2720000,1258,9784,1710902760000,13.5629
1710898680000,13.2147000,13.2289000,13.1651000,13.1834000,44524,1710898739999,587173.5243000,1714,9944,1710902760000,13.5629
1710898740000,13.1817000,13.2074000,13.1637000,13.1964000,26360,1710898799999,347453.9863000,1334,15564,1710902760000,13.5629
1710898800000,13.1970000,13.2121000,13.1641000,13.1743000,20782,1710898859999,274036.1295000,988,8320,1710902760000,13.5629
1710898860000,13.1751000,13.1938000,13.1500000,13.1526000,23284,1710898919999,306613.3888000,1085,8594,1710902760000,13.5629
1710898920000,13.1513000,13.1748000,13.1500000,13.1562000,20864,1710898979999,274500.9680000,1000,8400,1710902760000,13.5629
1710898980000,13.1552000,13.1794000,13.1504000,13.1635000,11058,1710899039999,145540.9296000,661,6977,1710902760000,13.5629
1710899040000,13.1628000,13.1634000,13.1266000,13.1276000,15485,1710899099999,203566.4782000,1153,5580,1710902760000,13.5629
1710899100000,13.1275000,13.1938000,13.1204000,13.1830000,22049,1710899159999,290040.2434000,1275,15895,1710902760000,13.5629
1710899160000,13.1829000,13.2012000,13.1784000,13.1819000,7340,1710899219999,96819.6862000,469,5218,1710902760000,13.5629
1710899220000,13.1823000,13.2004000,13.1760000,13.1974000,7970,1710899279999,105092.6937000,558,4473,1710902760000,13.5629
1710899280000,13.1972000,13.2099000,13.1761000,13.1803000,8391,1710899339999,110695.5411000,518,5308,1710902760000,13.5629
1710899340000,13.1767000,13.1767000,13.1448000,13.1632000,12690,1710899399999,166971.8629000,705,6129,1710902760000,13.5629
1710899400000,13.1596000,13.2073000,13.1473000,13.1996000,11052,1710899459999,145717.4861000,700,8280,1710902760000,13.5629
1710899460000,13.2001000,13.2433000,13.1962000,13.2123000,12036,1710899519999,159116.8317000,805,6566,1710902760000,13.5629
1710899520000,13.2137000,13.2137000,13.1473000,13.1569000,15612,1710899579999,205695.8405000,910,6807,1710902760000,13.5629
1710899580000,13.1543000,13.1773000,13.1352000,13.1689000,14624,1710899639999,192403.2163000,851,8458,1710902760000,13.5629
1710899640000,13.1684000,13.1704000,13.1469000,13.1503000,11880,1710899699999,156343.9449000,684,6583,1710902760000,13.5629
1710899700000,13.1496000,13.1755000,13.1356000,13.1637000,13414,1710899759999,176453.8441000,686,9030,1710902760000,13.5629
1710899760000,13.1629000,13.1679000,13.1148000,13.1225000,20801,1710899819999,273341.9733000,1192,9561,1710902760000,13.5629
