Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711737180000,0.0265180,0.0265260,0.0265070,0.0265170,21319,1711737239999,565.3810180,39,18343,1711742520000,0.026613
1711737240000,0.0265160,0.0265600,0.0265040,0.0265500,145698,1711737299999,3866.7957340,109,131738,1711742520000,0.026613
1711737300000,0.0265490,0.0265760,0.0265230,0.0265230,281030,1711737359999,7460.2506970,126,188624,1711742520000,0.026613
1711737360000,0.0265210,0.0265220,0.0265020,0.0265040,121916,1711737419999,3232.6341210,42,73846,1711742520000,0.026613
1711737420000,0.0265180,0.0265210,0.0265040,0.0265140,59076,1711737479999,1566.2473400,47,16188,1711742520000,0.026613
1711737480000,0.0265070,0.0265070,0.0264770,0.0264830,23417,1711737539999,620.3857280,26,8975,1711742520000,0.026613
1711737540000,0.0264840,0.0265130,0.0264840,0.0264960,103213,1711737599999,2735.3050920,28,40751,1711742520000,0.026613
1711737600000,0.0264930,0.0265250,0.0264930,0.0265020,47598,1711737659999,1262.0187270,49,5880,1711742520000,0.026613
1711737660000,0.0264980,0.0265100,0.0264640,0.0264670,184532,1711737719999,4888.0110120,42,119164,1711742520000,0.026613
1711737720000,0.0264730,0.0264960,0.0264630,0.0264910,122726,1711737779999,3249.4616990,46,13233,1711742520000,0.026613
1711737780000,0.0264890,0.0264890,0.0264710,0.0264820,165211,1711737839999,4374.1851250,42,8786,1711742520000,0.026613
1711737840000,0.0264820,0.0264820,0.0264620,0.0264650,165357,1711737899999,4376.1648110,45,12698,1711742520000,0.026613
1711737900000,0.0264620,0.0264620,0.0264120,0.0264120,256357,1711737959999,6774.2366810,54,138298,1711742520000,0.026613
1711737960000,0.0264170,0.0264540,0.0263990,0.0264270,774779,1711738019999,20473.5714930,236,293442,1711742520000,0.026613
1711738020000,0.0264270,0.0264270,0.0263940,0.0263970,94706,1711738079999,2500.6997600,41,83495,1711742520000,0.026613
1711738080000,0.0264000,0.0264020,0.0263630,0.0263700,127038,1711738139999,3351.1514750,59,33487,1711742520000,0.026613
1711738140000,0.0263700,0.0263880,0.0263660,0.0263720,285909,1711738199999,7543.3913850,50,61953,1711742520000,0.026613
1711738200000,0.0263750,0.0263800,0.0263590,0.0263590,42098,1711738259999,1110.0133500,37,20028,1711742520000,0.026613
1711738260000,0.0263570,0.0263910,0.0263500,0.0263890,219077,1711738319999,5773.4381190,51,173581,1711742520000,0.026613
1711738320000,0.0263880,0.0264010,0.0263850,0.0264010,22114,1711738379999,583.7048220,14,11692,1711742520000,0.026613
1711738380000,0.0263990,0.0263990,0.0263380,0.0263650,171162,1711738439999,4511.7300330,82,3702,1711742520000,0.026613
1711738440000,0.0263550,0.0263770,0.0263450,0.0263770,33046,1711738499999,871.0605740,28,20185,1711742520000,0.026613
1711738500000,0.0263790,0.0264120,0.0263790,0.0264040,149758,1711738559999,3952.6453560,101,133574,1711742520000,0.026613
1711738560000,0.0264120,0.0264120,0.0263730,0.0263730,191329,1711738619999,5049.1076620,65,109530,1711742520000,0.026613
1711738620000,0.0263730,0.0263880,0.0263610,0.0263730,69985,1711738679999,1846.3157760,45,32475,1711742520000,0.026613
1711738680000,0.0263860,0.0264060,0.0263770,0.0263770,159883,1711738739999,4218.4781420,57,98789,1711742520000,0.026613
1711738740000,0.0263760,0.0264250,0.0263760,0.0264110,391169,1711738799999,10323.8883590,146,224763,1711742520000,0.026613
1711738800000,0.0264080,0.0264190,0.0263950,0.0263950,60856,1711738859999,1607.0376190,57,30948,1711742520000,0.026613
1711738860000,0.0263830,0.0263920,0.0263590,0.0263800,211960,1711738919999,5588.7634510,87,154927,1711742520000,0.026613
1711738920000,0.0263750,0.0263900,0.0263570,0.0263570,93817,1711738979999,2474.5545990,67,80173,1711742520000,0.026613
1711738980000,0.0263610,0.0263750,0.0263600,0.0263750,33386,1711739039999,880.1678320,37,8121,1711742520000,0.026613
1711739040000,0.0263710,0.0263810,0.0263580,0.0263810,43387,1711739099999,1143.9497230,42,15013,1711742520000,0.026613
1711739100000,0.0263750,0.0263980,0.0263560,0.0263980,94449,1711739159999,2490.8340540,50,38687,1711742520000,0.026613
1711739160000,0.0264070,0.0264070,0.0263440,0.0263440,187117,1711739219999,4933.3418480,75,108353,1711742520000,0.026613
1711739220000,0.0263380,0.0263550,0.0263210,0.0263550,152890,1711739279999,4026.6663990,64,43581,1711742520000,0.026613
1711739280000,0.0263600,0.0263610,0.0263380,0.0263570,68213,1711739339999,1797.3345190,41,41585,1711742520000,0.026613
1711739340000,0.0263670,0.0263710,0.0263370,0.0263370,161607,1711739399999,4258.5286870,82,25307,1711742520000,0.026613
1711739400000,0.0263320,0.0263470,0.0263180,0.0263450,366527,1711739459999,9649.8468890,136,110565,1711742520000,0.026613
1711739460000,0.0263490,0.0263700,0.0263470,0.0263540,28676,1711739519999,755.8216430,33,6936,1711742520000,0.026613
