Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710366840000,0.0782400,0.0782500,0.0781000,0.0781100,62108,1710366899999,4856.7606300,90,16667,1710372240000,0.07966
1710366900000,0.0781100,0.0781200,0.0780800,0.0781100,34790,1710366959999,2717.2948900,85,13254,1710372240000,0.07966
1710366960000,0.0781200,0.0782300,0.0780700,0.0782100,32873,1710367019999,2568.1300300,69,10758,1710372240000,0.07966
1710367020000,0.0782100,0.0783200,0.0780500,0.0783100,237370,1710367079999,18563.9607500,212,119647,1710372240000,0.07966
1710367080000,0.0783000,0.0783200,0.0781300,0.0782700,163875,1710367139999,12825.3774400,134,58034,1710372240000,0.07966
1710367140000,0.0782800,0.0783400,0.0782800,0.0783400,37613,1710367199999,2945.4446100,75,17180,1710372240000,0.07966
1710367200000,0.0783500,0.0784400,0.0783400,0.0784100,55436,1710367259999,4346.2262800,103,30555,1710372240000,0.07966
1710367260000,0.0784200,0.0784800,0.0780700,0.0781600,148392,1710367319999,11611.0932700,207,30347,1710372240000,0.07966
1710367320000,0.0781600,0.0782000,0.0779500,0.0781400,173712,1710367379999,13556.7749200,145,39027,1710372240000,0.07966
1710367380000,0.0781700,0.0782200,0.0781300,0.0781300,42315,1710367439999,3308.5442700,56,19119,1710372240000,0.07966
1710367440000,0.0781200,0.0781300,0.0780100,0.0780300,20331,1710367499999,1586.9958000,72,8814,1710372240000,0.07966
1710367500000,0.0780200,0.0781700,0.0780000,0.0781600,27652,1710367559999,2157.9317200,62,15297,1710372240000,0.07966
1710367560000,0.0781600,0.0782500,0.0781600,0.0782300,131653,1710367619999,10298.0762600,120,39789,1710372240000,0.07966
1710367620000,0.0782200,0.0782700,0.0781800,0.0781900,88694,1710367679999,6938.2865200,78,50317,1710372240000,0.07966
1710367680000,0.0781800,0.0782100,0.0781600,0.0782100,17022,1710367739999,1330.7118000,29,10147,1710372240000,0.07966
1710367740000,0.0782000,0.0782700,0.0782000,0.0782600,25360,1710367799999,1984.0372200,48,13967,1710372240000,0.07966
1710367800000,0.0782600,0.0784600,0.0782600,0.0784500,210468,1710367859999,16502.2401300,168,96752,1710372240000,0.07966
1710367860000,0.0784500,0.0784500,0.0784100,0.0784300,18159,1710367919999,1424.1774800,42,14610,1710372240000,0.07966
1710367920000,0.0784300,0.0788400,0.0784300,0.0786600,441697,1710367979999,34753.9823200,384,310006,1710372240000,0.07966
1710367980000,0.0785900,0.0786300,0.0785700,0.0785800,22732,1710368039999,1786.4392900,62,13360,1710372240000,0.07966
1710368040000,0.0785700,0.0785700,0.0785100,0.0785100,40142,1710368099999,3153.3237000,33,2219,1710372240000,0.07966
1710368100000,0.0785100,0.0788400,0.0785100,0.0788100,59732,1710368159999,4702.8186700,136,55739,1710372240000,0.07966
1710368160000,0.0788200,0.0788800,0.0787900,0.0788400,41956,1710368219999,3307.5199400,86,24255,1710372240000,0.07966
1710368220000,0.0788400,0.0788500,0.0787900,0.0788400,27181,1710368279999,2141.8735800,38,5498,1710372240000,0.07966
1710368280000,0.0788500,0.0793600,0.0784400,0.0784600,1235922,1710368339999,97518.3044300,738,636894,1710372240000,0.07966
1710368340000,0.0784700,0.0786900,0.0784400,0.0786400,150474,1710368399999,11825.3060000,152,70126,1710372240000,0.07966
1710368400000,0.0786600,0.0787100,0.0785800,0.0785800,65409,1710368459999,5143.7251300,160,37361,1710372240000,0.07966
1710368460000,0.0785800,0.0788100,0.0785400,0.0788100,68547,1710368519999,5394.1638400,156,60659,1710372240000,0.07966
1710368520000,0.0788200,0.0789100,0.0788100,0.0788800,124832,1710368579999,9843.7476400,113,23355,1710372240000,0.07966
1710368580000,0.0789000,0.0789400,0.0787300,0.0788700,94566,1710368639999,7456.2975800,160,28088,1710372240000,0.07966
1710368640000,0.0788600,0.0789400,0.0788300,0.0788900,70543,1710368699999,5565.7123000,144,55133,1710372240000,0.07966
1710368700000,0.0788800,0.0788800,0.0787200,0.0787200,35084,1710368759999,2765.2003300,99,7818,1710372240000,0.07966
1710368760000,0.0787100,0.0787100,0.0784200,0.0785000,155779,1710368819999,12240.6385000,207,40302,1710372240000,0.07966
1710368820000,0.0785100,0.0786500,0.0785100,0.0785400,84781,1710368879999,6662.2629000,135,23758,1710372240000,0.07966
1710368880000,0.0785500,0.0785600,0.0785100,0.0785500,21040,1710368939999,1652.2146300,67,8721,1710372240000,0.07966
1710368940000,0.0785400,0.0785400,0.0784500,0.0785000,53892,1710368999999,4230.7218900,89,38656,1710372240000,0.07966
1710369000000,0.0785000,0.0786000,0.0784500,0.0786000,33464,1710369059999,2627.3967300,72,22482,1710372240000,0.07966
1710369060000,0.0785700,0.0787400,0.0785700,0.0786700,122332,1710369119999,9625.7200700,101,107594,1710372240000,0.07966
1710369120000,0.0786500,0.0786900,0.0785700,0.0785700,49803,1710369179999,3916.2508400,85,25535,1710372240000,0.07966
1710369180000,0.0785800,0.0785900,0.0784900,0.0785500,23477,1710369239999,1843.7354500,78,9307,1710372240000,0.07966
1710369240000,0.0785600,0.0786500,0.0785600,0.0785700,19298,1710369299999,1516.9026000,58,7018,1710372240000,0.07966
1710369300000,0.0785700,0.0786400,0.0785000,0.0785200,34831,1710369359999,2736.2360400,101,21534,1710372240000,0.07966
1710369360000,0.0785100,0.0788200,0.0785100,0.0787400,100514,1710369419999,7913.3927200,134,43121,1710372240000,0.07966
1710369420000,0.0787200,0.0787200,0.0786000,0.0786600,43619,1710369479999,3431.0656000,80,22183,1710372240000,0.07966
1710369480000,0.0786400,0.0786500,0.0785100,0.0785100,32669,1710369539999,2566.9795000,65,10993,1710372240000,0.07966
1710369540000,0.0785100,0.0785100,0.0783500,0.0783800,80534,1710369599999,6316.3954000,118,32178,1710372240000,0.07966
1710369600000,0.0783700,0.0785400,0.0783700,0.0785400,35659,1710369659999,2796.8475400,98,22732,1710372240000,0.07966
1710369660000,0.0785400,0.0786100,0.0783900,0.0784800,92033,1710369719999,7222.5152600,175,36051,1710372240000,0.07966
1710369720000,0.0784800,0.0785300,0.0784400,0.0785100,42774,1710369779999,3357.1226500,101,21720,1710372240000,0.07966
1710369780000,0.0785100,0.0785300,0.0784100,0.0784100,55954,1710369839999,4390.4691400,98,17591,1710372240000,0.07966
1710369840000,0.0784300,0.0785200,0.0784100,0.0785200,35836,1710369899999,2810.9189900,38,32323,1710372240000,0.07966
1710369900000,0.0785300,0.0785800,0.0784300,0.0785000,53700,1710369959999,4215.7293500,98,2857,1710372240000,0.07966
1710369960000,0.0785300,0.0786200,0.0785100,0.0786100,22600,1710370019999,1775.5757800,59,7287,1710372240000,0.07966
1710370020000,0.0786100,0.0786200,0.0784900,0.0785400,39158,1710370079999,3075.4513300,82,21304,1710372240000,0.07966
1710370080000,0.0785400,0.0785700,0.0785300,0.0785400,12820,1710370139999,1007.0105900,40,5223,1710372240000,0.07966
1710370140000,0.0785400,0.0785600,0.0784500,0.0784800,23519,1710370199999,1845.9127000,54,10451,1710372240000,0.07966
1710370200000,0.0784800,0.0784800,0.0784100,0.0784500,85675,1710370259999,6719.7315400,78,8796,1710372240000,0.07966
1710370260000,0.0784200,0.0784200,0.0782600,0.0783400,41956,1710370319999,3286.4234600,94,19535,1710372240000,0.07966
1710370320000,0.0783300,0.0783400,0.0782600,0.0783400,90309,1710370379999,7072.0750300,120,55712,1710372240000,0.07966
1710370380000,0.0783400,0.0784200,0.0783100,0.0783400,24718,1710370439999,1936.9875900,80,17783,1710372240000,0.07966
1710370440000,0.0783300,0.0783300,0.0782300,0.0782700,49876,1710370499999,3903.7587200,70,15377,1710372240000,0.07966
1710370500000,0.0782700,0.0782900,0.0782100,0.0782200,56711,1710370559999,4437.3722500,70,14501,1710372240000,0.07966
1710370560000,0.0782500,0.0782600,0.0782000,0.0782600,16636,1710370619999,1301.5074800,41,13193,1710372240000,0.07966
1710370620000,0.0782600,0.0783700,0.0782600,0.0783600,26160,1710370679999,2048.5854300,58,21992,1710372240000,0.07966
1710370680000,0.0783600,0.0784600,0.0783200,0.0784400,76804,1710370739999,6020.7022400,129,35004,1710372240000,0.07966
1710370740000,0.0784700,0.0785600,0.0784600,0.0784800,76440,1710370799999,6001.5645100,114,35486,1710372240000,0.07966
