Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710658560000,3.4006000,3.4056000,3.3925000,3.3944000,10660.6,1710658619999,36210.88101000,282,4136.0,1710663900000,3.4959
1710658620000,3.3949000,3.4041000,3.3864000,3.3898000,19722.9,1710658679999,66940.06803000,314,6198.9,1710663900000,3.4959
1710658680000,3.3892000,3.3969000,3.3863000,3.3934000,4404.8,1710658739999,14941.93885000,113,1990.2,1710663900000,3.4959
1710658740000,3.3942000,3.4000000,3.3811000,3.3811000,10005.4,1710658799999,33894.01831000,264,2256.4,1710663900000,3.4959
1710658800000,3.3819000,3.3922000,3.3789000,3.3890000,14497.1,1710658859999,49066.27387000,402,6788.8,1710663900000,3.4959
1710658860000,3.3899000,3.4054000,3.3872000,3.3940000,7760.3,1710658919999,26347.89513000,227,5880.4,1710663900000,3.4959
1710658920000,3.3969000,3.4050000,3.3952000,3.3961000,9719.0,1710658979999,33050.82179000,245,5984.3,1710663900000,3.4959
1710658980000,3.3972000,3.4112000,3.3967000,3.4040000,6231.4,1710659039999,21216.81770000,210,4142.6,1710663900000,3.4959
1710659040000,3.4038000,3.4112000,3.3955000,3.4061000,8296.0,1710659099999,28241.31248000,222,5265.6,1710663900000,3.4959
1710659100000,3.4064000,3.4132000,3.3985000,3.4070000,13788.4,1710659159999,46957.49805000,377,7595.4,1710663900000,3.4959
1710659160000,3.4084000,3.4123000,3.4031000,3.4097000,7934.5,1710659219999,27049.01882000,181,4192.9,1710663900000,3.4959
1710659220000,3.4074000,3.4088000,3.3990000,3.3992000,4433.5,1710659279999,15092.44093000,163,1790.8,1710663900000,3.4959
1710659280000,3.3986000,3.4043000,3.3985000,3.4000000,6805.2,1710659339999,23147.22826000,178,5074.6,1710663900000,3.4959
1710659340000,3.4013000,3.4036000,3.3928000,3.3930000,3205.3,1710659399999,10884.72732000,122,671.8,1710663900000,3.4959
1710659400000,3.3933000,3.3974000,3.3903000,3.3932000,3739.6,1710659459999,12692.86287000,143,2169.3,1710663900000,3.4959
1710659460000,3.3940000,3.3976000,3.3899000,3.3915000,4697.4,1710659519999,15939.06746000,169,3036.9,1710663900000,3.4959
1710659520000,3.3918000,3.3953000,3.3724000,3.3724000,21778.3,1710659579999,73660.73750000,476,2723.5,1710663900000,3.4959
1710659580000,3.3740000,3.3756000,3.3625000,3.3682000,21584.8,1710659639999,72729.43885000,423,3610.1,1710663900000,3.4959
