Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710422400000,104.125,104.151,104.007,104.084,181.3,1710422459999,18868.5298,169,105.5,1710427800000,103.756
1710422460000,104.092,104.094,103.714,103.733,1392.0,1710422519999,144574.6205,619,308.2,1710427800000,103.756
1710422520000,103.732,103.826,103.500,103.668,1557.7,1710422579999,161421.5754,811,580.8,1710427800000,103.756
1710422580000,103.662,103.758,103.517,103.551,1557.0,1710422639999,161326.5126,610,590.4,1710427800000,103.756
1710422640000,103.564,103.618,103.440,103.521,2296.5,1710422699999,237733.0900,1167,906.6,1710427800000,103.756
1710422700000,103.534,103.615,103.457,103.550,1381.0,1710422759999,143013.2949,522,983.0,1710427800000,103.756
1710422760000,103.550,103.993,103.520,103.824,2744.1,1710422819999,284941.4964,1012,1845.4,1710427800000,103.756
1710422820000,103.812,103.865,103.533,103.546,691.4,1710422879999,71692.8207,563,329.4,1710427800000,103.756
1710422880000,103.540,103.602,103.455,103.533,616.4,1710422939999,63807.5849,384,432.8,1710427800000,103.756
1710422940000,103.526,103.886,103.526,103.581,1135.5,1710422999999,117829.1905,528,872.6,1710427800000,103.756
1710423000000,103.569,103.678,103.443,103.561,518.8,1710423059999,53731.8126,416,255.8,1710427800000,103.756
1710423060000,103.571,103.742,103.570,103.692,531.6,1710423119999,55106.2639,356,375.3,1710427800000,103.756
1710423120000,103.703,103.787,103.655,103.699,575.7,1710423179999,59704.9521,375,249.6,1710427800000,103.756
1710423180000,103.686,103.686,103.273,103.358,2364.1,1710423239999,244473.1063,1237,897.8,1710427800000,103.756
1710423240000,103.366,103.450,103.220,103.348,1317.9,1710423299999,136142.8480,774,535.5,1710427800000,103.756
1710423300000,103.354,103.394,102.784,102.870,3327.8,1710423359999,342728.1743,1658,1049.5,1710427800000,103.756
1710423360000,102.881,103.335,102.555,103.156,3558.6,1710423419999,366102.4917,2005,1956.8,1710427800000,103.756
1710423420000,103.184,103.533,103.057,103.090,1713.3,1710423479999,176926.9656,1053,992.4,1710427800000,103.756
1710423480000,103.092,103.125,102.733,102.772,1781.5,1710423539999,183264.7936,879,657.7,1710427800000,103.756
1710423540000,102.769,102.769,102.001,102.368,7238.9,1710423599999,740603.4518,2635,2804.3,1710427800000,103.756
1710423600000,102.338,102.432,101.385,101.939,10360.6,1710423659999,1054800.8816,2988,2900.3,1710427800000,103.756
1710423660000,101.949,103.105,101.949,103.036,4756.6,1710423719999,488126.4880,2389,3631.4,1710427800000,103.756
1710423720000,103.051,103.093,102.500,102.794,2838.9,1710423779999,291942.3481,1635,1252.4,1710427800000,103.756
1710423780000,102.794,102.984,102.631,102.658,1036.9,1710423839999,106590.3463,772,503.6,1710427800000,103.756
1710423840000,102.659,102.789,102.615,102.789,818.4,1710423899999,84053.9317,601,509.0,1710427800000,103.756
1710423900000,102.779,102.853,102.351,102.384,1636.5,1710423959999,167917.9281,1027,801.9,1710427800000,103.756
1710423960000,102.389,102.406,101.761,102.244,4928.0,1710424019999,503101.9000,2506,2201.3,1710427800000,103.756
1710424020000,102.237,102.543,102.055,102.084,1501.5,1710424079999,153560.4452,1023,815.8,1710427800000,103.756
1710424080000,102.113,102.736,101.904,102.278,5049.4,1710424139999,517101.2821,2001,3185.5,1710427800000,103.756
1710424140000,102.317,102.325,101.566,101.745,3495.6,1710424199999,356819.1475,1654,1801.8,1710427800000,103.756
1710424200000,101.754,102.031,101.434,101.500,4066.6,1710424259999,413860.1008,2058,1833.7,1710427800000,103.756
1710424260000,101.469,101.679,101.083,101.108,5728.0,1710424319999,580558.7209,2535,2148.9,1710427800000,103.756
1710424320000,101.089,101.532,100.488,101.507,7719.1,1710424379999,778890.6536,3412,3894.7,1710427800000,103.756
1710424380000,101.480,101.741,101.212,101.485,5480.7,1710424439999,556286.1801,2802,3150.2,1710427800000,103.756
1710424440000,101.476,101.493,100.941,101.225,4956.5,1710424499999,501574.5460,2801,2823.4,1710427800000,103.756
1710424500000,101.212,101.550,100.857,100.945,3694.4,1710424559999,373716.8933,1863,1351.9,1710427800000,103.756
1710424560000,100.947,101.366,100.371,101.292,5756.3,1710424619999,580011.7212,2898,2886.2,1710427800000,103.756
1710424620000,101.288,102.251,101.248,102.239,3447.7,1710424679999,350947.5887,2091,2136.4,1710427800000,103.756
1710424680000,102.248,102.646,102.248,102.471,2691.6,1710424739999,275670.8139,1836,1422.6,1710427800000,103.756
1710424740000,102.484,102.561,101.919,102.187,2360.6,1710424799999,241102.9414,1334,1095.6,1710427800000,103.756
1710424800000,102.176,102.470,102.073,102.470,2399.5,1710424859999,245489.6598,1647,976.9,1710427800000,103.756
1710424860000,102.454,102.487,102.054,102.357,1392.0,1710424919999,142373.0012,901,472.0,1710427800000,103.756
1710424920000,102.346,102.750,102.195,102.557,2260.3,1710424979999,231712.4510,1179,1446.9,1710427800000,103.756
1710424980000,102.544,103.137,102.482,103.127,1839.2,1710425039999,189300.3961,1114,1083.6,1710427800000,103.756
1710425040000,103.103,103.576,103.014,103.460,2510.4,1710425099999,259271.5925,1381,1499.9,1710427800000,103.756
1710425100000,103.474,103.668,103.198,103.206,3406.5,1710425159999,352437.8313,1768,1343.3,1710427800000,103.756
1710425160000,103.225,103.282,102.890,103.217,2660.2,1710425219999,274245.4972,1144,937.3,1710427800000,103.756
1710425220000,103.231,103.314,103.094,103.150,1015.1,1710425279999,104746.4283,708,549.3,1710427800000,103.756
1710425280000,103.143,103.176,102.347,102.648,2754.6,1710425339999,282846.9883,1312,802.5,1710427800000,103.756
