Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711772040000,0.1591600,0.1593200,0.1591400,0.1591700,91069,1711772099999,14501.2319900,227,45466,1711777440000,0.1597
1711772100000,0.1591600,0.1600300,0.1591600,0.1597100,240671,1711772159999,38417.8331100,400,172908,1711777440000,0.1597
1711772160000,0.1596800,0.1597900,0.1594700,0.1595900,238573,1711772219999,38061.8944000,269,151852,1711777440000,0.1597
1711772220000,0.1595900,0.1600800,0.1595900,0.1600800,67199,1711772279999,10745.4889100,188,24644,1711777440000,0.1597
1711772280000,0.1600700,0.1622600,0.1600700,0.1615600,1196620,1711772339999,192790.9142600,1294,798756,1711777440000,0.1597
1711772340000,0.1615900,0.1628400,0.1615900,0.1624300,695171,1711772399999,112837.4450400,1116,345581,1711777440000,0.1597
1711772400000,0.1624300,0.1626900,0.1620900,0.1626000,405866,1711772459999,65909.2627800,600,160432,1711777440000,0.1597
1711772460000,0.1626000,0.1626700,0.1620800,0.1624300,763339,1711772519999,123919.9523300,661,453853,1711777440000,0.1597
1711772520000,0.1624300,0.1626800,0.1624000,0.1626700,148095,1711772579999,24075.1321000,208,74249,1711777440000,0.1597
1711772580000,0.1626700,0.1627400,0.1624700,0.1624700,112930,1711772639999,18364.7193900,207,20761,1711777440000,0.1597
1711772640000,0.1624600,0.1625800,0.1620000,0.1624200,499537,1711772699999,81056.4177000,450,56691,1711777440000,0.1597
1711772700000,0.1624700,0.1627500,0.1621800,0.1621800,257946,1711772759999,41887.0646600,468,104223,1711777440000,0.1597
1711772760000,0.1621800,0.1632900,0.1621800,0.1630700,573600,1711772819999,93411.4470200,573,438299,1711777440000,0.1597
1711772820000,0.1630700,0.1655000,0.1630400,0.1645600,2838956,1711772879999,466987.1548000,2329,1977747,1711777440000,0.1597
1711772880000,0.1645500,0.1646700,0.1631200,0.1636000,1223726,1711772939999,200564.0318800,1493,382869,1711777440000,0.1597
1711772940000,0.1635900,0.1647500,0.1635900,0.1646400,1809993,1711772999999,297326.6937900,1475,1063515,1711777440000,0.1597
1711773000000,0.1646300,0.1651800,0.1638200,0.1644800,1794885,1711773059999,295510.7821500,1839,792287,1711777440000,0.1597
1711773060000,0.1645100,0.1647600,0.1640000,0.1641700,589237,1711773119999,96864.6088900,614,212816,1711777440000,0.1597
1711773120000,0.1641800,0.1642300,0.1632600,0.1632700,1117383,1711773179999,182984.1278000,1012,677926,1711777440000,0.1597
1711773180000,0.1632600,0.1639600,0.1631400,0.1635100,380065,1711773239999,62204.8983600,587,159569,1711777440000,0.1597
1711773240000,0.1635900,0.1647800,0.1635900,0.1641500,538960,1711773299999,88546.8694100,795,253871,1711777440000,0.1597
1711773300000,0.1641600,0.1648600,0.1641600,0.1644300,444204,1711773359999,73043.2531200,557,295081,1711777440000,0.1597
1711773360000,0.1644600,0.1653600,0.1640800,0.1653000,539764,1711773419999,88939.3493600,792,339641,1711777440000,0.1597
1711773420000,0.1653100,0.1656500,0.1641800,0.1645000,1665137,1711773479999,274401.0785300,1138,634446,1711777440000,0.1597
1711773480000,0.1645200,0.1648600,0.1635800,0.1636200,349804,1711773539999,57435.2595800,474,121247,1711777440000,0.1597
1711773540000,0.1635800,0.1649800,0.1635600,0.1643500,763481,1711773599999,125411.0168400,856,526006,1711777440000,0.1597
1711773600000,0.1643300,0.1647700,0.1639100,0.1647600,229004,1711773659999,37612.1883200,461,124404,1711777440000,0.1597
1711773660000,0.1647800,0.1648300,0.1636000,0.1642200,470934,1711773719999,77265.0528200,705,284216,1711777440000,0.1597
1711773720000,0.1642100,0.1643000,0.1634300,0.1634800,309929,1711773779999,50780.6416400,537,98923,1711777440000,0.1597
1711773780000,0.1634800,0.1637800,0.1626200,0.1627400,448745,1711773839999,73184.5429000,745,170941,1711777440000,0.1597
1711773840000,0.1627500,0.1630400,0.1620100,0.1621100,454648,1711773899999,73833.4478000,763,238063,1711777440000,0.1597
1711773900000,0.1621600,0.1623300,0.1614400,0.1620800,591756,1711773959999,95826.2548700,804,281981,1711777440000,0.1597
1711773960000,0.1620600,0.1625700,0.1619300,0.1624400,282576,1711774019999,45863.7550400,450,172950,1711777440000,0.1597
1711774020000,0.1624400,0.1624900,0.1610600,0.1611700,656533,1711774079999,105970.7487700,835,346128,1711777440000,0.1597
1711774080000,0.1611800,0.1612600,0.1606200,0.1609000,497058,1711774139999,79990.7706300,758,291799,1711777440000,0.1597
1711774140000,0.1609000,0.1611100,0.1598900,0.1599200,1616356,1711774199999,259038.7813000,1225,632184,1711777440000,0.1597
1711774200000,0.1599600,0.1600800,0.1587400,0.1589000,1439430,1711774259999,229339.8889000,1304,510073,1711777440000,0.1597
1711774260000,0.1588500,0.1599400,0.1586400,0.1594800,2007075,1711774319999,319629.4149100,1278,1204451,1711777440000,0.1597
1711774320000,0.1594800,0.1595100,0.1586200,0.1587900,701367,1711774379999,111522.7930400,756,347529,1711777440000,0.1597
1711774380000,0.1587800,0.1589400,0.1584600,0.1585900,747224,1711774439999,118572.7456100,745,351829,1711777440000,0.1597
1711774440000,0.1585800,0.1588000,0.1575300,0.1577800,1227090,1711774499999,194028.1482400,1138,369668,1711777440000,0.1597
1711774500000,0.1577900,0.1581200,0.1576100,0.1579400,735838,1711774559999,116191.7781900,756,337381,1711777440000,0.1597
1711774560000,0.1579600,0.1585300,0.1579100,0.1584900,792513,1711774619999,125461.5384100,812,530085,1711777440000,0.1597
1711774620000,0.1584800,0.1586600,0.1582800,0.1585300,707688,1711774679999,112167.1167400,657,333722,1711777440000,0.1597
1711774680000,0.1585000,0.1588100,0.1581600,0.1584200,529044,1711774739999,83858.2287800,718,270144,1711777440000,0.1597
1711774740000,0.1584600,0.1588500,0.1583500,0.1587700,333069,1711774799999,52826.3149000,484,165090,1711777440000,0.1597
1711774800000,0.1587800,0.1594500,0.1587500,0.1592600,908679,1711774859999,144597.2860400,1404,472349,1711777440000,0.1597
1711774860000,0.1592700,0.1596000,0.1590900,0.1594300,631695,1711774919999,100679.7326600,738,337857,1711777440000,0.1597
1711774920000,0.1594400,0.1597800,0.1592700,0.1597400,310632,1711774979999,49569.4895000,547,185731,1711777440000,0.1597
1711774980000,0.1597500,0.1605200,0.1594500,0.1601400,658697,1711775039999,105445.7548100,837,371293,1711777440000,0.1597
1711775040000,0.1601400,0.1603600,0.1597900,0.1600800,300308,1711775099999,48062.2565500,486,116262,1711777440000,0.1597
1711775100000,0.1601000,0.1605700,0.1599900,0.1600000,321859,1711775159999,51594.3127300,506,189826,1711777440000,0.1597
1711775160000,0.1600000,0.1600100,0.1590600,0.1591400,607382,1711775219999,96880.5279700,677,232236,1711777440000,0.1597
1711775220000,0.1591600,0.1592700,0.1589800,0.1592700,243654,1711775279999,38769.5389800,418,166980,1711777440000,0.1597
1711775280000,0.1592200,0.1594000,0.1588700,0.1592300,210088,1711775339999,33440.6470900,357,112895,1711777440000,0.1597
1711775340000,0.1592700,0.1593800,0.1589800,0.1591500,256394,1711775399999,40816.0185700,327,121062,1711777440000,0.1597
1711775400000,0.1590800,0.1594800,0.1589200,0.1591500,339114,1711775459999,53973.0964300,454,186911,1711777440000,0.1597
1711775460000,0.1591300,0.1592700,0.1587300,0.1590600,398888,1711775519999,63443.0540400,449,212522,1711777440000,0.1597
1711775520000,0.1590700,0.1591300,0.1586300,0.1586300,286954,1711775579999,45603.0279800,341,158600,1711777440000,0.1597
1711775580000,0.1586300,0.1586500,0.1581200,0.1585100,320947,1711775639999,50837.0238400,453,142382,1711777440000,0.1597
1711775640000,0.1585000,0.1588300,0.1585000,0.1586200,211747,1711775699999,33601.2526200,276,135506,1711777440000,0.1597
1711775700000,0.1586100,0.1588700,0.1582400,0.1584600,414982,1711775759999,65771.8524200,636,163544,1711777440000,0.1597
1711775760000,0.1584600,0.1586800,0.1584000,0.1584800,165480,1711775819999,26234.6255000,223,87313,1711777440000,0.1597
1711775820000,0.1584400,0.1584700,0.1578800,0.1578800,240035,1711775879999,37987.3558900,330,99882,1711777440000,0.1597
1711775880000,0.1579000,0.1583800,0.1576500,0.1583100,285380,1711775939999,45071.3834500,479,169720,1711777440000,0.1597
1711775940000,0.1582400,0.1584100,0.1576000,0.1578300,554903,1711775999999,87658.2767800,540,119304,1711777440000,0.1597
1711776000000,0.1578400,0.1579700,0.1572400,0.1575300,687254,1711776059999,108316.4396100,901,258291,1711777440000,0.1597
1711776060000,0.1576000,0.1576800,0.1571800,0.1572200,223066,1711776119999,35130.9047100,408,127916,1711777440000,0.1597
1711776120000,0.1572100,0.1573900,0.1570800,0.1570900,200536,1711776179999,31526.6549000,396,103502,1711777440000,0.1597
1711776180000,0.1570900,0.1573000,0.1569900,0.1571700,130781,1711776239999,20550.8925900,240,70547,1711777440000,0.1597
1711776240000,0.1571700,0.1571700,0.1568700,0.1568800,182460,1711776299999,28650.7113100,277,58113,1711777440000,0.1597
