Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711717260000,0.12041,0.12044,0.12040,0.12044,116383,1711717319999,14014.86901,83,49662,1711722600000,0.12139
1711717320000,0.12044,0.12046,0.12040,0.12043,427138,1711717379999,51437.56769,193,115537,1711722600000,0.12139
1711717380000,0.12043,0.12046,0.12043,0.12043,96457,1711717439999,11618.30910,83,58711,1711722600000,0.12139
1711717440000,0.12043,0.12044,0.12038,0.12038,43589,1711717499999,5248.34993,62,1594,1711722600000,0.12139
1711717500000,0.12037,0.12038,0.12033,0.12033,331851,1711717559999,39942.20816,139,130412,1711722600000,0.12139
1711717560000,0.12033,0.12035,0.12029,0.12029,238254,1711717619999,28665.76478,113,37595,1711722600000,0.12139
1711717620000,0.12029,0.12031,0.12019,0.12023,2430845,1711717679999,292328.74552,438,202756,1711722600000,0.12139
1711717680000,0.12024,0.12025,0.12022,0.12023,308413,1711717739999,37081.76331,113,98366,1711722600000,0.12139
1711717740000,0.12024,0.12030,0.12024,0.12027,400791,1711717799999,48205.99618,143,145113,1711722600000,0.12139
1711717800000,0.12027,0.12027,0.12024,0.12026,133139,1711717859999,16011.79875,51,9673,1711722600000,0.12139
1711717860000,0.12025,0.12025,0.12021,0.12022,291408,1711717919999,35034.14421,84,22443,1711722600000,0.12139
1711717920000,0.12023,0.12029,0.12021,0.12021,257647,1711717979999,30979.39241,116,100931,1711722600000,0.12139
1711717980000,0.12021,0.12022,0.12020,0.12021,119875,1711718039999,14409.54716,48,30896,1711722600000,0.12139
1711718040000,0.12021,0.12025,0.12021,0.12022,216175,1711718099999,25991.35859,81,90013,1711722600000,0.12139
1711718100000,0.12021,0.12027,0.12021,0.12027,147811,1711718159999,17770.96385,118,89896,1711722600000,0.12139
1711718160000,0.12027,0.12036,0.12027,0.12036,392984,1711718219999,47283.94145,127,330297,1711722600000,0.12139
1711718220000,0.12036,0.12036,0.12031,0.12036,328374,1711718279999,39514.72161,106,32065,1711722600000,0.12139
1711718280000,0.12035,0.12040,0.12030,0.12038,813478,1711718339999,97901.83335,252,140451,1711722600000,0.12139
1711718340000,0.12040,0.12041,0.12038,0.12040,76883,1711718399999,9256.45410,51,31323,1711722600000,0.12139
1711718400000,0.12039,0.12041,0.12037,0.12037,148356,1711718459999,17861.71214,58,42522,1711722600000,0.12139
1711718460000,0.12037,0.12042,0.12037,0.12041,160912,1711718519999,19375.19193,47,136337,1711722600000,0.12139
1711718520000,0.12041,0.12042,0.12041,0.12041,14229,1711718579999,1713.37611,13,6222,1711722600000,0.12139
1711718580000,0.12041,0.12042,0.12040,0.12042,283287,1711718639999,34110.62481,149,166272,1711722600000,0.12139
1711718640000,0.12041,0.12042,0.12040,0.12042,70008,1711718699999,8429.71156,72,23708,1711722600000,0.12139
1711718700000,0.12042,0.12042,0.12038,0.12038,99579,1711718759999,11989.04751,70,21793,1711722600000,0.12139
1711718760000,0.12037,0.12037,0.12031,0.12032,382308,1711718819999,46009.24354,90,87433,1711722600000,0.12139
1711718820000,0.12032,0.12035,0.12032,0.12033,87560,1711718879999,10536.23066,68,48466,1711722600000,0.12139
1711718880000,0.12033,0.12033,0.12029,0.12029,105385,1711718939999,12678.05685,72,43510,1711722600000,0.12139
1711718940000,0.12030,0.12032,0.12029,0.12030,128433,1711718999999,15450.43276,60,45227,1711722600000,0.12139
1711719000000,0.12029,0.12030,0.12025,0.12026,205008,1711719059999,24659.32399,119,53389,1711722600000,0.12139
1711719060000,0.12026,0.12035,0.12026,0.12035,433340,1711719119999,52136.95936,176,266355,1711722600000,0.12139
1711719120000,0.12035,0.12035,0.12032,0.12035,217076,1711719179999,26121.68511,131,76617,1711722600000,0.12139
1711719180000,0.12035,0.12040,0.12035,0.12039,280013,1711719239999,33707.53097,128,149293,1711722600000,0.12139
1711719240000,0.12038,0.12041,0.12038,0.12041,77302,1711719299999,9306.57265,67,50653,1711722600000,0.12139
1711719300000,0.12041,0.12047,0.12041,0.12045,575673,1711719359999,69331.20302,179,339055,1711722600000,0.12139
1711719360000,0.12045,0.12047,0.12042,0.12046,316122,1711719419999,38077.12042,169,135740,1711722600000,0.12139
1711719420000,0.12047,0.12049,0.12046,0.12049,449862,1711719479999,54197.99237,196,268116,1711722600000,0.12139
1711719480000,0.12049,0.12049,0.12048,0.12049,80916,1711719539999,9749.51954,72,60799,1711722600000,0.12139
1711719540000,0.12049,0.12049,0.12048,0.12048,85088,1711719599999,10252.14098,98,29234,1711722600000,0.12139
1711719600000,0.12049,0.12050,0.12048,0.12048,295851,1711719659999,35646.79296,220,76481,1711722600000,0.12139
1711719660000,0.12049,0.12052,0.12048,0.12049,281690,1711719719999,33942.14063,218,108235,1711722600000,0.12139
1711719720000,0.12050,0.12051,0.12049,0.12050,147546,1711719779999,17780.11566,113,69406,1711722600000,0.12139
1711719780000,0.12050,0.12050,0.12042,0.12043,434457,1711719839999,52330.80228,170,36179,1711722600000,0.12139
1711719840000,0.12044,0.12047,0.12044,0.12047,41426,1711719899999,4989.73957,48,39427,1711722600000,0.12139
1711719900000,0.12047,0.12050,0.12046,0.12049,95018,1711719959999,11448.53275,67,32518,1711722600000,0.12139
1711719960000,0.12049,0.12049,0.12048,0.12048,93442,1711720019999,11258.14000,48,24784,1711722600000,0.12139
1711720020000,0.12049,0.12052,0.12044,0.12052,551677,1711720079999,66464.63019,127,213724,1711722600000,0.12139
1711720080000,0.12052,0.12052,0.12051,0.12051,20543,1711720139999,2475.75668,19,11975,1711722600000,0.12139
1711720140000,0.12052,0.12052,0.12051,0.12052,62647,1711720199999,7549.99691,46,40694,1711722600000,0.12139
1711720200000,0.12051,0.12052,0.12044,0.12045,334294,1711720259999,40271.33393,146,107028,1711722600000,0.12139
1711720260000,0.12044,0.12044,0.12039,0.12041,176930,1711720319999,21304.58087,81,41935,1711722600000,0.12139
1711720320000,0.12040,0.12044,0.12040,0.12044,73934,1711720379999,8903.41152,52,67833,1711722600000,0.12139
1711720380000,0.12043,0.12050,0.12043,0.12050,191118,1711720439999,23022.45228,59,188261,1711722600000,0.12139
1711720440000,0.12050,0.12052,0.12050,0.12051,59745,1711720499999,7200.04691,53,59249,1711722600000,0.12139
1711720500000,0.12052,0.12053,0.12052,0.12053,36267,1711720559999,4371.01113,50,33991,1711722600000,0.12139
1711720560000,0.12053,0.12053,0.12049,0.12049,151010,1711720619999,18198.41314,83,13117,1711722600000,0.12139
1711720620000,0.12048,0.12051,0.12048,0.12051,86883,1711720679999,10468.76459,43,56455,1711722600000,0.12139
1711720680000,0.12050,0.12052,0.12050,0.12051,25576,1711720739999,3082.17773,42,22693,1711722600000,0.12139
1711720740000,0.12052,0.12052,0.12049,0.12050,115050,1711720799999,13864.48496,73,26910,1711722600000,0.12139
1711720800000,0.12050,0.12052,0.12050,0.12052,165526,1711720859999,19947.24383,92,158258,1711722600000,0.12139
1711720860000,0.12052,0.12054,0.12051,0.12054,105223,1711720919999,12682.07428,51,92946,1711722600000,0.12139
1711720920000,0.12054,0.12054,0.12049,0.12050,205074,1711720979999,24714.15894,95,19989,1711722600000,0.12139
1711720980000,0.12050,0.12052,0.12049,0.12052,242772,1711721039999,29255.78446,112,226972,1711722600000,0.12139
1711721040000,0.12052,0.12053,0.12050,0.12053,180010,1711721099999,21694.55377,103,133296,1711722600000,0.12139
1711721100000,0.12053,0.12055,0.12052,0.12054,239858,1711721159999,28910.90333,96,161308,1711722600000,0.12139
1711721160000,0.12054,0.12054,0.12053,0.12054,87856,1711721219999,10590.09669,66,70149,1711722600000,0.12139
1711721220000,0.12054,0.12055,0.12053,0.12055,166595,1711721279999,20081.17239,68,143234,1711722600000,0.12139
1711721280000,0.12055,0.12055,0.12054,0.12054,218416,1711721339999,26329.87589,62,201125,1711722600000,0.12139
1711721340000,0.12055,0.12057,0.12054,0.12056,322857,1711721399999,38924.15673,105,290135,1711722600000,0.12139
1711721400000,0.12056,0.12057,0.12048,0.12051,1342247,1711721459999,161768.24159,234,89135,1711722600000,0.12139
1711721460000,0.12051,0.12055,0.12051,0.12055,234826,1711721519999,28304.81101,83,231108,1711722600000,0.12139
1711721520000,0.12055,0.12056,0.12055,0.12056,38574,1711721579999,4650.19953,36,36325,1711722600000,0.12139
1711721580000,0.12055,0.12057,0.12053,0.12056,405473,1711721639999,48881.52902,119,339817,1711722600000,0.12139
1711721640000,0.12055,0.12081,0.12054,0.12074,3915118,1711721699999,472494.01084,757,3048400,1711722600000,0.12139
1711721700000,0.12074,0.12076,0.12073,0.12073,183928,1711721759999,22208.59320,124,102189,1711722600000,0.12139
1711721760000,0.12074,0.12078,0.12073,0.12075,183889,1711721819999,22205.77727,142,133223,1711722600000,0.12139
1711721820000,0.12075,0.12077,0.12075,0.12077,67724,1711721879999,8178.57885,62,51152,1711722600000,0.12139
1711721880000,0.12077,0.12078,0.12074,0.12078,206607,1711721939999,24949.84086,130,136844,1711722600000,0.12139
1711721940000,0.12077,0.12077,0.12075,0.12075,151986,1711721999999,18354.76134,56,28364,1711722600000,0.12139
1711722000000,0.12075,0.12076,0.12074,0.12074,77286,1711722059999,9332.47470,72,19742,1711722600000,0.12139
1711722060000,0.12075,0.12078,0.12074,0.12078,71361,1711722119999,8617.29338,72,69072,1711722600000,0.12139
1711722120000,0.12078,0.12078,0.12074,0.12075,182163,1711722179999,21998.27613,107,65110,1711722600000,0.12139
1711722180000,0.12075,0.12077,0.12073,0.12077,176901,1711722239999,21361.34726,93,101316,1711722600000,0.12139
1711722240000,0.12076,0.12081,0.12076,0.12078,224463,1711722299999,27113.55179,100,198600,1711722600000,0.12139
1711722300000,0.12078,0.12079,0.12072,0.12072,206927,1711722359999,24988.87348,76,55427,1711722600000,0.12139
1711722360000,0.12073,0.12073,0.12069,0.12069,188709,1711722419999,22777.11494,66,46863,1711722600000,0.12139
1711722420000,0.12069,0.12071,0.12069,0.12070,31605,1711722479999,3814.69811,30,6741,1711722600000,0.12139
1711722480000,0.12071,0.12071,0.12070,0.12071,21400,1711722539999,2583.09742,30,11742,1711722600000,0.12139
1711722540000,0.12071,0.12076,0.12070,0.12076,68572,1711722599999,8278.69005,62,57635,1711722600000,0.12139
1711722600000,0.12075,0.12147,0.12072,0.12128,15089083,1711722659999,1828899.33550,3153,9850006,1711722600000,0.12139
1711722660000,0.12128,0.12128,0.12119,0.12120,1128799,1711722719999,136860.40234,380,579595,1711722600000,0.12139
1711722720000,0.12120,0.12121,0.12111,0.12112,844344,1711722779999,102302.70330,293,421668,1711722600000,0.12139
1711722780000,0.12112,0.12112,0.12092,0.12093,544113,1711722839999,65869.47770,199,43629,1711722600000,0.12139
1711722840000,0.12092,0.12092,0.12084,0.12085,618780,1711722899999,74802.22228,221,247520,1711722600000,0.12139
1711722900000,0.12085,0.12091,0.12082,0.12087,841197,1711722959999,101662.93183,274,429904,1711722600000,0.12139
1711722960000,0.12088,0.12096,0.12088,0.12092,485536,1711723019999,58712.26479,154,377893,1711722600000,0.12139
1711723020000,0.12092,0.12096,0.12088,0.12088,400107,1711723079999,48380.11251,124,170578,1711722600000,0.12139
1711723080000,0.12085,0.12090,0.12079,0.12079,699962,1711723139999,84595.70652,179,189107,1711722600000,0.12139
1711723140000,0.12080,0.12082,0.12079,0.12082,232290,1711723199999,28062.77979,104,195734,1711722600000,0.12139
1711723200000,0.12081,0.12086,0.12079,0.12082,471377,1711723259999,56953.44000,202,242469,1711722600000,0.12139
1711723260000,0.12082,0.12084,0.12080,0.12082,143136,1711723319999,17292.19872,71,28131,1711722600000,0.12139
1711723320000,0.12082,0.12089,0.12082,0.12084,629253,1711723379999,76058.42989,128,430294,1711722600000,0.12139
1711723380000,0.12084,0.12091,0.12084,0.12087,477201,1711723439999,57684.30455,125,357716,1711722600000,0.12139
