Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711978380000,0.0520900,0.0520900,0.0518700,0.0518900,1241153,1711978439999,64480.5749500,312,540484,1711983780000,0.0514
1711978440000,0.0518900,0.0518900,0.0517900,0.0517900,609074,1711978499999,31560.8574700,198,275047,1711983780000,0.0514
1711978500000,0.0517900,0.0518300,0.0517400,0.0518200,517884,1711978559999,26821.8805000,231,322701,1711983780000,0.0514
1711978560000,0.0518200,0.0518800,0.0518000,0.0518100,819285,1711978619999,42466.6143600,239,271963,1711983780000,0.0514
1711978620000,0.0518100,0.0519500,0.0518100,0.0519400,412386,1711978679999,21387.2931900,178,326087,1711983780000,0.0514
1711978680000,0.0519500,0.0521200,0.0519500,0.0521200,1048752,1711978739999,54537.8393200,289,644816,1711983780000,0.0514
1711978740000,0.0521200,0.0521900,0.0521100,0.0521200,1021125,1711978799999,53249.7117200,226,615340,1711983780000,0.0514
1711978800000,0.0521200,0.0521200,0.0519700,0.0519700,3762089,1711978859999,195704.6768600,572,998336,1711983780000,0.0514
1711978860000,0.0519600,0.0519900,0.0518700,0.0518900,1690641,1711978919999,87782.9529100,378,764324,1711983780000,0.0514
1711978920000,0.0518800,0.0518800,0.0517100,0.0517100,1108883,1711978979999,57457.6841700,248,165231,1711983780000,0.0514
1711978980000,0.0517000,0.0517000,0.0516400,0.0516900,1208512,1711979039999,62444.2050300,263,741885,1711983780000,0.0514
1711979040000,0.0516900,0.0517400,0.0516200,0.0517400,1638406,1711979099999,84666.0220900,338,768686,1711983780000,0.0514
1711979100000,0.0517300,0.0518700,0.0516800,0.0518500,1645865,1711979159999,85233.5497500,379,1369996,1711983780000,0.0514
1711979160000,0.0518500,0.0520700,0.0518500,0.0519700,3149482,1711979219999,163686.7834700,575,2092896,1711983780000,0.0514
1711979220000,0.0519600,0.0519600,0.0517900,0.0518300,1452308,1711979279999,75347.5956100,338,499665,1711983780000,0.0514
1711979280000,0.0518100,0.0518600,0.0517400,0.0518600,1523253,1711979339999,78903.1569100,381,985911,1711983780000,0.0514
1711979340000,0.0518700,0.0518900,0.0517600,0.0518600,1344073,1711979399999,69666.8795200,262,396512,1711983780000,0.0514
1711979400000,0.0518700,0.0519400,0.0518600,0.0518800,803582,1711979459999,41707.3893100,192,301838,1711983780000,0.0514
1711979460000,0.0518700,0.0519400,0.0518400,0.0519400,857905,1711979519999,44521.6814400,210,600680,1711983780000,0.0514
1711979520000,0.0519300,0.0522000,0.0518600,0.0521300,2935737,1711979579999,152805.3331700,542,2051428,1711983780000,0.0514
1711979580000,0.0521200,0.0522000,0.0519800,0.0521900,1987586,1711979639999,103567.3687300,349,1450148,1711983780000,0.0514
1711979640000,0.0521900,0.0522200,0.0520300,0.0520400,2045759,1711979699999,106678.1310500,454,882707,1711983780000,0.0514
1711979700000,0.0520400,0.0520700,0.0519800,0.0520600,1400910,1711979759999,72883.0826500,330,1023743,1711983780000,0.0514
1711979760000,0.0520500,0.0521600,0.0519800,0.0520700,943593,1711979819999,49112.6676300,272,404219,1711983780000,0.0514
1711979820000,0.0520600,0.0523100,0.0520600,0.0521800,2123847,1711979879999,110867.6630000,545,1046207,1711983780000,0.0514
1711979880000,0.0521700,0.0522600,0.0521500,0.0522400,705245,1711979939999,36811.8382200,267,477787,1711983780000,0.0514
1711979940000,0.0522300,0.0522300,0.0521300,0.0521400,1451939,1711979999999,75795.8365200,272,971970,1711983780000,0.0514
1711980000000,0.0521400,0.0521500,0.0519900,0.0521000,1815269,1711980059999,94522.1648900,595,596113,1711983780000,0.0514
1711980060000,0.0521200,0.0523400,0.0520500,0.0522500,2046999,1711980119999,106898.1525700,567,1029098,1711983780000,0.0514
1711980120000,0.0522500,0.0523300,0.0521800,0.0523200,971812,1711980179999,50774.5815300,367,471333,1711983780000,0.0514
1711980180000,0.0523100,0.0524100,0.0521800,0.0524100,2839708,1711980239999,148615.9066500,484,2378534,1711983780000,0.0514
1711980240000,0.0524100,0.0527500,0.0523600,0.0525900,6926232,1711980299999,364201.4874100,1207,3923671,1711983780000,0.0514
1711980300000,0.0525900,0.0530100,0.0525900,0.0529900,7502561,1711980359999,395993.7572000,1020,4305036,1711983780000,0.0514
1711980360000,0.0529900,0.0531100,0.0528200,0.0529400,11895221,1711980419999,630023.3951200,1563,6729445,1711983780000,0.0514
1711980420000,0.0529300,0.0529600,0.0525700,0.0526900,6023512,1711980479999,317768.2950000,983,2533509,1711983780000,0.0514
1711980480000,0.0526700,0.0527400,0.0525700,0.0526300,2992554,1711980539999,157586.8118100,513,1857872,1711983780000,0.0514
1711980540000,0.0526400,0.0528300,0.0525500,0.0525600,3971790,1711980599999,209301.0373500,623,2316910,1711983780000,0.0514
1711980600000,0.0525600,0.0527900,0.0525500,0.0527900,2757894,1711980659999,145330.5053400,527,1964149,1711983780000,0.0514
1711980660000,0.0527900,0.0529300,0.0527500,0.0527600,2296139,1711980719999,121349.0868800,504,1178167,1711983780000,0.0514
1711980720000,0.0527600,0.0527600,0.0525600,0.0526200,1599949,1711980779999,84197.4277600,401,790671,1711983780000,0.0514
1711980780000,0.0526100,0.0526100,0.0523400,0.0523400,4226949,1711980839999,221796.4422500,677,922380,1711983780000,0.0514
1711980840000,0.0523500,0.0524700,0.0522400,0.0524100,2497736,1711980899999,130754.3938700,491,1298379,1711983780000,0.0514
1711980900000,0.0524100,0.0526600,0.0524000,0.0525300,1652893,1711980959999,86858.9206000,370,955847,1711983780000,0.0514
