Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710782580000,1.311900,1.312600,1.308300,1.309600,1875,1710782639999,2456.990000,150,1157,1710787920000,1.3165
1710782640000,1.309700,1.309700,1.304700,1.306100,3583,1710782699999,4681.914500,197,1195,1710787920000,1.3165
1710782700000,1.306100,1.308100,1.303600,1.307400,4189,1710782759999,5470.329600,241,2198,1710787920000,1.3165
1710782760000,1.307600,1.311100,1.307600,1.308300,6907,1710782819999,9045.911800,235,3228,1710787920000,1.3165
1710782820000,1.308400,1.312000,1.308400,1.311400,1328,1710782879999,1740.595400,133,923,1710787920000,1.3165
1710782880000,1.312000,1.312200,1.309200,1.310700,1616,1710782939999,2118.210300,91,896,1710787920000,1.3165
1710782940000,1.310700,1.312700,1.310400,1.311200,1146,1710782999999,1503.121000,68,557,1710787920000,1.3165
1710783000000,1.311200,1.313200,1.310200,1.311000,3717,1710783059999,4876.327600,215,2701,1710787920000,1.3165
1710783060000,1.311200,1.311500,1.306500,1.311000,2706,1710783119999,3541.980300,167,1505,1710787920000,1.3165
1710783120000,1.311100,1.314600,1.311100,1.313300,3467,1710783179999,4553.037700,200,1730,1710787920000,1.3165
1710783180000,1.313500,1.316000,1.313500,1.315200,3602,1710783239999,4737.376400,161,2043,1710787920000,1.3165
1710783240000,1.315400,1.317200,1.314800,1.315900,5143,1710783299999,6767.785400,245,1967,1710787920000,1.3165
1710783300000,1.315500,1.317000,1.312500,1.313800,5031,1710783359999,6614.740100,228,2911,1710787920000,1.3165
1710783360000,1.313700,1.314600,1.312600,1.314600,4137,1710783419999,5433.861800,237,2354,1710787920000,1.3165
1710783420000,1.314300,1.315800,1.313000,1.315600,4359,1710783479999,5730.561500,201,2926,1710787920000,1.3165
1710783480000,1.315700,1.316000,1.312600,1.312600,2897,1710783539999,3807.487900,173,1369,1710787920000,1.3165
1710783540000,1.312600,1.312600,1.309900,1.309900,6233,1710783599999,8172.369600,258,2839,1710787920000,1.3165
1710783600000,1.309800,1.309800,1.305300,1.305800,7583,1710783659999,9908.912800,276,3332,1710787920000,1.3165
1710783660000,1.305700,1.308000,1.304700,1.305700,4270,1710783719999,5576.774300,233,2586,1710787920000,1.3165
1710783720000,1.305800,1.306000,1.301800,1.302400,4031,1710783779999,5252.104700,171,2594,1710787920000,1.3165
1710783780000,1.302400,1.304600,1.302000,1.302900,5703,1710783839999,7432.184500,256,2952,1710787920000,1.3165
1710783840000,1.302900,1.310600,1.302900,1.309500,13546,1710783899999,17701.215600,362,2840,1710787920000,1.3165
1710783900000,1.309900,1.314700,1.309900,1.312800,8622,1710783959999,11311.785700,336,3360,1710787920000,1.3165
1710783960000,1.312500,1.313700,1.310600,1.312300,6405,1710784019999,8405.048500,255,3463,1710787920000,1.3165
1710784020000,1.312300,1.312900,1.308700,1.309500,4757,1710784079999,6235.666100,179,2465,1710787920000,1.3165
1710784080000,1.309500,1.310600,1.307600,1.308800,6078,1710784139999,7957.600800,253,4567,1710787920000,1.3165
1710784140000,1.309200,1.309900,1.306900,1.309300,2196,1710784199999,2873.206100,183,1141,1710787920000,1.3165
1710784200000,1.309300,1.313200,1.308800,1.313000,5436,1710784259999,7125.731500,218,3689,1710787920000,1.3165
1710784260000,1.313200,1.315300,1.313000,1.314900,2158,1710784319999,2836.483700,135,857,1710787920000,1.3165
1710784320000,1.314900,1.316100,1.314400,1.315400,1299,1710784379999,1708.549400,85,731,1710787920000,1.3165
1710784380000,1.315400,1.316100,1.313200,1.313600,3879,1710784439999,5097.706700,150,826,1710787920000,1.3165
1710784440000,1.314000,1.314500,1.313000,1.314000,1370,1710784499999,1799.682700,82,446,1710787920000,1.3165
1710784500000,1.314100,1.317600,1.314000,1.316800,2955,1710784559999,3889.955900,127,1768,1710787920000,1.3165
1710784560000,1.316900,1.317300,1.315000,1.316900,1843,1710784619999,2425.546500,123,1153,1710787920000,1.3165
1710784620000,1.316800,1.316800,1.314000,1.314800,1687,1710784679999,2218.995800,143,733,1710787920000,1.3165
