Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711711800000,4.339000,4.339000,4.328000,4.328000,2046,1711711859999,8862.433000,70,600,1711717200000,4.394
1711711860000,4.328000,4.332000,4.326000,4.328000,3072,1711711919999,13297.095000,115,2022,1711717200000,4.394
1711711920000,4.331000,4.339000,4.331000,4.339000,2664,1711711979999,11545.418000,65,2378,1711717200000,4.394
1711711980000,4.339000,4.344000,4.338000,4.344000,6618,1711712039999,28728.298000,110,5382,1711717200000,4.394
1711712040000,4.345000,4.347000,4.344000,4.344000,2275,1711712099999,9886.691000,81,774,1711717200000,4.394
1711712100000,4.344000,4.346000,4.343000,4.346000,1066,1711712159999,4631.309000,57,662,1711717200000,4.394
1711712160000,4.346000,4.348000,4.344000,4.346000,1359,1711712219999,5906.479000,74,359,1711717200000,4.394
1711712220000,4.345000,4.345000,4.338000,4.339000,2611,1711712279999,11333.499000,78,631,1711717200000,4.394
1711712280000,4.340000,4.348000,4.340000,4.347000,2641,1711712339999,11472.977000,68,2372,1711717200000,4.394
1711712340000,4.346000,4.348000,4.342000,4.348000,5231,1711712399999,22729.708000,146,2280,1711717200000,4.394
1711712400000,4.348000,4.351000,4.347000,4.348000,1800,1711712459999,7828.190000,95,457,1711717200000,4.394
1711712460000,4.347000,4.347000,4.345000,4.346000,1436,1711712519999,6240.468000,52,948,1711717200000,4.394
1711712520000,4.345000,4.345000,4.340000,4.340000,5043,1711712579999,21900.098000,103,3182,1711717200000,4.394
1711712580000,4.339000,4.342000,4.336000,4.342000,3964,1711712639999,17197.706000,97,1071,1711717200000,4.394
1711712640000,4.341000,4.341000,4.336000,4.337000,641,1711712699999,2781.403000,39,110,1711717200000,4.394
1711712700000,4.336000,4.339000,4.326000,4.330000,3189,1711712759999,13809.102000,119,1940,1711717200000,4.394
1711712760000,4.330000,4.331000,4.325000,4.329000,2055,1711712819999,8893.428000,104,1336,1711717200000,4.394
1711712820000,4.329000,4.335000,4.327000,4.335000,4372,1711712879999,18929.071000,75,1705,1711717200000,4.394
1711712880000,4.334000,4.334000,4.329000,4.332000,1633,1711712939999,7073.742000,52,823,1711717200000,4.394
1711712940000,4.334000,4.340000,4.334000,4.339000,4763,1711712999999,20657.534000,85,2795,1711717200000,4.394
1711713000000,4.338000,4.343000,4.338000,4.341000,2228,1711713059999,9671.937000,70,1617,1711717200000,4.394
1711713060000,4.341000,4.344000,4.339000,4.343000,5233,1711713119999,22716.078000,94,2863,1711717200000,4.394
1711713120000,4.342000,4.347000,4.340000,4.347000,6017,1711713179999,26134.761000,102,2506,1711717200000,4.394
1711713180000,4.346000,4.349000,4.345000,4.349000,2149,1711713239999,9342.829000,63,1523,1711717200000,4.394
1711713240000,4.350000,4.351000,4.344000,4.344000,2439,1711713299999,10606.873000,66,1294,1711717200000,4.394
1711713300000,4.343000,4.349000,4.342000,4.345000,9920,1711713359999,43101.286000,164,5689,1711717200000,4.394
1711713360000,4.344000,4.347000,4.340000,4.346000,2217,1711713419999,9629.809000,83,1260,1711717200000,4.394
1711713420000,4.346000,4.349000,4.342000,4.349000,604,1711713479999,2623.719000,21,318,1711717200000,4.394
1711713480000,4.349000,4.349000,4.347000,4.348000,444,1711713539999,1930.360000,27,254,1711717200000,4.394
1711713540000,4.348000,4.351000,4.346000,4.348000,3923,1711713599999,17058.225000,94,2036,1711717200000,4.394
1711713600000,4.347000,4.349000,4.341000,4.349000,5397,1711713659999,23448.374000,115,2803,1711717200000,4.394
1711713660000,4.349000,4.355000,4.348000,4.352000,2118,1711713719999,9216.858000,104,1625,1711717200000,4.394
1711713720000,4.352000,4.352000,4.351000,4.352000,569,1711713779999,2476.089000,50,392,1711717200000,4.394
1711713780000,4.352000,4.356000,4.352000,4.356000,2274,1711713839999,9900.416000,73,1538,1711717200000,4.394
