Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710553260000,8.551,8.571,8.551,8.562,2116.0,1710553319999,18118.1244,193,816.0,1710558660000,8.665
1710553320000,8.564,8.576,8.564,8.566,1133.5,1710553379999,9712.7706,139,468.6,1710558660000,8.665
1710553380000,8.564,8.571,8.564,8.566,327.8,1710553439999,2808.1237,60,161.7,1710558660000,8.665
1710553440000,8.566,8.584,8.566,8.582,843.5,1710553499999,7229.3719,121,694.3,1710558660000,8.665
1710553500000,8.581,8.592,8.577,8.585,1428.8,1710553559999,12266.6332,182,467.6,1710558660000,8.665
1710553560000,8.587,8.596,8.562,8.563,2498.0,1710553619999,21417.1537,183,432.5,1710558660000,8.665
1710553620000,8.565,8.568,8.541,8.542,2472.7,1710553679999,21156.1697,230,903.6,1710558660000,8.665
1710553680000,8.541,8.547,8.537,8.545,1608.3,1710553739999,13739.5578,195,1220.3,1710558660000,8.665
1710553740000,8.544,8.552,8.538,8.547,1311.7,1710553799999,11206.6024,212,553.8,1710558660000,8.665
1710553800000,8.549,8.554,8.540,8.541,1035.3,1710553859999,8848.2130,124,228.8,1710558660000,8.665
1710553860000,8.542,8.553,8.538,8.548,1390.0,1710553919999,11876.7970,187,831.5,1710558660000,8.665
1710553920000,8.548,8.555,8.543,8.551,1149.3,1710553979999,9826.5253,175,743.1,1710558660000,8.665
1710553980000,8.552,8.557,8.548,8.549,775.9,1710554039999,6635.1673,98,217.5,1710558660000,8.665
1710554040000,8.549,8.571,8.549,8.561,959.3,1710554099999,8212.3104,114,520.8,1710558660000,8.665
1710554100000,8.565,8.569,8.562,8.567,616.7,1710554159999,5281.7971,74,220.7,1710558660000,8.665
1710554160000,8.567,8.578,8.567,8.568,728.3,1710554219999,6242.5755,121,331.2,1710558660000,8.665
1710554220000,8.568,8.572,8.560,8.560,655.6,1710554279999,5616.3991,115,287.5,1710558660000,8.665
1710554280000,8.560,8.561,8.528,8.533,2059.7,1710554339999,17600.6427,231,914.2,1710558660000,8.665
1710554340000,8.532,8.547,8.532,8.547,1211.8,1710554399999,10346.6493,127,1030.5,1710558660000,8.665
1710554400000,8.549,8.552,8.522,8.524,1634.0,1710554459999,13951.2163,196,312.7,1710558660000,8.665
1710554460000,8.524,8.530,8.511,8.523,1372.6,1710554519999,11695.7402,176,752.0,1710558660000,8.665
1710554520000,8.525,8.525,8.515,8.525,500.2,1710554579999,4261.5858,88,249.2,1710558660000,8.665
1710554580000,8.523,8.528,8.522,8.526,1929.0,1710554639999,16442.5954,100,361.4,1710558660000,8.665
1710554640000,8.526,8.558,8.526,8.555,614.5,1710554699999,5249.0056,112,446.6,1710558660000,8.665
1710554700000,8.555,8.571,8.555,8.565,1818.7,1710554759999,15568.6848,223,970.6,1710558660000,8.665
1710554760000,8.566,8.577,8.566,8.574,658.6,1710554819999,5646.1201,109,295.0,1710558660000,8.665
1710554820000,8.572,8.572,8.562,8.564,460.4,1710554879999,3943.8939,69,101.3,1710558660000,8.665
1710554880000,8.562,8.562,8.550,8.556,718.2,1710554939999,6143.1035,108,429.1,1710558660000,8.665
1710554940000,8.558,8.570,8.558,8.570,608.9,1710554999999,5212.3876,53,606.0,1710558660000,8.665
1710555000000,8.571,8.583,8.571,8.581,603.5,1710555059999,5176.0642,73,241.2,1710558660000,8.665
1710555060000,8.580,8.580,8.564,8.565,1280.4,1710555119999,10977.2533,98,166.6,1710558660000,8.665
1710555120000,8.567,8.567,8.555,8.555,2740.6,1710555179999,23459.5104,189,1677.0,1710558660000,8.665
1710555180000,8.555,8.555,8.543,8.543,1968.9,1710555239999,16838.8776,108,379.0,1710558660000,8.665
1710555240000,8.544,8.553,8.541,8.542,768.9,1710555299999,6571.2546,79,598.5,1710558660000,8.665
1710555300000,8.546,8.571,8.546,8.567,1112.0,1710555359999,9518.2145,145,677.4,1710558660000,8.665
1710555360000,8.567,8.576,8.555,8.574,2055.4,1710555419999,17604.0860,201,1749.7,1710558660000,8.665
1710555420000,8.574,8.574,8.568,8.571,413.6,1710555479999,3544.7636,41,198.4,1710558660000,8.665
1710555480000,8.571,8.573,8.563,8.566,722.8,1710555539999,6192.4356,85,180.6,1710558660000,8.665
1710555540000,8.569,8.573,8.561,8.573,353.8,1710555599999,3030.0738,57,212.8,1710558660000,8.665
1710555600000,8.574,8.593,8.572,8.593,2276.9,1710555659999,19537.9791,214,1668.3,1710558660000,8.665
1710555660000,8.595,8.601,8.586,8.591,1277.3,1710555719999,10977.5454,184,423.8,1710558660000,8.665
1710555720000,8.590,8.598,8.589,8.596,639.4,1710555779999,5494.8499,76,504.8,1710558660000,8.665
1710555780000,8.595,8.598,8.592,8.594,587.7,1710555839999,5051.4483,62,221.9,1710558660000,8.665
1710555840000,8.595,8.607,8.591,8.592,2563.8,1710555899999,22041.1474,192,1102.3,1710558660000,8.665
1710555900000,8.593,8.599,8.591,8.596,821.0,1710555959999,7056.3104,85,365.6,1710558660000,8.665
1710555960000,8.597,8.597,8.566,8.570,1870.3,1710556019999,16049.7135,188,523.6,1710558660000,8.665
1710556020000,8.570,8.571,8.554,8.556,1316.8,1710556079999,11274.1732,151,756.3,1710558660000,8.665
1710556080000,8.557,8.571,8.557,8.571,887.4,1710556139999,7598.9646,104,626.1,1710558660000,8.665
1710556140000,8.570,8.570,8.551,8.563,1277.7,1710556199999,10933.0289,124,709.0,1710558660000,8.665
1710556200000,8.564,8.574,8.562,8.564,1367.9,1710556259999,11718.6983,125,710.8,1710558660000,8.665
1710556260000,8.563,8.581,8.554,8.581,1463.5,1710556319999,12531.8312,140,1275.9,1710558660000,8.665
