Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1712099640000,11.3910,11.3930,11.3890,11.3930,1927,1712099699999,21950.7850,110,1494,1712105040000,11.255
1712099700000,11.3930,11.3970,11.3880,11.3900,4280,1712099759999,48754.8240,135,1689,1712105040000,11.255
1712099760000,11.3920,11.4050,11.3920,11.4050,7582,1712099819999,86442.9470,193,5857,1712105040000,11.255
1712099820000,11.4040,11.4040,11.3960,11.3960,1114,1712099879999,12698.1400,51,141,1712105040000,11.255
1712099880000,11.3970,11.4030,11.3970,11.4000,912,1712099939999,10397.4830,91,534,1712105040000,11.255
1712099940000,11.4000,11.4000,11.3970,11.3990,1248,1712099999999,14225.5230,51,646,1712105040000,11.255
1712100000000,11.4000,11.4160,11.4000,11.4150,4092,1712100059999,46670.2350,148,3648,1712105040000,11.255
1712100060000,11.4160,11.4170,11.4110,11.4170,1167,1712100119999,13318.9960,77,469,1712105040000,11.255
1712100120000,11.4160,11.4190,11.4070,11.4190,5426,1712100179999,61931.3130,209,3116,1712105040000,11.255
1712100180000,11.4190,11.4230,11.4050,11.4070,6528,1712100239999,74527.4760,209,1965,1712105040000,11.255
1712100240000,11.4060,11.4060,11.3940,11.3940,5240,1712100299999,59732.2850,137,766,1712105040000,11.255
1712100300000,11.3930,11.3930,11.3860,11.3910,2713,1712100359999,30899.6260,109,1050,1712105040000,11.255
1712100360000,11.3910,11.3910,11.3770,11.3770,1706,1712100419999,19419.0320,71,131,1712105040000,11.255
1712100420000,11.3780,11.3780,11.3670,11.3670,8413,1712100479999,95684.5880,185,4690,1712105040000,11.255
1712100480000,11.3670,11.3730,11.3620,11.3670,13160,1712100539999,149604.6870,229,7459,1712105040000,11.255
1712100540000,11.3660,11.3660,11.3390,11.3520,33111,1712100599999,375692.0970,551,4730,1712105040000,11.255
1712100600000,11.3510,11.3510,11.3460,11.3490,4845,1712100659999,54980.7510,161,2033,1712105040000,11.255
1712100660000,11.3490,11.3520,11.3460,11.3500,3063,1712100719999,34763.6160,140,1696,1712105040000,11.255
1712100720000,11.3490,11.3550,11.3480,11.3540,6856,1712100779999,77828.2500,243,4933,1712105040000,11.255
1712100780000,11.3550,11.3570,11.3490,11.3510,3845,1712100839999,43655.6280,138,2213,1712105040000,11.255
1712100840000,11.3510,11.3520,11.3410,11.3510,4099,1712100899999,46507.3730,131,1723,1712105040000,11.255
1712100900000,11.3500,11.3530,11.3470,11.3520,4479,1712100959999,50838.1500,158,3111,1712105040000,11.255
1712100960000,11.3520,11.3520,11.3290,11.3410,8712,1712101019999,98765.9670,271,3477,1712105040000,11.255
1712101020000,11.3420,11.3450,11.3340,11.3340,3579,1712101079999,40588.4750,139,1650,1712105040000,11.255
1712101080000,11.3330,11.3480,11.3310,11.3460,4801,1712101139999,54437.7090,132,3323,1712105040000,11.255
1712101140000,11.3450,11.3490,11.3410,11.3410,1928,1712101199999,21869.6570,80,411,1712105040000,11.255
1712101200000,11.3400,11.3470,11.3390,11.3470,3024,1712101259999,34305.2260,119,995,1712105040000,11.255
1712101260000,11.3460,11.3510,11.3360,11.3370,3653,1712101319999,41444.8840,141,1377,1712105040000,11.255
1712101320000,11.3370,11.3440,11.3370,11.3400,2904,1712101379999,32934.6020,170,1009,1712105040000,11.255
1712101380000,11.3390,11.3450,11.3390,11.3440,2577,1712101439999,29231.0570,129,2118,1712105040000,11.255
1712101440000,11.3440,11.3440,11.3390,11.3400,1292,1712101499999,14652.8460,89,237,1712105040000,11.255
1712101500000,11.3400,11.3450,11.3360,11.3360,1950,1712101559999,22114.0330,112,746,1712105040000,11.255
1712101560000,11.3360,11.3400,11.3350,11.3350,2747,1712101619999,31144.0350,155,1940,1712105040000,11.255
1712101620000,11.3360,11.3450,11.3350,11.3430,3770,1712101679999,42750.6130,165,3118,1712105040000,11.255
1712101680000,11.3430,11.3430,11.3230,11.3280,6006,1712101739999,68040.9810,188,1290,1712105040000,11.255
1712101740000,11.3280,11.3330,11.3250,11.3320,4433,1712101799999,50224.4730,237,3170,1712105040000,11.255
1712101800000,11.3320,11.3350,11.3280,11.3310,2367,1712101859999,26821.5270,114,1876,1712105040000,11.255
1712101860000,11.3310,11.3360,11.3180,11.3180,8071,1712101919999,91400.5360,152,1563,1712105040000,11.255
1712101920000,11.3180,11.3180,11.3070,11.3100,5115,1712101979999,57865.5510,220,1687,1712105040000,11.255
1712101980000,11.3100,11.3240,11.3080,11.3210,4833,1712102039999,54688.9470,136,3973,1712105040000,11.255
1712102040000,11.3190,11.3190,11.3150,11.3180,1111,1712102099999,12572.5840,72,574,1712105040000,11.255
1712102100000,11.3160,11.3160,11.2980,11.2980,5803,1712102159999,65608.2600,214,1358,1712105040000,11.255
1712102160000,11.2980,11.2990,11.2910,11.2990,6458,1712102219999,72942.5560,212,1975,1712105040000,11.255
1712102220000,11.3000,11.3090,11.3000,11.3090,2518,1712102279999,28463.0350,77,2302,1712105040000,11.255
1712102280000,11.3090,11.3100,11.3020,11.3050,1460,1712102339999,16503.4720,81,909,1712105040000,11.255
1712102340000,11.3050,11.3090,11.3050,11.3090,675,1712102399999,7632.7550,87,524,1712105040000,11.255
1712102400000,11.3090,11.3210,11.2970,11.3200,20175,1712102459999,228141.9460,501,9604,1712105040000,11.255
1712102460000,11.3190,11.3240,11.3150,11.3150,3356,1712102519999,37990.3340,166,1701,1712105040000,11.255
1712102520000,11.3150,11.3310,11.3070,11.3290,7255,1712102579999,82111.9620,220,4134,1712105040000,11.255
1712102580000,11.3300,11.3330,11.2930,11.2970,8879,1712102639999,100474.3360,353,2341,1712105040000,11.255
1712102640000,11.2980,11.3020,11.2800,11.2960,10823,1712102699999,122220.4480,399,5538,1712105040000,11.255
1712102700000,11.2960,11.3090,11.2900,11.3090,9078,1712102759999,102567.6050,372,5858,1712105040000,11.255
1712102760000,11.3110,11.3260,11.3090,11.3210,6968,1712102819999,78864.8150,250,4186,1712105040000,11.255
1712102820000,11.3200,11.3370,11.3180,11.3310,4449,1712102879999,50406.7960,177,2700,1712105040000,11.255
1712102880000,11.3320,11.3410,11.3320,11.3370,2580,1712102939999,29250.9850,112,1665,1712105040000,11.255
1712102940000,11.3370,11.3410,11.3330,11.3410,2629,1712102999999,29805.8840,132,1307,1712105040000,11.255
1712103000000,11.3420,11.3460,11.3380,11.3440,6112,1712103059999,69322.4010,181,2166,1712105040000,11.255
1712103060000,11.3430,11.3470,11.3260,11.3260,2953,1712103119999,33482.7310,156,202,1712105040000,11.255
