Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710859140000,0.0255500,0.0255600,0.0255100,0.0255600,485315,1710859199999,12396.8183700,83,227982,1710864480000,0.02641
1710859200000,0.0255600,0.0256100,0.0255500,0.0256100,378815,1710859259999,9689.5183200,125,206012,1710864480000,0.02641
1710859260000,0.0256100,0.0256100,0.0255600,0.0255800,375458,1710859319999,9606.4039100,82,213291,1710864480000,0.02641
1710859320000,0.0255800,0.0256400,0.0255800,0.0256300,194819,1710859379999,4990.3774000,76,122676,1710864480000,0.02641
1710859380000,0.0256300,0.0256500,0.0256300,0.0256500,125845,1710859439999,3227.2423000,92,83380,1710864480000,0.02641
1710859440000,0.0256600,0.0257600,0.0256600,0.0257400,880889,1710859499999,22666.2503700,192,588324,1710864480000,0.02641
1710859500000,0.0257400,0.0257600,0.0256700,0.0256800,631191,1710859559999,16225.5602500,149,129526,1710864480000,0.02641
1710859560000,0.0256800,0.0256800,0.0255800,0.0256300,811836,1710859619999,20791.7203200,152,249503,1710864480000,0.02641
1710859620000,0.0256400,0.0256700,0.0255900,0.0256700,378715,1710859679999,9708.7229000,106,282591,1710864480000,0.02641
1710859680000,0.0256700,0.0256800,0.0256100,0.0256800,645223,1710859739999,16552.4398700,140,497924,1710864480000,0.02641
1710859740000,0.0256900,0.0257500,0.0256900,0.0257500,373397,1710859799999,9602.1380800,112,198772,1710864480000,0.02641
1710859800000,0.0257400,0.0257900,0.0257400,0.0257700,666090,1710859859999,17167.9131100,160,351820,1710864480000,0.02641
1710859860000,0.0257700,0.0257900,0.0256900,0.0257600,968711,1710859919999,24951.8333000,164,491490,1710864480000,0.02641
1710859920000,0.0257600,0.0258100,0.0257300,0.0257300,667980,1710859979999,17205.9817100,142,139261,1710864480000,0.02641
1710859980000,0.0257300,0.0257400,0.0256700,0.0256800,346402,1710860039999,8901.7233400,79,107390,1710864480000,0.02641
1710860040000,0.0256900,0.0257300,0.0256800,0.0256900,211284,1710860099999,5430.9786200,62,130559,1710864480000,0.02641
1710860100000,0.0256800,0.0257200,0.0256500,0.0257200,491053,1710860159999,12613.2584500,124,236825,1710864480000,0.02641
1710860160000,0.0257300,0.0257400,0.0256400,0.0256400,526475,1710860219999,13526.0628500,108,165488,1710864480000,0.02641
1710860220000,0.0256300,0.0256800,0.0256200,0.0256300,499786,1710860279999,12817.0074300,82,142763,1710864480000,0.02641
1710860280000,0.0256400,0.0256900,0.0256400,0.0256900,476369,1710860339999,12225.8430400,97,323073,1710864480000,0.02641
1710860340000,0.0256800,0.0257000,0.0256700,0.0256700,169732,1710860399999,4359.8467300,60,58964,1710864480000,0.02641
1710860400000,0.0256800,0.0256900,0.0255800,0.0255900,507663,1710860459999,13004.1854500,135,243467,1710864480000,0.02641
1710860460000,0.0255900,0.0255900,0.0254700,0.0255400,953794,1710860519999,24337.7751500,282,390944,1710864480000,0.02641
1710860520000,0.0255300,0.0255400,0.0254400,0.0254900,533985,1710860579999,13616.1766700,155,245940,1710864480000,0.02641
1710860580000,0.0254900,0.0256100,0.0254900,0.0255700,774145,1710860639999,19786.2743500,215,587573,1710864480000,0.02641
1710860640000,0.0255700,0.0256600,0.0255700,0.0256400,596082,1710860699999,15271.8634000,154,429423,1710864480000,0.02641
1710860700000,0.0256500,0.0257300,0.0256300,0.0257200,1600120,1710860759999,41090.7537800,296,936547,1710864480000,0.02641
1710860760000,0.0257200,0.0257500,0.0257100,0.0257500,377812,1710860819999,9724.0184400,97,271244,1710864480000,0.02641
1710860820000,0.0257400,0.0257500,0.0257300,0.0257500,358843,1710860879999,9237.0007600,69,268488,1710864480000,0.02641
1710860880000,0.0257500,0.0257500,0.0256900,0.0257100,549636,1710860939999,14137.2320200,121,312044,1710864480000,0.02641
1710860940000,0.0257100,0.0257200,0.0256800,0.0256900,160189,1710860999999,4116.3294900,44,57265,1710864480000,0.02641
1710861000000,0.0256900,0.0257300,0.0256500,0.0257100,608585,1710861059999,15636.1539700,107,202968,1710864480000,0.02641
1710861060000,0.0256900,0.0256900,0.0255800,0.0255800,497821,1710861119999,12762.4540800,99,149481,1710864480000,0.02641
1710861120000,0.0255700,0.0256600,0.0255700,0.0256600,421655,1710861179999,10799.6202600,92,279862,1710864480000,0.02641
1710861180000,0.0256600,0.0256600,0.0255600,0.0256100,404083,1710861239999,10341.6021100,99,220542,1710864480000,0.02641
1710861240000,0.0256200,0.0256500,0.0255800,0.0256100,291475,1710861299999,7464.8877800,80,104994,1710864480000,0.02641
1710861300000,0.0256000,0.0256100,0.0255400,0.0255400,400312,1710861359999,10238.5806400,93,228134,1710864480000,0.02641
1710861360000,0.0255400,0.0255600,0.0254600,0.0254700,665508,1710861419999,16972.3893000,153,324103,1710864480000,0.02641
1710861420000,0.0254700,0.0256000,0.0254200,0.0255600,888586,1710861479999,22659.7326900,195,512904,1710864480000,0.02641
1710861480000,0.0255700,0.0256500,0.0255600,0.0256500,362576,1710861539999,9279.3530700,104,220169,1710864480000,0.02641
1710861540000,0.0256600,0.0257300,0.0256600,0.0257300,523520,1710861599999,13456.0436100,126,193215,1710864480000,0.02641
1710861600000,0.0257300,0.0257900,0.0256900,0.0257900,568784,1710861659999,14647.0552600,122,390533,1710864480000,0.02641
1710861660000,0.0257800,0.0258000,0.0257400,0.0257900,439586,1710861719999,11326.3834800,92,288579,1710864480000,0.02641
1710861720000,0.0258000,0.0258500,0.0257900,0.0258100,631611,1710861779999,16311.6547800,154,297275,1710864480000,0.02641
1710861780000,0.0258400,0.0258600,0.0258200,0.0258200,429916,1710861839999,11109.7415700,85,205242,1710864480000,0.02641
1710861840000,0.0258200,0.0258400,0.0257700,0.0258200,673984,1710861899999,17396.3266100,114,302552,1710864480000,0.02641
1710861900000,0.0258100,0.0258500,0.0257800,0.0258100,394511,1710861959999,10184.6602000,113,145327,1710864480000,0.02641
1710861960000,0.0258100,0.0258300,0.0257900,0.0257900,261378,1710862019999,6745.7388500,93,66691,1710864480000,0.02641
1710862020000,0.0257900,0.0258000,0.0257500,0.0257900,257971,1710862079999,6652.4449700,66,175410,1710864480000,0.02641
1710862080000,0.0257800,0.0257900,0.0257200,0.0257200,675026,1710862139999,17379.1257200,146,217386,1710864480000,0.02641
1710862140000,0.0257200,0.0257800,0.0256900,0.0257800,246407,1710862199999,6340.7750200,62,150373,1710864480000,0.02641
