Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1712210160000,0.2200400,0.2203600,0.2199600,0.2202100,134581,1712210219999,29633.7443000,543,112008,1712215560000,0.2272
1712210220000,0.2202100,0.2203000,0.2199800,0.2201400,56417,1712210279999,12418.5554400,257,18536,1712215560000,0.2272
1712210280000,0.2200900,0.2200900,0.2196900,0.2197100,51378,1712210339999,11296.5908600,242,19206,1712215560000,0.2272
1712210340000,0.2196300,0.2197800,0.2195600,0.2195600,33625,1712210399999,7386.4018900,169,24969,1712215560000,0.2272
1712210400000,0.2196400,0.2197300,0.2193900,0.2194700,75865,1712210459999,16656.9357200,305,44866,1712215560000,0.2272
1712210460000,0.2195000,0.2197600,0.2193400,0.2194400,111548,1712210519999,24482.6582600,361,41975,1712215560000,0.2272
1712210520000,0.2194500,0.2196000,0.2190600,0.2195800,93715,1712210579999,20551.4440800,256,49877,1712215560000,0.2272
1712210580000,0.2195400,0.2195400,0.2191100,0.2193700,80806,1712210639999,17716.1778600,370,58579,1712215560000,0.2272
1712210640000,0.2193700,0.2196000,0.2192500,0.2193300,46256,1712210699999,10149.2136300,191,21605,1712215560000,0.2272
1712210700000,0.2192500,0.2199300,0.2192200,0.2198900,112804,1712210759999,24768.6303300,333,103349,1712215560000,0.2272
1712210760000,0.2198900,0.2200100,0.2197200,0.2198300,56467,1712210819999,12416.2357500,313,31578,1712215560000,0.2272
1712210820000,0.2198300,0.2204000,0.2198100,0.2203800,97550,1712210879999,21478.6431700,416,76405,1712215560000,0.2272
1712210880000,0.2203500,0.2208300,0.2203300,0.2208200,237543,1712210939999,52414.7941800,674,148001,1712215560000,0.2272
1712210940000,0.2207800,0.2213800,0.2207800,0.2210100,232845,1712210999999,51490.9196800,871,192075,1712215560000,0.2272
1712211000000,0.2210600,0.2221900,0.2210600,0.2221500,477397,1712211059999,105889.4863700,1051,338520,1712215560000,0.2272
1712211060000,0.2221900,0.2223400,0.2216100,0.2219900,259839,1712211119999,57691.3085700,808,166470,1712215560000,0.2272
1712211120000,0.2219900,0.2225400,0.2219400,0.2221800,256275,1712211179999,56980.1434700,472,127363,1712215560000,0.2272
1712211180000,0.2221500,0.2224200,0.2220500,0.2221200,151954,1712211239999,33767.8164500,372,108286,1712215560000,0.2272
1712211240000,0.2221200,0.2229100,0.2219100,0.2229100,595238,1712211299999,132371.2391100,1067,421544,1712215560000,0.2272
1712211300000,0.2228200,0.2229300,0.2226500,0.2228100,183479,1712211359999,40878.7010700,647,113846,1712215560000,0.2272
1712211360000,0.2228100,0.2229900,0.2223800,0.2225600,312937,1712211419999,69710.1784700,684,187702,1712215560000,0.2272
1712211420000,0.2225700,0.2229600,0.2225200,0.2225200,190836,1712211479999,42505.0100200,609,116799,1712215560000,0.2272
1712211480000,0.2225900,0.2228500,0.2222200,0.2226000,179669,1712211539999,39992.0572900,490,138331,1712215560000,0.2272
1712211540000,0.2225800,0.2229100,0.2224100,0.2228000,139657,1712211599999,31098.1576200,420,93317,1712215560000,0.2272
1712211600000,0.2228700,0.2230200,0.2222400,0.2223000,192325,1712211659999,42854.2920100,555,101608,1712215560000,0.2272
1712211660000,0.2223000,0.2227500,0.2223000,0.2223500,80115,1712211719999,17824.0129700,229,54764,1712215560000,0.2272
1712211720000,0.2223500,0.2228800,0.2222500,0.2227300,95071,1712211779999,21158.6413000,265,74292,1712215560000,0.2272
