Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710755640000,0.040740,0.040760,0.040700,0.040720,1194305,1710755699999,48649.765100,232,319545,1710761040000,0.04176
1710755700000,0.040730,0.040800,0.040700,0.040720,999253,1710755759999,40716.031990,247,542685,1710761040000,0.04176
1710755760000,0.040720,0.040800,0.040720,0.040750,870828,1710755819999,35497.811780,263,544209,1710761040000,0.04176
1710755820000,0.040760,0.040760,0.040670,0.040730,821120,1710755879999,33434.317470,207,404811,1710761040000,0.04176
1710755880000,0.040740,0.040790,0.040680,0.040770,942021,1710755939999,38397.942480,165,695822,1710761040000,0.04176
1710755940000,0.040780,0.040860,0.040780,0.040820,1018176,1710755999999,41554.788980,191,592754,1710761040000,0.04176
1710756000000,0.040820,0.040940,0.040800,0.040930,1158896,1710756059999,47369.317720,280,587131,1710761040000,0.04176
1710756060000,0.040930,0.040940,0.040870,0.040940,623734,1710756119999,25512.775250,186,257430,1710761040000,0.04176
1710756120000,0.040940,0.041010,0.040920,0.040920,881926,1710756179999,36119.188120,207,277025,1710761040000,0.04176
1710756180000,0.040930,0.040950,0.040870,0.040870,910259,1710756239999,37233.478110,159,121280,1710761040000,0.04176
1710756240000,0.040870,0.040880,0.040840,0.040880,394224,1710756299999,16106.939170,116,221753,1710761040000,0.04176
1710756300000,0.040870,0.040870,0.040730,0.040780,966088,1710756359999,39413.290540,194,250328,1710761040000,0.04176
1710756360000,0.040780,0.040800,0.040700,0.040720,514374,1710756419999,20958.494460,166,116715,1710761040000,0.04176
1710756420000,0.040720,0.040780,0.040680,0.040740,833570,1710756479999,33956.405850,170,265288,1710761040000,0.04176
1710756480000,0.040720,0.040840,0.040710,0.040830,1089307,1710756539999,44427.680470,175,645980,1710761040000,0.04176
1710756540000,0.040830,0.040860,0.040760,0.040810,1618615,1710756599999,66080.697340,413,1166158,1710761040000,0.04176
1710756600000,0.040810,0.041090,0.040760,0.041050,17283650,1710756659999,708138.308650,1494,12612526,1710761040000,0.04176
1710756660000,0.041040,0.041320,0.040950,0.040960,31345797,1710756719999,1290872.976600,3007,17327955,1710761040000,0.04176
1710756720000,0.040960,0.041000,0.040900,0.040900,2691799,1710756779999,110225.091720,442,1349926,1710761040000,0.04176
1710756780000,0.040910,0.040930,0.040770,0.040810,4696681,1710756839999,191786.109880,552,1875883,1710761040000,0.04176
1710756840000,0.040810,0.040890,0.040810,0.040820,2797980,1710756899999,114310.741490,389,1388508,1710761040000,0.04176
1710756900000,0.040840,0.040950,0.040800,0.040820,2898536,1710756959999,118463.446090,469,1479644,1710761040000,0.04176
1710756960000,0.040810,0.040940,0.040790,0.040930,2770436,1710757019999,113205.716620,423,1275354,1710761040000,0.04176
