Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710281100000,3.4696,3.4772,3.4680,3.4772,7220.1,1710281159999,25078.50553,305,4468.1,1710286500000,3.5431
1710281160000,3.4771,3.4796,3.4733,3.4757,12806.0,1710281219999,44510.53762,391,4962.3,1710286500000,3.5431
1710281220000,3.4757,3.4789,3.4753,3.4783,4227.7,1710281279999,14701.64425,188,2375.4,1710286500000,3.5431
1710281280000,3.4779,3.4793,3.4737,3.4793,5891.1,1710281339999,20483.52438,184,1765.3,1710286500000,3.5431
1710281340000,3.4793,3.4802,3.4768,3.4773,4889.5,1710281399999,17007.05478,130,3867.3,1710286500000,3.5431
1710281400000,3.4771,3.4782,3.4753,3.4781,3332.6,1710281459999,11587.10655,52,3187.2,1710286500000,3.5431
1710281460000,3.4780,3.4806,3.4753,3.4781,3951.2,1710281519999,13744.22165,184,1819.1,1710286500000,3.5431
1710281520000,3.4774,3.4794,3.4772,3.4791,2159.5,1710281579999,7511.63544,99,1773.0,1710286500000,3.5431
1710281580000,3.4792,3.4814,3.4788,3.4809,1456.2,1710281639999,5066.73114,79,1161.1,1710286500000,3.5431
1710281640000,3.4808,3.4833,3.4805,3.4822,4648.1,1710281699999,16185.10650,181,2002.7,1710286500000,3.5431
1710281700000,3.4820,3.4872,3.4820,3.4850,13123.7,1710281759999,45731.60478,306,5547.3,1710286500000,3.5431
1710281760000,3.4848,3.4852,3.4813,3.4847,3969.1,1710281819999,13826.83420,211,2226.3,1710286500000,3.5431
1710281820000,3.4853,3.4862,3.4836,3.4840,2926.2,1710281879999,10198.16043,107,2002.9,1710286500000,3.5431
1710281880000,3.4841,3.4862,3.4829,3.4850,7453.0,1710281939999,25971.55694,188,3162.9,1710286500000,3.5431
1710281940000,3.4844,3.4862,3.4830,3.4853,3572.2,1710281999999,12448.91330,132,2920.6,1710286500000,3.5431
1710282000000,3.4847,3.4903,3.4844,3.4894,10743.1,1710282059999,37467.32447,331,8726.0,1710286500000,3.5431
1710282060000,3.4893,3.4955,3.4890,3.4928,11279.2,1710282119999,39400.36845,569,7456.4,1710286500000,3.5431
1710282120000,3.4927,3.4937,3.4902,3.4916,9484.4,1710282179999,33117.75827,284,3271.8,1710286500000,3.5431
1710282180000,3.4906,3.4906,3.4844,3.4884,4394.1,1710282239999,15320.77218,235,2007.9,1710286500000,3.5431
1710282240000,3.4882,3.4905,3.4851,3.4880,4975.7,1710282299999,17354.57772,224,3490.1,1710286500000,3.5431
1710282300000,3.4886,3.4890,3.4865,3.4883,2715.8,1710282359999,9471.83563,138,1003.7,1710286500000,3.5431
1710282360000,3.4883,3.4900,3.4851,3.4851,2124.9,1710282419999,7412.39489,103,972.9,1710286500000,3.5431
1710282420000,3.4844,3.4906,3.4831,3.4874,3855.6,1710282479999,13443.29853,186,3100.9,1710286500000,3.5431
1710282480000,3.4868,3.4868,3.4804,3.4827,6666.2,1710282539999,23216.35953,238,2290.9,1710286500000,3.5431
1710282540000,3.4824,3.4861,3.4809,3.4860,2701.7,1710282599999,9410.22921,135,1692.3,1710286500000,3.5431
1710282600000,3.4857,3.4864,3.4800,3.4813,2442.6,1710282659999,8507.14914,145,1213.3,1710286500000,3.5431
1710282660000,3.4813,3.4838,3.4796,3.4821,4527.5,1710282719999,15761.52669,171,2483.5,1710286500000,3.5431
1710282720000,3.4813,3.4826,3.4796,3.4802,2794.9,1710282779999,9728.91859,135,2019.4,1710286500000,3.5431
1710282780000,3.4802,3.4868,3.4797,3.4852,7185.4,1710282839999,25026.58731,184,5635.9,1710286500000,3.5431
1710282840000,3.4856,3.4859,3.4828,3.4828,1034.9,1710282899999,3605.90228,58,389.4,1710286500000,3.5431
1710282900000,3.4828,3.4828,3.4796,3.4807,5494.8,1710282959999,19126.14304,122,1953.9,1710286500000,3.5431
1710282960000,3.4806,3.4806,3.4750,3.4777,3311.1,1710283019999,11512.16234,157,1609.5,1710286500000,3.5431
1710283020000,3.4774,3.4794,3.4751,3.4767,3729.2,1710283079999,12967.00842,158,2139.0,1710286500000,3.5431
1710283080000,3.4770,3.4786,3.4753,3.4774,3089.3,1710283139999,10741.29550,126,2197.6,1710286500000,3.5431
1710283140000,3.4783,3.4841,3.4783,3.4837,3206.6,1710283199999,11163.29466,117,2856.5,1710286500000,3.5431
1710283200000,3.4830,3.4912,3.4830,3.4912,6689.8,1710283259999,23329.35247,215,4418.1,1710286500000,3.5431
1710283260000,3.4913,3.4986,3.4913,3.4984,15550.4,1710283319999,54375.75935,330,5869.6,1710286500000,3.5431
1710283320000,3.4984,3.5011,3.4982,3.5011,6208.5,1710283379999,21728.61710,220,4101.6,1710286500000,3.5431
1710283380000,3.5012,3.5050,3.5008,3.5030,8825.3,1710283439999,30913.31650,254,6128.3,1710286500000,3.5431
1710283440000,3.5028,3.5037,3.5012,3.5037,4064.5,1710283499999,14235.46668,126,1603.7,1710286500000,3.5431
1710283500000,3.5029,3.5085,3.5023,3.5069,5740.7,1710283559999,20128.01532,203,3311.1,1710286500000,3.5431
1710283560000,3.5069,3.5072,3.5037,3.5042,11703.4,1710283619999,41030.09309,253,1651.7,1710286500000,3.5431
1710283620000,3.5050,3.5065,3.5026,3.5030,7058.4,1710283679999,24736.57467,211,2600.4,1710286500000,3.5431
1710283680000,3.5032,3.5040,3.4975,3.5028,22964.9,1710283739999,80388.56806,275,18874.2,1710286500000,3.5431
1710283740000,3.5030,3.5070,3.5030,3.5052,4664.6,1710283799999,16350.14632,141,3120.4,1710286500000,3.5431
1710283800000,3.5052,3.5099,3.5042,3.5093,7743.3,1710283859999,27158.07540,169,6829.5,1710286500000,3.5431
1710283860000,3.5095,3.5120,3.5026,3.5026,12017.8,1710283919999,42148.76305,248,1649.1,1710286500000,3.5431
1710283920000,3.5036,3.5046,3.5003,3.5017,8747.9,1710283979999,30634.57912,242,3949.8,1710286500000,3.5431
1710283980000,3.5015,3.5029,3.5000,3.5002,2836.5,1710284039999,9931.70049,144,1408.2,1710286500000,3.5431
1710284040000,3.5009,3.5047,3.5007,3.5007,4429.3,1710284099999,15513.44203,137,2543.8,1710286500000,3.5431
1710284100000,3.5007,3.5041,3.5004,3.5040,3023.9,1710284159999,10590.73745,136,1813.0,1710286500000,3.5431
1710284160000,3.5040,3.5057,3.5027,3.5048,4573.5,1710284219999,16028.63287,166,3713.6,1710286500000,3.5431
