Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711423140000,0.1122300,0.1122400,0.1111700,0.1112500,1753610,1711423199999,195885.5178700,1179,513355,1711428480000,0.1099
1711423200000,0.1112000,0.1112300,0.1100400,0.1101800,7403219,1711423259999,818830.0620000,3624,1779351,1711428480000,0.1099
1711423260000,0.1101400,0.1106200,0.1091100,0.1092400,6528053,1711423319999,717234.9962300,3463,2041422,1711428480000,0.1099
1711423320000,0.1092200,0.1098500,0.1089000,0.1094400,5210267,1711423379999,569714.4782100,3498,2280706,1711428480000,0.1099
1711423380000,0.1094600,0.1094800,0.1088400,0.1092500,2644526,1711423439999,288698.0499100,2107,1225994,1711428480000,0.1099
1711423440000,0.1092500,0.1094600,0.1088000,0.1094200,2062104,1711423499999,225065.7299900,1309,1028215,1711428480000,0.1099
1711423500000,0.1094000,0.1096600,0.1090000,0.1093000,2874779,1711423559999,314481.6193200,1592,1491493,1711428480000,0.1099
1711423560000,0.1093100,0.1093600,0.1086700,0.1088600,1747533,1711423619999,190392.9745300,1375,594615,1711428480000,0.1099
1711423620000,0.1088500,0.1095000,0.1085600,0.1092200,3218519,1711423679999,351127.8057600,1981,1763589,1711428480000,0.1099
1711423680000,0.1092200,0.1092700,0.1085000,0.1088200,1773235,1711423739999,192863.3644900,1346,665216,1711428480000,0.1099
1711423740000,0.1088300,0.1092800,0.1084600,0.1084600,1457326,1711423799999,158812.1983600,1238,843239,1711428480000,0.1099
1711423800000,0.1084700,0.1089400,0.1081900,0.1088900,2069094,1711423859999,224511.3704700,1357,1134598,1711428480000,0.1099
1711423860000,0.1088900,0.1093700,0.1087300,0.1093400,1559440,1711423919999,170087.0790000,1097,922493,1711428480000,0.1099
1711423920000,0.1093400,0.1094300,0.1089700,0.1093800,1380205,1711423979999,150765.4612200,1040,802118,1711428480000,0.1099
1711423980000,0.1093900,0.1094600,0.1088700,0.1092900,1564179,1711424039999,170786.4443200,1020,909836,1711428480000,0.1099
1711424040000,0.1092800,0.1095900,0.1092100,0.1094700,1372418,1711424099999,150050.4250300,669,835672,1711428480000,0.1099
1711424100000,0.1095100,0.1098800,0.1092200,0.1096200,1623351,1711424159999,177822.7311700,1300,957209,1711428480000,0.1099
1711424160000,0.1096400,0.1096400,0.1092500,0.1095300,1222653,1711424219999,133824.0386100,767,574122,1711428480000,0.1099
1711424220000,0.1095400,0.1096000,0.1091700,0.1094100,1398035,1711424279999,152926.6956400,794,575022,1711428480000,0.1099
1711424280000,0.1093800,0.1096200,0.1091800,0.1096200,969025,1711424339999,105984.4035500,642,686135,1711428480000,0.1099
1711424340000,0.1096200,0.1096900,0.1091800,0.1096400,971244,1711424399999,106241.5151000,641,477190,1711428480000,0.1099
1711424400000,0.1096600,0.1100700,0.1096100,0.1099600,1105753,1711424459999,121466.6052500,1064,746652,1711428480000,0.1099
1711424460000,0.1099700,0.1099900,0.1094200,0.1097900,741686,1711424519999,81336.7597600,667,306391,1711428480000,0.1099
1711424520000,0.1097600,0.1100100,0.1097000,0.1097000,570382,1711424579999,62655.2333800,557,351344,1711428480000,0.1099
1711424580000,0.1097000,0.1097400,0.1090900,0.1092300,981498,1711424639999,107451.2819000,768,436334,1711428480000,0.1099
1711424640000,0.1091900,0.1096300,0.1090400,0.1091400,1221157,1711424699999,133399.2299000,981,540866,1711428480000,0.1099
1711424700000,0.1091500,0.1095000,0.1090800,0.1094000,783180,1711424759999,85578.6409800,643,251818,1711428480000,0.1099
1711424760000,0.1094000,0.1094500,0.1092500,0.1093800,511089,1711424819999,55887.4476300,482,246147,1711428480000,0.1099
1711424820000,0.1093800,0.1095400,0.1092700,0.1092800,594411,1711424879999,65044.2443600,588,297293,1711428480000,0.1099
1711424880000,0.1092700,0.1095000,0.1090300,0.1092400,1008622,1711424939999,110203.4583200,675,511688,1711428480000,0.1099
1711424940000,0.1092100,0.1092100,0.1089700,0.1090400,1139969,1711424999999,124338.6433300,960,431899,1711428480000,0.1099
1711425000000,0.1090200,0.1091700,0.1085000,0.1086200,1371521,1711425059999,149233.0998100,780,402077,1711428480000,0.1099
1711425060000,0.1086300,0.1089500,0.1085700,0.1089200,776746,1711425119999,84486.4276600,632,380261,1711428480000,0.1099
1711425120000,0.1089300,0.1094900,0.1089300,0.1093400,1185028,1711425179999,129462.9554200,910,824692,1711428480000,0.1099
1711425180000,0.1093400,0.1099000,0.1093200,0.1097800,1079364,1711425239999,118283.7042500,892,774705,1711428480000,0.1099
1711425240000,0.1097600,0.1101100,0.1097200,0.1099500,1555378,1711425299999,170936.1766000,1189,1019399,1711428480000,0.1099
1711425300000,0.1099400,0.1100400,0.1096100,0.1099200,1001280,1711425359999,109974.4713300,774,528863,1711428480000,0.1099
1711425360000,0.1099100,0.1100100,0.1097400,0.1098100,662062,1711425419999,72760.2305400,496,334409,1711428480000,0.1099
1711425420000,0.1098000,0.1098500,0.1096700,0.1097600,463613,1711425479999,50878.1416000,350,299450,1711428480000,0.1099
1711425480000,0.1097700,0.1101400,0.1096900,0.1100500,1229472,1711425539999,135198.5055800,765,762874,1711428480000,0.1099
1711425540000,0.1100400,0.1102200,0.1098400,0.1102100,773749,1711425599999,85101.2506100,528,550893,1711428480000,0.1099
1711425600000,0.1101700,0.1102700,0.1098800,0.1099300,1449635,1711425659999,159577.2435300,1134,645404,1711428480000,0.1099
1711425660000,0.1099300,0.1101600,0.1098800,0.1099200,884850,1711425719999,97325.1801800,633,388012,1711428480000,0.1099
1711425720000,0.1099100,0.1101300,0.1098800,0.1101100,515837,1711425779999,56740.2796100,395,433788,1711428480000,0.1099
1711425780000,0.1100500,0.1103900,0.1100000,0.1103800,687465,1711425839999,75758.4345300,504,474225,1711428480000,0.1099
1711425840000,0.1103700,0.1108600,0.1102500,0.1106500,1074247,1711425899999,118682.4685300,829,666583,1711428480000,0.1099
1711425900000,0.1106500,0.1106600,0.1102000,0.1106300,1544267,1711425959999,170481.9806800,817,943297,1711428480000,0.1099
1711425960000,0.1106200,0.1107200,0.1103200,0.1106200,1120483,1711426019999,123831.0388000,645,761961,1711428480000,0.1099
1711426020000,0.1106000,0.1106000,0.1100500,0.1101800,3238173,1711426079999,356940.7088900,1169,1012093,1711428480000,0.1099
1711426080000,0.1101300,0.1101900,0.1100400,0.1101100,588005,1711426139999,64750.0306300,331,178572,1711428480000,0.1099
1711426140000,0.1101100,0.1103600,0.1099100,0.1099200,1417312,1711426199999,156079.6953900,566,575340,1711428480000,0.1099
1711426200000,0.1099200,0.1099600,0.1091000,0.1091300,3120852,1711426259999,341726.0239200,1334,492925,1711428480000,0.1099
1711426260000,0.1091400,0.1095600,0.1090000,0.1090000,1600059,1711426319999,174825.7868000,881,616630,1711428480000,0.1099
1711426320000,0.1090000,0.1096000,0.1090000,0.1094300,1377799,1711426379999,150738.7905000,886,529078,1711428480000,0.1099
1711426380000,0.1093900,0.1095700,0.1093800,0.1095000,273708,1711426439999,29959.0826000,276,94966,1711428480000,0.1099
1711426440000,0.1094900,0.1096200,0.1090100,0.1091200,857791,1711426499999,93789.6187600,576,259055,1711428480000,0.1099
1711426500000,0.1091400,0.1096200,0.1091100,0.1095900,686637,1711426559999,75135.2603200,562,379542,1711428480000,0.1099
1711426560000,0.1095800,0.1096900,0.1094600,0.1094600,273724,1711426619999,30001.3636500,254,111627,1711428480000,0.1099
1711426620000,0.1094700,0.1097500,0.1094700,0.1097200,521590,1711426679999,57183.4328000,422,385950,1711428480000,0.1099
1711426680000,0.1097100,0.1097200,0.1091800,0.1092200,588228,1711426739999,64372.5360500,345,104245,1711428480000,0.1099
1711426740000,0.1092200,0.1095700,0.1092200,0.1095000,469534,1711426799999,51387.2052800,330,303756,1711428480000,0.1099
1711426800000,0.1094900,0.1096900,0.1094900,0.1095500,715189,1711426859999,78399.0194900,267,383957,1711428480000,0.1099
1711426860000,0.1095300,0.1095300,0.1088100,0.1090900,1283306,1711426919999,140005.8614300,771,406358,1711428480000,0.1099
1711426920000,0.1091000,0.1094500,0.1090300,0.1094500,514622,1711426979999,56199.5612700,421,334710,1711428480000,0.1099
1711426980000,0.1094400,0.1097000,0.1093400,0.1094600,542178,1711427039999,59380.6575900,382,274954,1711428480000,0.1099
1711427040000,0.1094600,0.1094600,0.1092100,0.1093500,361139,1711427099999,39492.4731200,303,109616,1711428480000,0.1099
1711427100000,0.1093500,0.1096600,0.1093500,0.1095800,468217,1711427159999,51277.7383900,407,289030,1711428480000,0.1099
1711427160000,0.1095900,0.1100000,0.1095800,0.1099400,451846,1711427219999,49608.0566800,397,353094,1711428480000,0.1099
1711427220000,0.1099500,0.1100300,0.1096800,0.1097300,420253,1711427279999,46166.2348900,377,138893,1711428480000,0.1099
1711427280000,0.1096900,0.1097100,0.1093300,0.1095600,1104713,1711427339999,121016.2860200,703,540014,1711428480000,0.1099
1711427340000,0.1095700,0.1096400,0.1095000,0.1095900,372814,1711427399999,40856.4282100,270,271885,1711428480000,0.1099
1711427400000,0.1095700,0.1096900,0.1091200,0.1091600,914445,1711427459999,100027.5829800,629,247994,1711428480000,0.1099
1711427460000,0.1091800,0.1091800,0.1087300,0.1089800,781916,1711427519999,85172.0139000,534,243516,1711428480000,0.1099
1711427520000,0.1089600,0.1095100,0.1089600,0.1093400,604895,1711427579999,66096.0015200,529,461302,1711428480000,0.1099
1711427580000,0.1093200,0.1093200,0.1090900,0.1090900,215519,1711427639999,23532.3268900,190,113710,1711428480000,0.1099
1711427640000,0.1090900,0.1092100,0.1090300,0.1091500,344477,1711427699999,37588.2049300,175,222044,1711428480000,0.1099
1711427700000,0.1091800,0.1092100,0.1089800,0.1090800,382933,1711427759999,41774.3142500,209,101563,1711428480000,0.1099
1711427760000,0.1090900,0.1091800,0.1089800,0.1089800,331042,1711427819999,36109.2012100,275,102169,1711428480000,0.1099
1711427820000,0.1089800,0.1090600,0.1089300,0.1089900,350579,1711427879999,38202.8312300,223,147981,1711428480000,0.1099
1711427880000,0.1089600,0.1090600,0.1087000,0.1089500,1185765,1711427939999,129062.1315500,699,458379,1711428480000,0.1099
1711427940000,0.1089500,0.1090100,0.1086200,0.1086800,492961,1711427999999,53659.3127800,394,189587,1711428480000,0.1099
1711428000000,0.1086900,0.1088200,0.1086500,0.1086900,426875,1711428059999,46409.3328700,414,189077,1711428480000,0.1099
1711428060000,0.1086700,0.1089300,0.1085300,0.1087700,944414,1711428119999,102663.5244900,645,499122,1711428480000,0.1099
1711428120000,0.1088100,0.1091100,0.1087800,0.1091100,305081,1711428179999,33223.8016000,409,225712,1711428480000,0.1099
1711428180000,0.1091100,0.1095200,0.1090600,0.1094500,1725178,1711428239999,188677.1548900,658,1255883,1711428480000,0.1099
1711428240000,0.1094400,0.1096300,0.1094300,0.1096100,262448,1711428299999,28752.5399300,286,175492,1711428480000,0.1099
1711428300000,0.1096200,0.1096200,0.1092900,0.1092900,465212,1711428359999,50934.3539500,290,137674,1711428480000,0.1099
1711428360000,0.1093100,0.1093100,0.1090900,0.1091000,308536,1711428419999,33700.8516500,260,125135,1711428480000,0.1099
1711428420000,0.1091100,0.1093400,0.1090900,0.1092600,295048,1711428479999,32214.8523300,229,249979,1711428480000,0.1099
1711428480000,0.1092500,0.1102000,0.1092400,0.1099800,3379309,1711428539999,371017.7834300,1701,2217869,1711428480000,0.1099
1711428540000,0.1099800,0.1101500,0.1098400,0.1099500,561759,1711428599999,61792.2562800,397,386973,1711428480000,0.1099
1711428600000,0.1099400,0.1105600,0.1099400,0.1104500,1679737,1711428659999,185185.5748200,1124,1061728,1711428480000,0.1099
1711428660000,0.1104300,0.1104600,0.1100900,0.1102600,828118,1711428719999,91335.2980700,639,395015,1711428480000,0.1099
1711428720000,0.1102300,0.1103600,0.1101800,0.1102500,503965,1711428779999,55559.2020400,406,282370,1711428480000,0.1099
1711428780000,0.1102500,0.1102900,0.1101500,0.1102300,283336,1711428839999,31227.0392800,271,123039,1711428480000,0.1099
1711428840000,0.1102400,0.1105200,0.1098800,0.1099400,1276294,1711428899999,140611.3733600,773,586893,1711428480000,0.1099
1711428900000,0.1099200,0.1100500,0.1097400,0.1097500,668804,1711428959999,73474.2117800,420,218741,1711428480000,0.1099
1711428960000,0.1097600,0.1098900,0.1094700,0.1097900,891954,1711429019999,97820.5162100,653,438693,1711428480000,0.1099
1711429020000,0.1097900,0.1103600,0.1097500,0.1102500,768942,1711429079999,84673.3114300,565,456123,1711428480000,0.1099
1711429080000,0.1102400,0.1105800,0.1102400,0.1103700,1071433,1711429139999,118277.4527600,794,542407,1711428480000,0.1099
1711429140000,0.1103600,0.1103600,0.1099800,0.1100500,667137,1711429199999,73483.0503700,452,291517,1711428480000,0.1099
1711429200000,0.1100500,0.1103200,0.1099000,0.1101500,799442,1711429259999,87999.8923200,683,482422,1711428480000,0.1099
1711429260000,0.1101500,0.1105100,0.1100200,0.1103000,481749,1711429319999,53086.8663000,579,274306,1711428480000,0.1099
