Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711417560000,8.8213000,8.8357000,8.8200000,8.8220000,32011,1711417619999,282633.5751000,1068,15907,1711422960000,9.0201
1711417620000,8.8215000,8.8216000,8.7948000,8.8057000,29114,1711417679999,256324.0588000,1352,9819,1711422960000,9.0201
1711417680000,8.8057000,8.8095000,8.7909000,8.7929000,36661,1711417739999,322517.3740000,1545,10837,1711422960000,9.0201
1711417740000,8.7929000,8.8072000,8.7895000,8.8052000,11269,1711417799999,99120.7115000,1094,5720,1711422960000,9.0201
1711417800000,8.8068000,8.8076000,8.7966000,8.7990000,7174,1711417859999,63136.5278000,486,4198,1711422960000,9.0201
1711417860000,8.7994000,8.8046000,8.7940000,8.8033000,8739,1711417919999,76882.9780000,503,3948,1711422960000,9.0201
1711417920000,8.8033000,8.8268000,8.8033000,8.8258000,14700,1711417979999,129629.1328000,972,9842,1711422960000,9.0201
1711417980000,8.8256000,8.8263000,8.8088000,8.8110000,9382,1711418039999,82707.9859000,577,5233,1711422960000,9.0201
1711418040000,8.8110000,8.8183000,8.8102000,8.8172000,10355,1711418099999,91258.8030000,639,5442,1711422960000,9.0201
1711418100000,8.8172000,8.8207000,8.8064000,8.8162000,13553,1711418159999,119473.7086000,684,7194,1711422960000,9.0201
1711418160000,8.8168000,8.8185000,8.8024000,8.8169000,16315,1711418219999,143763.0085000,897,9914,1711422960000,9.0201
1711418220000,8.8168000,8.8234000,8.8110000,8.8234000,12653,1711418279999,111559.5156000,526,5270,1711422960000,9.0201
1711418280000,8.8234000,8.8292000,8.8192000,8.8200000,45800,1711418339999,404221.4186000,1196,33477,1711422960000,9.0201
1711418340000,8.8199000,8.8295000,8.8123000,8.8227000,19667,1711418399999,173477.6115000,940,7628,1711422960000,9.0201
1711418400000,8.8233000,8.8249000,8.8039000,8.8073000,12961,1711418459999,114224.5616000,844,6383,1711422960000,9.0201
1711418460000,8.8073000,8.8281000,8.8072000,8.8228000,15237,1711418519999,134366.1912000,989,8505,1711422960000,9.0201
1711418520000,8.8229000,8.8315000,8.8183000,8.8250000,18257,1711418579999,161136.4653000,798,13457,1711422960000,9.0201
1711418580000,8.8256000,8.8269000,8.8104000,8.8109000,12079,1711418639999,106503.5786000,727,3026,1711422960000,9.0201
1711418640000,8.8108000,8.8230000,8.8014000,8.8224000,20207,1711418699999,178030.7625000,1527,9923,1711422960000,9.0201
1711418700000,8.8223000,8.8300000,8.8109000,8.8135000,19592,1711418759999,172834.4444000,846,7536,1711422960000,9.0201
1711418760000,8.8135000,8.8285000,8.8119000,8.8250000,13424,1711418819999,118413.9687000,639,6165,1711422960000,9.0201
1711418820000,8.8261000,8.8471000,8.8215000,8.8436000,30468,1711418879999,269232.4645000,1641,20844,1711422960000,9.0201
1711418880000,8.8433000,8.8610000,8.8407000,8.8549000,34810,1711418939999,308203.4888000,1414,21268,1711422960000,9.0201
1711418940000,8.8549000,8.8568000,8.8457000,8.8521000,31130,1711418999999,275613.5218000,683,11973,1711422960000,9.0201
1711419000000,8.8512000,8.8561000,8.8309000,8.8538000,28231,1711419059999,249640.7838000,1235,17410,1711422960000,9.0201
1711419060000,8.8551000,8.8749000,8.8525000,8.8730000,55898,1711419119999,495616.6161000,1704,29595,1711422960000,9.0201
1711419120000,8.8730000,8.9000000,8.8720000,8.8864000,76551,1711419179999,680655.4453000,2994,49397,1711422960000,9.0201
1711419180000,8.8853000,8.9111000,8.8849000,8.9075000,100210,1711419239999,891844.5288000,2131,51393,1711422960000,9.0201
1711419240000,8.9076000,8.9302000,8.9002000,8.9004000,77471,1711419299999,690749.6859000,2308,39389,1711422960000,9.0201
1711419300000,8.9006000,8.9242000,8.8809000,8.9129000,125501,1711419359999,1117725.6330000,2933,67968,1711422960000,9.0201
1711419360000,8.9127000,8.9260000,8.9010000,8.9187000,86038,1711419419999,767184.7237000,1778,52583,1711422960000,9.0201
1711419420000,8.9185000,8.9542000,8.9095000,8.9418000,119572,1711419479999,1068049.7676000,3137,87059,1711422960000,9.0201
1711419480000,8.9419000,8.9648000,8.9363000,8.9568000,93506,1711419539999,836638.7209000,4118,50925,1711422960000,9.0201
1711419540000,8.9551000,8.9700000,8.9533000,8.9588000,50568,1711419599999,453165.7474000,1734,36335,1711422960000,9.0201
1711419600000,8.9587000,8.9587000,8.9381000,8.9518000,88221,1711419659999,789330.0654000,1988,41391,1711422960000,9.0201
1711419660000,8.9518000,8.9643000,8.9415000,8.9632000,79365,1711419719999,710510.0328000,1480,34328,1711422960000,9.0201
1711419720000,8.9630000,8.9642000,8.9387000,8.9499000,56655,1711419779999,507101.9210000,1181,33994,1711422960000,9.0201
