Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711024980000,0.45939,0.45949,0.45852,0.45898,15239,1711025039999,6994.50948,143,9076,1711030140000,0.46368
1711025040000,0.45908,0.45909,0.45808,0.45818,14731,1711025099999,6754.57920,112,1473,1711030140000,0.46368
1711025100000,0.45822,0.45822,0.45623,0.45660,69667,1711025159999,31854.60470,356,13189,1711030140000,0.46368
1711025160000,0.45672,0.45800,0.45631,0.45780,37297,1711025219999,17048.73368,330,22057,1711030140000,0.46368
1711025220000,0.45782,0.45950,0.45780,0.45935,34907,1711025279999,16023.68822,307,26354,1711030140000,0.46368
1711025280000,0.45934,0.45957,0.45790,0.45802,29095,1711025339999,13353.00354,214,6199,1711030140000,0.46368
1711025340000,0.45783,0.45809,0.45770,0.45781,12619,1711025399999,5778.28079,126,4490,1711030140000,0.46368
1711025400000,0.45783,0.45847,0.45753,0.45838,16851,1711025459999,7719.04674,142,5956,1711030140000,0.46368
1711025460000,0.45828,0.45957,0.45826,0.45925,24112,1711025519999,11071.05566,238,20631,1711030140000,0.46368
1711025520000,0.45937,0.45939,0.45801,0.45816,14125,1711025579999,6477.92637,133,4373,1711030140000,0.46368
1711025580000,0.45815,0.45832,0.45709,0.45709,17988,1711025639999,8228.00133,181,8507,1711030140000,0.46368
1711025640000,0.45709,0.45810,0.45666,0.45774,41568,1711025699999,19001.90645,250,11709,1711030140000,0.46368
1711025700000,0.45768,0.45801,0.45738,0.45757,26955,1711025759999,12333.97964,166,21104,1711030140000,0.46368
1711025760000,0.45757,0.45977,0.45755,0.45924,195252,1711025819999,89635.09086,676,148862,1711030140000,0.46368
1711025820000,0.45924,0.45952,0.45778,0.45812,37533,1711025879999,17217.09244,305,20960,1711030140000,0.46368
1711025880000,0.45826,0.45826,0.45751,0.45752,15836,1711025939999,7249.94770,165,7774,1711030140000,0.46368
1711025940000,0.45753,0.45819,0.45751,0.45751,40248,1711025999999,18420.59319,183,21348,1711030140000,0.46368
1711026000000,0.45772,0.45868,0.45691,0.45834,45723,1711026059999,20923.24482,337,21459,1711030140000,0.46368
1711026060000,0.45832,0.45861,0.45754,0.45773,22187,1711026119999,10162.69922,199,15016,1711030140000,0.46368
1711026120000,0.45788,0.45970,0.45788,0.45966,36487,1711026179999,16745.75275,250,27428,1711030140000,0.46368
1711026180000,0.45965,0.45991,0.45915,0.45949,21234,1711026239999,9760.53355,203,9029,1711030140000,0.46368
