Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710714660000,0.0510,0.0510,0.0509,0.0510,11931,1710714719999,608.3982,15,11103,1710720000000,0.052
1710714720000,0.0510,0.0511,0.0510,0.0510,272587,1710714779999,13903.5285,80,272128,1710720000000,0.052
1710714780000,0.0511,0.0511,0.0510,0.0511,38367,1710714839999,1960.3823,21,36653,1710720000000,0.052
1710714840000,0.0511,0.0511,0.0510,0.0511,18619,1710714899999,951.1909,11,16219,1710720000000,0.052
1710714900000,0.0510,0.0511,0.0510,0.0511,162082,1710714959999,8282.0982,46,154874,1710720000000,0.052
1710714960000,0.0512,0.0512,0.0510,0.0511,1342800,1710715019999,68558.3420,188,140943,1710720000000,0.052
1710715020000,0.0512,0.0513,0.0512,0.0512,199743,1710715079999,10226.8812,73,194533,1710720000000,0.052
1710715080000,0.0512,0.0513,0.0511,0.0513,330443,1710715139999,16918.8350,63,56338,1710720000000,0.052
1710715140000,0.0512,0.0513,0.0511,0.0512,294417,1710715199999,15079.3769,63,199538,1710720000000,0.052
1710715200000,0.0512,0.0513,0.0512,0.0513,65531,1710715259999,3358.1124,25,29252,1710720000000,0.052
1710715260000,0.0513,0.0513,0.0513,0.0513,3014,1710715319999,154.6182,8,3014,1710720000000,0.052
1710715320000,0.0512,0.0513,0.0512,0.0513,93147,1710715379999,4778.2159,17,90895,1710720000000,0.052
1710715380000,0.0512,0.0513,0.0511,0.0512,324273,1710715439999,16602.8623,73,12974,1710720000000,0.052
1710715440000,0.0512,0.0513,0.0511,0.0513,267679,1710715499999,13705.2368,80,177692,1710720000000,0.052
1710715500000,0.0512,0.0512,0.0511,0.0512,308437,1710715559999,15790.5746,41,201912,1710720000000,0.052
1710715560000,0.0511,0.0512,0.0510,0.0510,1187149,1710715619999,60649.5702,159,202359,1710720000000,0.052
1710715620000,0.0510,0.0511,0.0509,0.0509,315768,1710715679999,16100.4771,110,149631,1710720000000,0.052
1710715680000,0.0509,0.0510,0.0509,0.0509,188729,1710715739999,9607.8886,57,71809,1710720000000,0.052
1710715740000,0.0509,0.0510,0.0508,0.0509,254666,1710715799999,12962.5186,63,147592,1710720000000,0.052
1710715800000,0.0509,0.0510,0.0509,0.0509,389924,1710715859999,19847.4733,71,168521,1710720000000,0.052
1710715860000,0.0509,0.0511,0.0509,0.0509,1297044,1710715919999,66111.2792,143,556415,1710720000000,0.052
1710715920000,0.0508,0.0509,0.0507,0.0509,949914,1710715979999,48249.3478,118,233015,1710720000000,0.052
1710715980000,0.0508,0.0509,0.0508,0.0508,869080,1710716039999,44149.9885,123,174940,1710720000000,0.052
1710716040000,0.0508,0.0509,0.0508,0.0508,64151,1710716099999,3258.9908,23,52256,1710720000000,0.052
1710716100000,0.0508,0.0510,0.0508,0.0509,254607,1710716159999,12959.7710,54,210957,1710720000000,0.052
1710716160000,0.0508,0.0509,0.0508,0.0508,19554,1710716219999,993.4255,16,823,1710720000000,0.052
