Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711716240000,0.14380,0.14381,0.14361,0.14376,480693,1711716299999,69094.93220,305,206966,1711721640000,0.14465
1711716300000,0.14378,0.14381,0.14355,0.14373,307738,1711716359999,44201.40190,365,137858,1711721640000,0.14465
1711716360000,0.14375,0.14416,0.14369,0.14402,300074,1711716419999,43199.03763,212,232740,1711721640000,0.14465
1711716420000,0.14402,0.14405,0.14393,0.14398,231680,1711716479999,33358.63750,190,132091,1711721640000,0.14465
1711716480000,0.14398,0.14408,0.14392,0.14408,147214,1711716539999,21198.90738,129,81108,1711721640000,0.14465
1711716540000,0.14407,0.14433,0.14407,0.14432,290332,1711716599999,41872.74869,192,211930,1711721640000,0.14465
1711716600000,0.14433,0.14436,0.14404,0.14408,1466186,1711716659999,211391.08387,452,503439,1711721640000,0.14465
1711716660000,0.14406,0.14406,0.14378,0.14392,323235,1711716719999,46503.34910,223,169083,1711721640000,0.14465
1711716720000,0.14391,0.14397,0.14378,0.14386,445505,1711716779999,64109.38749,185,158077,1711721640000,0.14465
1711716780000,0.14383,0.14386,0.14374,0.14379,291131,1711716839999,41862.11881,179,76038,1711721640000,0.14465
1711716840000,0.14379,0.14394,0.14379,0.14380,229951,1711716899999,33082.79829,131,140935,1711721640000,0.14465
1711716900000,0.14381,0.14388,0.14367,0.14378,280211,1711716959999,40286.13828,223,138171,1711721640000,0.14465
1711716960000,0.14379,0.14391,0.14375,0.14386,171410,1711717019999,24652.67487,208,114083,1711721640000,0.14465
1711717020000,0.14385,0.14389,0.14368,0.14377,209307,1711717079999,30097.86362,186,138416,1711721640000,0.14465
1711717080000,0.14376,0.14381,0.14372,0.14375,325614,1711717139999,46810.21989,216,134822,1711721640000,0.14465
1711717140000,0.14375,0.14376,0.14351,0.14354,368745,1711717199999,52963.48666,288,151480,1711721640000,0.14465
1711717200000,0.14354,0.14360,0.14346,0.14346,274279,1711717259999,39369.51503,202,146973,1711721640000,0.14465
1711717260000,0.14346,0.14384,0.14345,0.14378,766315,1711717319999,110123.16865,481,632320,1711721640000,0.14465
1711717320000,0.14379,0.14409,0.14378,0.14407,484325,1711717379999,69728.06044,379,190651,1711721640000,0.14465
1711717380000,0.14407,0.14407,0.14386,0.14396,267435,1711717439999,38493.85499,237,104033,1711721640000,0.14465
1711717440000,0.14397,0.14405,0.14370,0.14370,348309,1711717499999,50128.40836,279,106312,1711721640000,0.14465
1711717500000,0.14369,0.14377,0.14346,0.14351,343073,1711717559999,49275.90048,281,164778,1711721640000,0.14465
1711717560000,0.14352,0.14367,0.14345,0.14345,185193,1711717619999,26593.77212,213,107524,1711721640000,0.14465
1711717620000,0.14345,0.14368,0.14336,0.14351,341714,1711717679999,49053.96404,307,206191,1711721640000,0.14465
