Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710808200000,141.38,141.42,141.29,141.39,70.842,1710808259999,10014.48807,162,31.280,1710813540000,137.4
1710808260000,141.39,141.49,141.35,141.43,57.121,1710808319999,8078.41186,120,16.339,1710813540000,137.4
1710808320000,141.42,141.42,141.32,141.38,31.618,1710808379999,4470.57116,91,4.062,1710813540000,137.4
1710808380000,141.39,141.41,141.34,141.38,22.231,1710808439999,3143.25719,95,3.087,1710813540000,137.4
1710808440000,141.41,141.45,141.39,141.44,15.102,1710808499999,2135.90558,63,5.530,1710813540000,137.4
1710808500000,141.45,141.49,141.39,141.41,34.213,1710808559999,4839.52152,96,18.758,1710813540000,137.4
1710808560000,141.40,141.42,141.36,141.37,25.713,1710808619999,3635.53687,98,8.702,1710813540000,137.4
1710808620000,141.37,141.46,141.31,141.35,109.294,1710808679999,15452.50863,183,76.483,1710813540000,137.4
1710808680000,141.35,141.39,141.29,141.31,73.831,1710808739999,10435.36287,158,26.922,1710813540000,137.4
1710808740000,141.31,141.37,141.05,141.13,159.997,1710808799999,22588.74835,320,34.228,1710813540000,137.4
1710808800000,141.15,141.24,140.85,140.86,140.429,1710808859999,19801.90136,277,95.468,1710813540000,137.4
1710808860000,140.87,140.97,140.83,140.88,56.122,1710808919999,7906.90245,163,20.941,1710813540000,137.4
1710808920000,140.87,140.90,140.58,140.61,97.958,1710808979999,13786.70993,237,38.237,1710813540000,137.4
1710808980000,140.63,140.64,140.42,140.51,111.002,1710809039999,15595.37362,212,48.025,1710813540000,137.4
1710809040000,140.51,140.54,140.47,140.48,75.789,1710809099999,10648.69420,121,61.266,1710813540000,137.4
1710809100000,140.47,140.47,140.35,140.45,51.052,1710809159999,7168.05611,132,34.991,1710813540000,137.4
1710809160000,140.43,140.43,139.88,140.09,353.207,1710809219999,49487.62610,587,76.853,1710813540000,137.4
1710809220000,140.06,140.06,139.82,139.84,101.604,1710809279999,14215.86939,250,80.815,1710813540000,137.4
1710809280000,139.84,139.87,139.74,139.80,45.537,1710809339999,6366.06503,187,25.847,1710813540000,137.4
1710809340000,139.78,139.82,139.70,139.71,66.241,1710809399999,9259.86382,153,49.147,1710813540000,137.4
1710809400000,139.72,140.04,139.67,139.71,411.835,1710809459999,57605.67778,457,359.823,1710813540000,137.4
1710809460000,139.74,139.95,139.67,139.95,100.634,1710809519999,14067.32229,231,75.650,1710813540000,137.4
1710809520000,139.95,140.04,139.86,140.01,121.305,1710809579999,16979.39615,231,79.605,1710813540000,137.4
1710809580000,140.03,140.05,139.81,139.85,82.056,1710809639999,11480.28201,225,41.581,1710813540000,137.4
1710809640000,139.85,139.91,139.69,139.88,190.472,1710809699999,26625.75180,324,58.699,1710813540000,137.4
