Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711701480000,0.6143,0.6145,0.6141,0.6142,258589.3,1711701539999,158853.38236,397,77992.5,1711706880000,0.6174
1711701540000,0.6142,0.6144,0.6141,0.6144,348419.0,1711701599999,214023.69342,263,310076.2,1711706880000,0.6174
1711701600000,0.6144,0.6146,0.6143,0.6143,412170.6,1711701659999,253276.31055,492,156601.6,1711706880000,0.6174
1711701660000,0.6143,0.6144,0.6139,0.6140,293485.0,1711701719999,180238.87561,350,94994.9,1711706880000,0.6174
1711701720000,0.6141,0.6144,0.6140,0.6144,135864.4,1711701779999,83444.36478,213,100357.3,1711706880000,0.6174
1711701780000,0.6143,0.6145,0.6143,0.6145,366898.1,1711701839999,225430.07755,305,271678.2,1711706880000,0.6174
1711701840000,0.6144,0.6146,0.6144,0.6145,148205.4,1711701899999,91064.15590,370,53615.7,1711706880000,0.6174
1711701900000,0.6146,0.6151,0.6142,0.6142,1521615.1,1711701959999,935368.81403,1684,888619.0,1711706880000,0.6174
1711701960000,0.6143,0.6144,0.6141,0.6143,236189.2,1711702019999,145079.51445,335,90912.0,1711706880000,0.6174
1711702020000,0.6142,0.6149,0.6142,0.6147,442562.1,1711702079999,272021.89025,444,316382.5,1711706880000,0.6174
1711702080000,0.6147,0.6148,0.6145,0.6147,293118.3,1711702139999,180180.15121,356,82171.2,1711706880000,0.6174
1711702140000,0.6147,0.6151,0.6146,0.6150,454612.9,1711702199999,279530.79324,491,302362.8,1711706880000,0.6174
1711702200000,0.6150,0.6153,0.6150,0.6153,252948.0,1711702259999,155600.84938,472,132839.5,1711706880000,0.6174
1711702260000,0.6152,0.6154,0.6148,0.6153,740026.6,1711702319999,455123.15878,679,234697.5,1711706880000,0.6174
1711702320000,0.6153,0.6156,0.6153,0.6155,258159.1,1711702379999,158890.40380,702,163641.0,1711706880000,0.6174
1711702380000,0.6155,0.6157,0.6153,0.6155,545957.4,1711702439999,336070.77937,885,325071.0,1711706880000,0.6174
1711702440000,0.6154,0.6157,0.6153,0.6154,395977.4,1711702499999,243736.50861,517,165711.9,1711706880000,0.6174
1711702500000,0.6153,0.6154,0.6150,0.6150,429032.1,1711702559999,263914.08698,423,138238.1,1711706880000,0.6174
1711702560000,0.6150,0.6155,0.6149,0.6155,314620.9,1711702619999,193525.87308,351,192570.1,1711706880000,0.6174
1711702620000,0.6155,0.6155,0.6152,0.6154,313731.1,1711702679999,193058.43234,257,165585.8,1711706880000,0.6174
1711702680000,0.6155,0.6155,0.6150,0.6151,453284.2,1711702739999,278873.07538,460,163987.3,1711706880000,0.6174
1711702740000,0.6150,0.6152,0.6150,0.6151,235020.9,1711702799999,144556.82808,243,154716.8,1711706880000,0.6174
1711702800000,0.6152,0.6152,0.6150,0.6152,253785.7,1711702859999,156108.29543,459,130141.2,1711706880000,0.6174
1711702860000,0.6152,0.6156,0.6152,0.6155,388938.3,1711702919999,239368.22351,481,274665.0,1711706880000,0.6174
1711702920000,0.6154,0.6156,0.6153,0.6155,268784.2,1711702979999,165421.49558,395,151902.9,1711706880000,0.6174
1711702980000,0.6156,0.6158,0.6155,0.6157,444506.4,1711703039999,273655.82971,456,324495.6,1711706880000,0.6174
1711703040000,0.6157,0.6159,0.6156,0.6156,529455.7,1711703099999,326022.81296,549,370030.3,1711706880000,0.6174
1711703100000,0.6156,0.6160,0.6156,0.6159,623662.7,1711703159999,384036.86863,515,506405.0,1711706880000,0.6174
