Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710282660000,1.550,1.551,1.548,1.550,9812.4,1710282719999,15203.9174,84,3499.2,1710288000000,1.572
1710282720000,1.550,1.551,1.549,1.549,8594.7,1710282779999,13324.1898,57,5505.3,1710288000000,1.572
1710282780000,1.548,1.550,1.548,1.548,19401.8,1710282839999,30052.2187,148,9282.5,1710288000000,1.572
1710282840000,1.547,1.549,1.547,1.547,12990.3,1710282899999,20109.1071,115,8269.5,1710288000000,1.572
1710282900000,1.548,1.548,1.546,1.547,10654.7,1710282959999,16479.2741,96,1488.4,1710288000000,1.572
1710282960000,1.547,1.547,1.544,1.545,10457.2,1710283019999,16155.7672,103,6448.0,1710288000000,1.572
1710283020000,1.545,1.545,1.544,1.544,4686.4,1710283079999,7237.8354,66,234.7,1710288000000,1.572
1710283080000,1.545,1.546,1.542,1.544,25729.3,1710283139999,39722.8254,185,14691.1,1710288000000,1.572
1710283140000,1.544,1.546,1.544,1.546,12962.0,1710283199999,20036.2971,79,8738.3,1710288000000,1.572
1710283200000,1.547,1.551,1.547,1.551,15542.8,1710283259999,24075.0071,121,10393.9,1710288000000,1.572
1710283260000,1.551,1.553,1.551,1.553,12713.1,1710283319999,19724.7554,134,7646.4,1710288000000,1.572
1710283320000,1.553,1.556,1.553,1.556,18790.9,1710283379999,29212.7331,187,12440.6,1710288000000,1.572
1710283380000,1.556,1.558,1.554,1.557,16486.0,1710283439999,25653.2304,182,8069.4,1710288000000,1.572
1710283440000,1.557,1.561,1.556,1.560,40499.3,1710283499999,63135.7220,290,24259.2,1710288000000,1.572
1710283500000,1.559,1.561,1.556,1.560,67903.6,1710283559999,105811.1087,275,31543.1,1710288000000,1.572
1710283560000,1.559,1.559,1.557,1.558,28892.3,1710283619999,45010.5782,159,3373.0,1710288000000,1.572
1710283620000,1.559,1.559,1.558,1.558,6757.8,1710283679999,10531.5565,90,1701.0,1710288000000,1.572
1710283680000,1.558,1.559,1.557,1.558,18304.8,1710283739999,28517.7681,142,7024.1,1710288000000,1.572
1710283740000,1.558,1.559,1.558,1.558,4881.8,1710283799999,7606.1275,33,721.7,1710288000000,1.572
1710283800000,1.557,1.558,1.555,1.556,17361.5,1710283859999,27023.1699,132,3633.2,1710288000000,1.572
1710283860000,1.556,1.557,1.554,1.554,21065.2,1710283919999,32769.1356,135,7625.3,1710288000000,1.572
1710283920000,1.555,1.555,1.552,1.553,18835.9,1710283979999,29271.7185,136,11483.9,1710288000000,1.572
1710283980000,1.554,1.555,1.554,1.555,7498.7,1710284039999,11655.0802,73,5375.4,1710288000000,1.572
1710284040000,1.555,1.555,1.554,1.554,8814.5,1710284099999,13699.0333,78,2433.7,1710288000000,1.572
1710284100000,1.554,1.555,1.553,1.555,2967.6,1710284159999,4611.9562,45,1609.2,1710288000000,1.572
1710284160000,1.555,1.557,1.554,1.554,24735.0,1710284219999,38481.9683,142,19333.8,1710288000000,1.572
1710284220000,1.554,1.557,1.554,1.556,10291.1,1710284279999,16015.6215,80,8655.5,1710288000000,1.572
1710284280000,1.556,1.557,1.556,1.557,3247.9,1710284339999,5055.1751,35,1724.6,1710288000000,1.572
1710284340000,1.556,1.556,1.555,1.556,8933.1,1710284399999,13895.8261,65,2756.1,1710288000000,1.572
1710284400000,1.556,1.559,1.556,1.557,23558.3,1710284459999,36689.0359,154,12838.4,1710288000000,1.572
1710284460000,1.556,1.557,1.555,1.555,15171.5,1710284519999,23600.6077,122,3029.9,1710288000000,1.572
