Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710444120000,9775.0,9826.0,9773.0,9826.0,6.673,1710444179999,65400.8830,322,5.225,1710449460000,9967.0
1710444180000,9826.0,9828.0,9794.0,9815.0,4.351,1710444239999,42693.8940,257,1.402,1710449460000,9967.0
1710444240000,9809.0,9814.0,9790.0,9798.0,4.442,1710444299999,43529.5710,198,1.246,1710449460000,9967.0
1710444300000,9800.0,9808.0,9792.0,9805.0,1.258,1710444359999,12330.8830,89,0.902,1710449460000,9967.0
1710444360000,9803.0,9806.0,9778.0,9778.0,2.582,1710444419999,25291.2910,152,1.131,1710449460000,9967.0
1710444420000,9779.0,9784.0,9760.0,9765.0,3.841,1710444479999,37522.5230,225,2.476,1710449460000,9967.0
1710444480000,9763.0,9772.0,9734.0,9742.0,12.086,1710444539999,117844.5320,588,4.997,1710449460000,9967.0
1710444540000,9743.0,9762.0,9732.0,9744.0,9.573,1710444599999,93306.6210,394,2.839,1710449460000,9967.0
1710444600000,9749.0,9756.0,9686.0,9703.0,14.963,1710444659999,145345.5550,705,4.540,1710449460000,9967.0
1710444660000,9703.0,9714.0,9651.0,9685.0,37.800,1710444719999,365886.5270,1942,18.587,1710449460000,9967.0
1710444720000,9687.0,9722.0,9660.0,9677.0,9.421,1710444779999,91270.7870,552,5.397,1710449460000,9967.0
1710444780000,9675.0,9699.0,9630.0,9687.0,14.223,1710444839999,137396.0110,887,5.592,1710449460000,9967.0
1710444840000,9686.0,9703.0,9654.0,9671.0,9.422,1710444899999,91210.7440,694,5.196,1710449460000,9967.0
1710444900000,9670.0,9686.0,9576.0,9588.0,14.764,1710444959999,142167.3100,1009,4.737,1710449460000,9967.0
1710444960000,9587.0,9632.0,9536.0,9608.0,45.177,1710445019999,433039.3910,2340,19.237,1710449460000,9967.0
1710445020000,9610.0,9643.0,9570.0,9573.0,14.795,1710445079999,142259.1800,849,7.398,1710449460000,9967.0
1710445080000,9578.0,9635.0,9571.0,9623.0,10.462,1710445139999,100569.7330,819,6.493,1710449460000,9967.0
1710445140000,9623.0,9651.0,9590.0,9617.0,10.832,1710445199999,104222.8900,673,5.873,1710449460000,9967.0
1710445200000,9615.0,9639.0,9591.0,9634.0,9.164,1710445259999,88104.2950,703,3.826,1710449460000,9967.0
1710445260000,9631.0,9633.0,9591.0,9599.0,3.987,1710445319999,38306.9480,336,1.719,1710449460000,9967.0
1710445320000,9602.0,9604.0,9572.0,9583.0,4.603,1710445379999,44125.6440,333,1.877,1710449460000,9967.0
1710445380000,9582.0,9582.0,9497.0,9526.0,28.267,1710445439999,269266.8580,1133,9.166,1710449460000,9967.0
1710445440000,9524.0,9604.0,9511.0,9563.0,10.869,1710445499999,103947.2170,749,4.876,1710449460000,9967.0
1710445500000,9562.0,9666.0,9555.0,9656.0,11.707,1710445559999,112624.7350,853,8.060,1710449460000,9967.0
1710445560000,9653.0,9662.0,9630.0,9659.0,5.974,1710445619999,57632.4240,503,2.702,1710449460000,9967.0
1710445620000,9655.0,9693.0,9645.0,9682.0,9.732,1710445679999,94052.0640,495,3.975,1710449460000,9967.0
1710445680000,9684.0,9698.0,9666.0,9678.0,4.445,1710445739999,43048.0080,295,1.865,1710449460000,9967.0
1710445740000,9676.0,9702.0,9669.0,9681.0,6.649,1710445799999,64387.9980,338,3.640,1710449460000,9967.0
1710445800000,9683.0,9702.0,9676.0,9701.0,4.001,1710445859999,38770.2510,225,1.935,1710449460000,9967.0
1710445860000,9696.0,9723.0,9686.0,9716.0,3.278,1710445919999,31825.0350,235,2.866,1710449460000,9967.0
1710445920000,9714.0,9757.0,9708.0,9753.0,7.601,1710445979999,73981.5450,413,4.478,1710449460000,9967.0
1710445980000,9751.0,9765.0,9735.0,9754.0,8.224,1710446039999,80200.6370,486,2.300,1710449460000,9967.0
1710446040000,9755.0,9766.0,9747.0,9762.0,2.717,1710446099999,26504.4040,168,1.458,1710449460000,9967.0
1710446100000,9760.0,9762.0,9751.0,9751.0,1.117,1710446159999,10895.8070,130,0.431,1710449460000,9967.0
1710446160000,9750.0,9750.0,9724.0,9731.0,1.308,1710446219999,12735.3650,125,0.329,1710449460000,9967.0
1710446220000,9731.0,9734.0,9712.0,9721.0,1.326,1710446279999,12889.9290,134,0.342,1710449460000,9967.0
