Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710384900000,0.9580000,0.9580000,0.9569000,0.9572000,17258,1710384959999,16520.9527000,150,15067,1710390240000,0.93
1710384960000,0.9569000,0.9569000,0.9559000,0.9561000,11855,1710385019999,11336.2608000,188,4653,1710390240000,0.93
1710385020000,0.9561000,0.9568000,0.9552000,0.9568000,37053,1710385079999,35414.4496000,407,14320,1710390240000,0.93
1710385080000,0.9568000,0.9575000,0.9562000,0.9562000,19934,1710385139999,19078.1931000,191,15040,1710390240000,0.93
1710385140000,0.9562000,0.9562000,0.9551000,0.9556000,12927,1710385199999,12353.9161000,167,4061,1710390240000,0.93
1710385200000,0.9555000,0.9566000,0.9550000,0.9556000,27518,1710385259999,26299.3819000,227,13138,1710390240000,0.93
1710385260000,0.9556000,0.9569000,0.9550000,0.9557000,37063,1710385319999,35426.6518000,359,18610,1710390240000,0.93
1710385320000,0.9556000,0.9564000,0.9534000,0.9562000,55256,1710385379999,52753.2531000,479,23123,1710390240000,0.93
1710385380000,0.9561000,0.9572000,0.9557000,0.9566000,33984,1710385439999,32511.5143000,251,15460,1710390240000,0.93
1710385440000,0.9566000,0.9566000,0.9548000,0.9561000,34619,1710385499999,33081.9136000,252,13685,1710390240000,0.93
1710385500000,0.9562000,0.9577000,0.9541000,0.9543000,109518,1710385559999,104715.9329000,551,42233,1710390240000,0.93
1710385560000,0.9543000,0.9547000,0.9510000,0.9510000,70249,1710385619999,66909.6472000,408,10843,1710390240000,0.93
1710385620000,0.9510000,0.9523000,0.9509000,0.9512000,65440,1710385679999,62272.0879000,282,34153,1710390240000,0.93
1710385680000,0.9511000,0.9513000,0.9495000,0.9495000,28302,1710385739999,26903.0219000,179,6410,1710390240000,0.93
1710385740000,0.9494000,0.9494000,0.9459000,0.9463000,104477,1710385799999,98975.5863000,466,32162,1710390240000,0.93
1710385800000,0.9464000,0.9480000,0.9450000,0.9451000,99276,1710385859999,93990.5622000,529,40797,1710390240000,0.93
1710385860000,0.9451000,0.9464000,0.9412000,0.9460000,184192,1710385919999,173727.4011000,988,78023,1710390240000,0.93
1710385920000,0.9461000,0.9473000,0.9448000,0.9464000,89233,1710385979999,84421.9179000,435,34603,1710390240000,0.93
1710385980000,0.9464000,0.9467000,0.9453000,0.9453000,62925,1710386039999,59530.4987000,289,27927,1710390240000,0.93
1710386040000,0.9453000,0.9457000,0.9441000,0.9442000,40999,1710386099999,38744.1045000,242,14705,1710390240000,0.93
1710386100000,0.9440000,0.9457000,0.9426000,0.9453000,110182,1710386159999,104000.5572000,507,61085,1710390240000,0.93
1710386160000,0.9452000,0.9459000,0.9426000,0.9430000,81215,1710386219999,76654.2258000,478,44964,1710390240000,0.93
1710386220000,0.9430000,0.9435000,0.9422000,0.9427000,44313,1710386279999,41779.3252000,249,18264,1710390240000,0.93
1710386280000,0.9428000,0.9428000,0.9398000,0.9411000,162320,1710386339999,152755.4435000,396,25557,1710390240000,0.93
1710386340000,0.9410000,0.9424000,0.9407000,0.9411000,48401,1710386399999,45558.1064000,267,29016,1710390240000,0.93
1710386400000,0.9410000,0.9410000,0.9397000,0.9404000,71751,1710386459999,67462.8684000,378,27218,1710390240000,0.93
1710386460000,0.9403000,0.9404000,0.9387000,0.9390000,83920,1710386519999,78830.1365000,335,33911,1710390240000,0.93
1710386520000,0.9390000,0.9391000,0.9361000,0.9373000,160482,1710386579999,150430.0127000,788,55017,1710390240000,0.93
1710386580000,0.9373000,0.9386000,0.9335000,0.9350000,167317,1710386639999,156507.6451000,811,35797,1710390240000,0.93
1710386640000,0.9351000,0.9384000,0.9294000,0.9314000,878539,1710386699999,819360.5323000,3112,289326,1710390240000,0.93
1710386700000,0.9313000,0.9343000,0.9313000,0.9317000,219449,1710386759999,204710.3383000,1070,111958,1710390240000,0.93
1710386760000,0.9316000,0.9338000,0.9307000,0.9332000,148705,1710386819999,138588.0995000,721,82090,1710390240000,0.93
1710386820000,0.9331000,0.9339000,0.9320000,0.9324000,100126,1710386879999,93404.3339000,554,36328,1710390240000,0.93
1710386880000,0.9324000,0.9324000,0.9309000,0.9318000,62174,1710386939999,57925.7776000,348,31488,1710390240000,0.93
1710386940000,0.9317000,0.9336000,0.9311000,0.9335000,72389,1710386999999,67476.6160000,447,52550,1710390240000,0.93
