Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1712040420000,28.07,28.10,28.07,28.10,159.110,1712040479999,4469.11504,75,140.096,1712045820000,27.8
1712040480000,28.10,28.10,28.08,28.09,155.596,1712040539999,4371.40596,44,85.405,1712045820000,27.8
1712040540000,28.10,28.10,28.08,28.09,166.679,1712040599999,4682.16198,56,49.495,1712045820000,27.8
1712040600000,28.08,28.08,28.05,28.06,169.116,1712040659999,4746.37011,55,83.911,1712045820000,27.8
1712040660000,28.06,28.07,28.03,28.06,353.275,1712040719999,9909.34033,91,209.451,1712045820000,27.8
1712040720000,28.06,28.08,28.06,28.08,59.287,1712040779999,1664.40609,18,59.039,1712045820000,27.8
1712040780000,28.09,28.10,28.08,28.10,223.444,1712040839999,6277.25280,64,106.171,1712045820000,27.8
1712040840000,28.09,28.09,28.08,28.08,50.024,1712040899999,1404.96878,34,15.787,1712045820000,27.8
1712040900000,28.07,28.08,28.05,28.06,181.412,1712040959999,5090.41840,54,22.652,1712045820000,27.8
1712040960000,28.07,28.07,28.04,28.05,113.506,1712041019999,3184.26533,50,63.504,1712045820000,27.8
1712041020000,28.06,28.07,28.01,28.03,478.491,1712041079999,13422.78882,94,359.339,1712045820000,27.8
1712041080000,28.03,28.03,28.01,28.03,120.124,1712041139999,3365.88797,32,72.242,1712045820000,27.8
1712041140000,28.03,28.03,28.02,28.03,63.287,1712041199999,1773.84455,36,33.966,1712045820000,27.8
1712041200000,28.03,28.03,27.99,28.00,494.220,1712041259999,13839.16142,90,63.427,1712045820000,27.8
1712041260000,27.99,28.01,27.97,27.99,112.502,1712041319999,3148.66208,62,44.987,1712045820000,27.8
1712041320000,27.99,28.01,27.98,27.98,150.466,1712041379999,4211.54626,76,81.049,1712045820000,27.8
1712041380000,27.98,27.98,27.95,27.97,192.348,1712041439999,5378.66920,83,75.202,1712045820000,27.8
1712041440000,27.97,27.98,27.94,27.98,144.520,1712041499999,4040.87263,55,66.604,1712045820000,27.8
1712041500000,27.99,28.02,27.98,27.98,109.820,1712041559999,3075.08726,62,61.292,1712045820000,27.8
1712041560000,27.99,27.99,27.97,27.97,242.545,1712041619999,6786.84322,49,62.336,1712045820000,27.8
1712041620000,27.97,27.99,27.93,27.95,880.431,1712041679999,24610.80455,119,233.983,1712045820000,27.8
1712041680000,27.95,27.96,27.93,27.93,118.399,1712041739999,3307.52609,57,21.266,1712045820000,27.8
1712041740000,27.93,27.96,27.93,27.96,72.744,1712041799999,2032.49537,32,47.914,1712045820000,27.8
1712041800000,27.96,27.96,27.93,27.94,160.873,1712041859999,4495.71013,54,67.408,1712045820000,27.8
1712041860000,27.95,27.96,27.94,27.95,187.004,1712041919999,5226.70802,42,21.235,1712045820000,27.8
1712041920000,27.95,27.96,27.95,27.95,85.662,1712041979999,2394.35780,38,63.621,1712045820000,27.8
1712041980000,27.95,27.99,27.94,27.99,166.009,1712042039999,4642.01699,69,137.139,1712045820000,27.8
1712042040000,28.00,28.00,27.98,28.00,55.131,1712042099999,1543.17436,34,24.705,1712045820000,27.8
