Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710388740000,16.836,16.844,16.825,16.835,792.2,1710388799999,13334.8188,131,457.9,1710394140000,16.827
1710388800000,16.834,16.834,16.804,16.822,1612.6,1710388859999,27120.5414,314,587.0,1710394140000,16.827
1710388860000,16.818,16.822,16.753,16.759,3258.8,1710388919999,54707.1402,369,676.7,1710394140000,16.827
1710388920000,16.757,16.761,16.718,16.752,3211.9,1710388979999,53752.9699,368,772.8,1710394140000,16.827
1710388980000,16.750,16.751,16.696,16.703,2491.3,1710389039999,41652.1648,324,826.9,1710394140000,16.827
1710389040000,16.704,16.724,16.702,16.717,981.1,1710389099999,16397.2082,160,354.8,1710394140000,16.827
1710389100000,16.712,16.720,16.671,16.678,2437.1,1710389159999,40677.2906,390,621.3,1710394140000,16.827
1710389160000,16.678,16.683,16.624,16.653,8457.4,1710389219999,140783.3337,628,1243.1,1710394140000,16.827
1710389220000,16.654,16.695,16.654,16.678,2650.1,1710389279999,44201.2970,267,1222.7,1710394140000,16.827
1710389280000,16.679,16.680,16.654,16.660,1523.1,1710389339999,25385.8099,213,568.5,1710394140000,16.827
1710389340000,16.660,16.666,16.653,16.664,1421.9,1710389399999,23688.1510,186,696.6,1710394140000,16.827
1710389400000,16.665,16.691,16.665,16.667,799.6,1710389459999,13336.0927,158,481.0,1710394140000,16.827
1710389460000,16.668,16.716,16.668,16.713,1102.4,1710389519999,18412.7073,156,555.7,1710394140000,16.827
1710389520000,16.714,16.733,16.694,16.707,1820.7,1710389579999,30440.1575,222,891.7,1710394140000,16.827
1710389580000,16.707,16.710,16.669,16.670,552.3,1710389639999,9220.0436,149,144.2,1710394140000,16.827
1710389640000,16.674,16.699,16.671,16.695,155.9,1710389699999,2600.5409,72,125.0,1710394140000,16.827
1710389700000,16.692,16.708,16.677,16.697,2561.7,1710389759999,42770.6079,369,2154.9,1710394140000,16.827
1710389760000,16.698,16.756,16.698,16.712,2251.1,1710389819999,37672.6029,330,1147.7,1710394140000,16.827
1710389820000,16.710,16.722,16.689,16.712,1681.7,1710389879999,28098.2472,224,616.7,1710394140000,16.827
1710389880000,16.713,16.722,16.703,16.713,553.1,1710389939999,9243.8699,131,298.7,1710394140000,16.827
1710389940000,16.714,16.719,16.707,16.713,466.4,1710389999999,7795.5990,107,264.6,1710394140000,16.827
1710390000000,16.711,16.717,16.664,16.664,1241.3,1710390059999,20714.3137,206,244.9,1710394140000,16.827
1710390060000,16.664,16.667,16.634,16.666,1121.7,1710390119999,18674.8712,229,408.2,1710394140000,16.827
1710390120000,16.666,16.667,16.646,16.646,746.6,1710390179999,12436.4869,138,246.7,1710394140000,16.827
1710390180000,16.648,16.681,16.642,16.660,1119.5,1710390239999,18653.8974,223,726.4,1710394140000,16.827
1710390240000,16.663,16.665,16.642,16.654,1202.9,1710390299999,20031.5441,163,152.3,1710394140000,16.827
1710390300000,16.656,16.681,16.656,16.673,464.2,1710390359999,7738.9843,138,285.6,1710394140000,16.827
1710390360000,16.676,16.714,16.676,16.713,1386.0,1710390419999,23147.6736,181,555.7,1710394140000,16.827
1710390420000,16.712,16.738,16.712,16.736,587.7,1710390479999,9831.2726,153,377.0,1710394140000,16.827
1710390480000,16.735,16.739,16.713,16.715,1371.0,1710390539999,22935.0068,156,73.9,1710394140000,16.827
1710390540000,16.717,16.719,16.711,16.717,336.5,1710390599999,5624.2143,64,119.1,1710394140000,16.827
1710390600000,16.719,16.723,16.699,16.704,581.6,1710390659999,9719.7385,181,293.9,1710394140000,16.827
1710390660000,16.703,16.735,16.698,16.729,931.3,1710390719999,15568.5887,182,702.9,1710394140000,16.827
1710390720000,16.730,16.743,16.728,16.742,1021.9,1710390779999,17104.1284,153,667.5,1710394140000,16.827
1710390780000,16.741,16.741,16.725,16.727,234.9,1710390839999,3930.5990,62,138.7,1710394140000,16.827
1710390840000,16.726,16.726,16.698,16.711,1113.8,1710390899999,18613.8020,181,194.6,1710394140000,16.827
1710390900000,16.712,16.712,16.659,16.659,1143.2,1710390959999,19069.4219,217,380.0,1710394140000,16.827
1710390960000,16.659,16.685,16.657,16.685,1128.2,1710391019999,18804.9754,228,491.2,1710394140000,16.827
1710391020000,16.681,16.702,16.680,16.695,294.2,1710391079999,4911.1593,116,208.1,1710394140000,16.827
1710391080000,16.695,16.706,16.694,16.703,743.4,1710391139999,12414.6315,73,679.4,1710394140000,16.827
1710391140000,16.703,16.703,16.685,16.685,584.9,1710391199999,9764.5507,121,205.0,1710394140000,16.827
1710391200000,16.685,16.695,16.675,16.680,607.8,1710391259999,10141.2904,138,319.3,1710394140000,16.827
1710391260000,16.680,16.696,16.679,16.692,1104.7,1710391319999,18435.2266,133,332.4,1710394140000,16.827
1710391320000,16.692,16.702,16.650,16.650,2496.7,1710391379999,41652.4466,275,1289.6,1710394140000,16.827
1710391380000,16.652,16.681,16.623,16.630,2154.7,1710391439999,35861.9647,357,1067.7,1710394140000,16.827
1710391440000,16.636,16.685,16.626,16.664,3535.8,1710391499999,58890.5324,444,999.7,1710394140000,16.827
1710391500000,16.665,16.703,16.659,16.690,2136.8,1710391559999,35655.3806,252,929.8,1710394140000,16.827
1710391560000,16.690,16.706,16.686,16.703,525.0,1710391619999,8762.4808,122,289.9,1710394140000,16.827
1710391620000,16.705,16.710,16.690,16.698,1338.2,1710391679999,22350.1191,180,382.6,1710394140000,16.827
1710391680000,16.697,16.704,16.689,16.698,661.4,1710391739999,11042.6459,103,376.5,1710394140000,16.827
1710391740000,16.698,16.698,16.687,16.694,1637.1,1710391799999,27328.5788,147,542.0,1710394140000,16.827
1710391800000,16.688,16.689,16.654,16.655,1236.3,1710391859999,20606.2553,178,678.0,1710394140000,16.827
1710391860000,16.656,16.677,16.646,16.662,1271.7,1710391919999,21193.1105,178,528.7,1710394140000,16.827
1710391920000,16.663,16.669,16.545,16.596,8504.9,1710391979999,141096.0979,726,1553.8,1710394140000,16.827
1710391980000,16.594,16.706,16.594,16.702,3710.6,1710392039999,61819.3977,591,2285.1,1710394140000,16.827
1710392040000,16.702,16.717,16.694,16.703,1125.9,1710392099999,18810.6971,219,678.0,1710394140000,16.827
1710392100000,16.701,16.701,16.655,16.666,2324.2,1710392159999,38753.1626,276,933.3,1710394140000,16.827
1710392160000,16.662,16.693,16.662,16.693,1011.2,1710392219999,16871.0836,211,672.5,1710394140000,16.827
1710392220000,16.693,16.726,16.693,16.719,1441.3,1710392279999,24086.7022,183,1077.0,1710394140000,16.827
1710392280000,16.723,16.749,16.722,16.745,2213.7,1710392339999,37047.7629,220,1508.7,1710394140000,16.827
1710392340000,16.745,16.754,16.741,16.742,2306.4,1710392399999,38627.3289,208,1391.9,1710394140000,16.827
