Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710615840000,2.056800,2.057800,2.047500,2.054600,75194,1710615899999,154325.537400,966,27979,1710621180000,2.0446
1710615900000,2.053800,2.058900,2.053700,2.057400,15882,1710615959999,32661.550100,362,10411,1710621180000,2.0446
1710615960000,2.057400,2.058100,2.051300,2.053400,31280,1710616019999,64269.187700,412,6802,1710621180000,2.0446
1710616020000,2.052700,2.057300,2.049600,2.054200,18136,1710616079999,37251.890600,367,7637,1710621180000,2.0446
1710616080000,2.054000,2.056300,2.047800,2.052300,19992,1710616139999,41016.181600,409,7536,1710621180000,2.0446
1710616140000,2.052700,2.062100,2.050500,2.062100,44070,1710616199999,90667.809100,587,25185,1710621180000,2.0446
1710616200000,2.061900,2.062100,2.050200,2.051200,15998,1710616259999,32913.136600,279,4429,1710621180000,2.0446
1710616260000,2.051800,2.051800,2.038600,2.039900,15166,1710616319999,30988.618800,328,7909,1710621180000,2.0446
1710616320000,2.039800,2.053200,2.035500,2.051700,22085,1710616379999,45130.136200,570,13975,1710621180000,2.0446
1710616380000,2.053000,2.054100,2.045900,2.047700,15842,1710616439999,32464.502700,428,6327,1710621180000,2.0446
1710616440000,2.047900,2.051700,2.044800,2.049600,13414,1710616499999,27472.244600,346,7390,1710621180000,2.0446
1710616500000,2.049800,2.052400,2.046400,2.046600,11206,1710616559999,22959.321600,261,4564,1710621180000,2.0446
1710616560000,2.046800,2.048200,2.038600,2.040700,14573,1710616619999,29767.465100,368,6896,1710621180000,2.0446
1710616620000,2.040900,2.045000,2.037800,2.037800,8490,1710616679999,17340.331800,189,3824,1710621180000,2.0446
1710616680000,2.037600,2.038500,2.029800,2.032100,24177,1710616739999,49169.584500,399,5111,1710621180000,2.0446
1710616740000,2.032100,2.039800,2.031800,2.037200,22305,1710616799999,45418.319500,365,13314,1710621180000,2.0446
1710616800000,2.037100,2.042600,2.035300,2.039700,13726,1710616859999,27977.610600,299,5976,1710621180000,2.0446
1710616860000,2.039100,2.042700,2.039000,2.039700,9534,1710616919999,19460.870000,193,4715,1710621180000,2.0446
1710616920000,2.039700,2.045700,2.033200,2.045700,16108,1710616979999,32852.549000,353,11213,1710621180000,2.0446
1710616980000,2.045900,2.054900,2.043500,2.048300,67591,1710617039999,138487.963300,799,30069,1710621180000,2.0446
1710617040000,2.048200,2.051900,2.046400,2.046400,6534,1710617099999,13388.457100,184,4023,1710621180000,2.0446
1710617100000,2.046800,2.047300,2.041600,2.042800,5954,1710617159999,12174.931000,204,3215,1710621180000,2.0446
1710617160000,2.043300,2.046200,2.035500,2.037700,18871,1710617219999,38510.608100,344,9188,1710621180000,2.0446
1710617220000,2.037400,2.039900,2.035900,2.038400,3023,1710617279999,6160.574900,120,1184,1710621180000,2.0446
1710617280000,2.038300,2.040400,2.035300,2.037000,6595,1710617339999,13442.686700,140,2103,1710621180000,2.0446
1710617340000,2.037200,2.039800,2.036600,2.037300,6645,1710617399999,13543.405800,168,5499,1710621180000,2.0446
1710617400000,2.037200,2.037400,2.028700,2.034100,11069,1710617459999,22497.337300,291,3588,1710621180000,2.0446
1710617460000,2.033500,2.042800,2.031200,2.042800,12875,1710617519999,26227.588300,299,8544,1710621180000,2.0446
1710617520000,2.043000,2.046400,2.035700,2.038300,18948,1710617579999,38699.080300,383,7707,1710621180000,2.0446
1710617580000,2.038600,2.045900,2.038600,2.041700,8391,1710617639999,17139.870000,243,4804,1710621180000,2.0446
1710617640000,2.041200,2.042600,2.037700,2.041300,3652,1710617699999,7449.235000,117,2672,1710621180000,2.0446
1710617700000,2.041500,2.045400,2.038300,2.043300,7026,1710617759999,14347.737200,205,4315,1710621180000,2.0446
1710617760000,2.042500,2.044600,2.041000,2.043300,8551,1710617819999,17467.734100,174,6671,1710621180000,2.0446
1710617820000,2.043800,2.044100,2.038500,2.039700,13278,1710617879999,27098.101600,214,4959,1710621180000,2.0446
1710617880000,2.039500,2.041300,2.038200,2.041300,5407,1710617939999,11029.237700,131,4028,1710621180000,2.0446
1710617940000,2.041000,2.041000,2.031500,2.034500,10380,1710617999999,21120.284500,219,2045,1710621180000,2.0446
1710618000000,2.034900,2.036100,2.032200,2.034900,30047,1710618059999,61166.255400,221,19667,1710621180000,2.0446
1710618060000,2.035000,2.035200,2.028400,2.028900,6491,1710618119999,13179.945800,199,1615,1710621180000,2.0446
1710618120000,2.029600,2.029900,2.013800,2.018900,66015,1710618179999,133219.590100,825,17893,1710621180000,2.0446
