Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711086060000,0.03499,0.03499,0.03492,0.03492,754233,1711086119999,26359.10369,171,230719,1711091460000,0.03479
1711086120000,0.03491,0.03496,0.03491,0.03492,590357,1711086179999,20621.94571,132,191022,1711091460000,0.03479
1711086180000,0.03492,0.03495,0.03492,0.03494,342872,1711086239999,11979.50930,71,164458,1711091460000,0.03479
1711086240000,0.03495,0.03495,0.03491,0.03494,317684,1711086299999,11097.44104,77,231337,1711091460000,0.03479
1711086300000,0.03494,0.03495,0.03484,0.03484,1132968,1711086359999,39504.12767,213,403090,1711091460000,0.03479
1711086360000,0.03485,0.03485,0.03478,0.03478,1053018,1711086419999,36656.37604,157,103948,1711091460000,0.03479
1711086420000,0.03477,0.03478,0.03474,0.03474,1058042,1711086479999,36778.91896,155,194658,1711091460000,0.03479
1711086480000,0.03473,0.03474,0.03467,0.03467,893059,1711086539999,30998.55287,123,141763,1711091460000,0.03479
1711086540000,0.03468,0.03469,0.03466,0.03467,667937,1711086599999,23160.49018,80,253429,1711091460000,0.03479
1711086600000,0.03467,0.03469,0.03466,0.03467,148429,1711086659999,5146.55692,61,74560,1711091460000,0.03479
1711086660000,0.03468,0.03487,0.03468,0.03485,930620,1711086719999,32365.32481,129,577614,1711091460000,0.03479
1711086720000,0.03484,0.03489,0.03483,0.03487,969871,1711086779999,33818.18774,130,618917,1711091460000,0.03479
1711086780000,0.03487,0.03490,0.03476,0.03477,856200,1711086839999,29833.88261,106,407425,1711091460000,0.03479
1711086840000,0.03477,0.03482,0.03474,0.03481,289563,1711086899999,10073.39076,70,179888,1711091460000,0.03479
1711086900000,0.03480,0.03482,0.03478,0.03480,353895,1711086959999,12314.62781,47,66895,1711091460000,0.03479
1711086960000,0.03479,0.03486,0.03479,0.03486,561063,1711087019999,19533.31605,86,238495,1711091460000,0.03479
