Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711345200000,0.9266,0.9270,0.9255,0.9256,20774.4,1711345259999,19239.01839,230,12362.2,1711350600000,0.9289
1711345260000,0.9256,0.9263,0.9243,0.9250,42094.0,1711345319999,38937.53160,310,13688.4,1711350600000,0.9289
1711345320000,0.9252,0.9255,0.9244,0.9244,33995.1,1711345379999,31444.74095,208,9548.5,1711350600000,0.9289
1711345380000,0.9244,0.9251,0.9239,0.9248,32255.9,1711345439999,29820.02779,225,22429.6,1711350600000,0.9289
1711345440000,0.9248,0.9251,0.9235,0.9238,26674.1,1711345499999,24652.82222,168,11160.2,1711350600000,0.9289
1711345500000,0.9238,0.9241,0.9228,0.9239,50030.1,1711345559999,46195.39537,319,15088.8,1711350600000,0.9289
1711345560000,0.9237,0.9242,0.9231,0.9240,15851.6,1711345619999,14641.61015,131,9043.2,1711350600000,0.9289
1711345620000,0.9239,0.9241,0.9230,0.9234,34974.0,1711345679999,32302.06977,302,9340.8,1711350600000,0.9289
1711345680000,0.9235,0.9250,0.9234,0.9248,65585.4,1711345739999,60589.78785,313,53765.7,1711350600000,0.9289
1711345740000,0.9248,0.9264,0.9248,0.9258,27400.7,1711345799999,25359.80692,234,21373.1,1711350600000,0.9289
1711345800000,0.9258,0.9282,0.9254,0.9275,88829.5,1711345859999,82356.36668,402,34829.9,1711350600000,0.9289
1711345860000,0.9276,0.9288,0.9275,0.9288,47392.7,1711345919999,43985.83464,313,25160.8,1711350600000,0.9289
1711345920000,0.9289,0.9299,0.9275,0.9288,95944.6,1711345979999,89082.62159,514,43395.2,1711350600000,0.9289
1711345980000,0.9288,0.9289,0.9274,0.9275,21631.8,1711346039999,20075.72069,205,6360.5,1711350600000,0.9289
1711346040000,0.9275,0.9283,0.9243,0.9254,455040.1,1711346099999,421335.66817,1219,118865.3,1711350600000,0.9289
1711346100000,0.9254,0.9255,0.9246,0.9252,36707.7,1711346159999,33957.44981,268,24405.5,1711350600000,0.9289
1711346160000,0.9251,0.9256,0.9249,0.9252,20305.2,1711346219999,18787.99741,199,13672.9,1711350600000,0.9289
1711346220000,0.9251,0.9278,0.9251,0.9270,55301.3,1711346279999,51240.32720,337,40353.9,1711350600000,0.9289
1711346280000,0.9270,0.9275,0.9264,0.9271,46654.7,1711346339999,43244.73568,281,14746.9,1711350600000,0.9289
